"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC055","13140","16680","104","15","Influenza","Influenza","HA","8_14viii","2017_02_15",4.20110324865515,4.17088801480097,3.64395088230025,1.92897443308737,0.326960459273882,9.07860834534982
"CC001xCC055","13140","16680","105","15","Influenza","Influenza","HA","8_14viii","merged",NA,7.21975151247158,NA,NA,NA,9.62996307790869
"CC001xCC055","13140","16680","108","15","Influenza","Influenza","HA","8_14viii","merged",0.987283310055163,6.70370564297405,NA,0.760567740180058,NA,9.11330959148406
"CC001xCC055","13140","16680","109","15","Influenza","Influenza","HA","8_14viii","2015_05_06",1.61645600680799,9.41197818569842,8.62168098602372,2.02112525915767,0.642495995561995,10.22507569343
"CC001xCC055","13140","16680","42","10","Influenza","Influenza","HA","7_14vii","2014_09_17",0.105640380853904,1.65530784109202,1.01394600961949,0.379989554783605,0.381613721684563,2.57398641858836
"CC001xCC055","13140","16680","43","10","Influenza","Influenza","HA","7_14vii","2014_09_17",0.167212125471967,2.4720714927911,1.1687203305489,0.107012881556778,0.133623942887013,3.19596953259359
"CC001xCC055","13140","16680","47","10","Influenza","Influenza","HA","7_14vii","2014_09_17",0.011931363764159,3.87357059673532,0.951612825628781,0.123476897240774,0.201401596212598,4.07313923297116
"CC001xCC074","13140","3015","102","15","Influenza","Influenza","HA","3_13iii","2013_12_17",3.60800420063892,3.54882117067669,3.33332450307286,1.61097199674699,0.0363005320708659,NA
"CC001xCC074","13140","3015","145","45","Influenza","Influenza","HA","3_13iii","2013_12_05",8.25384757801906,8.89430492891072,8.43195863934929,1.34678563438858,0.0778005320708663,NA
"CC001xCC074","13140","3015","148","45","Influenza","Influenza","HA","3_13iii","2013_12_17",0.0120784094103975,0.128326519198368,0.0138038644670334,0.00867969756607528,0.138676141155962,NA
"CC001xCC074","13140","3015","149","45","Influenza","Influenza","HA","3_13iii","2013_12_03",6.12920098040071,8.17099484767925,8.39523007591044,0.297862279500426,0.0400293195236694,NA
"CC001xCC074","13140","3015","163","10","Influenza","Influenza","HA","3_13iii","2013_11_26",4.84152461523081,NA,NA,0.230358947104259,0.453642817194288,5.28864878213176
"CC001xCC074","13140","3015","163","10","Influenza","Influenza","HA","3_13iii","merged",NA,3.38924362950905,NA,NA,NA,NA
"CC001xCC074","13140","3015","179","10","Influenza","Influenza","HA","3_13iii","2013_12_17",0.116267656137083,1.53815480269528,0.707756538878852,0.191058191019447,0.907370932605252,NA
"CC001xCC074","13140","3015","180","10","Influenza","Influenza","HA","3_13iii","2013_11_26",0.994111929572998,NA,NA,0.389070848562281,0.567246989718242,3.88738090198074
"CC002xCC011","15156","3252","11","15","Influenza","Influenza","HA","10_13x","merged",NA,4.10956481409225,NA,NA,0.208270876526278,4.22176417001441
"CC002xCC011","15156","3252","13","45","Influenza","Influenza","HA","10_13x","2013_12_19",1.44095533476615,6.87078893897172,5.32222363513205,0.707243881336019,0.0366339400755145,NA
"CC002xCC011","15156","3252","13","45","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,6.86427605741496
"CC002xCC011","15156","3252","20","10","Influenza","Influenza","HA","10_13x","2014_04_22",0.0766632595991837,5.91059235541086,5.00088977909951,0.372698571873349,1.51830828911991,NA
"CC002xCC011","15156","3252","20","10","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,3.97515233854188
"CC002xCC011","15156","3252","32","15","Influenza","Influenza","HA","10_13x","2014_05_06",0.517181909892513,3.74875894740622,2.04359725590466,3.12361190175998,0.165584626174839,5.28581447807133
"CC002xCC011","15156","3252","34","10","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0.550822514760364
"CC002xCC011","15156","3252","34","10","Influenza","Influenza","HA","10_13x","merged",0.0371093951321506,1.78160170837055,0.289453570467602,0.505765205890186,0.298775427092637,NA
"CC002xCC011","15156","3252","49","10","Influenza","Influenza","HA","10_13x","merged",0.431619938449008,0.19937538507115,0.348260543316857,0.304490884960771,0.14575455056636,NA
"CC002xCC011","15156","3252","49","10","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0.296113721684564
"CC002xCC011","15156","3252","56","15","Influenza","Influenza","HA","10_13x","merged",NA,4.02711057158282,NA,NA,NA,4.6107870487597
"CC002xCC011","15156","3252","58","45","Influenza","Influenza","HA","10_13x","merged",NA,NA,NA,NA,NA,8.03996081292025
"CC002xCC011","15156","3252","58","45","Influenza","Influenza","HA","10_13x","2013_12_03",5.85936113161768,7.22130870933478,7.25342310306119,1.34773942887012,0.0389378045425481,NA
"CC002xCC011","15156","3252","59","45","Influenza","Influenza","HA","10_13x","2013_12_05",7.34830537693862,6.67968787482999,6.63468787482999,2.83682892772573,0.0279280313679916,NA
"CC002xCC011","15156","3252","59","45","Influenza","Influenza","HA","10_13x","merged",NA,NA,NA,NA,NA,7.62859580277691
"CC002xCC011","15156","3252","6","45","Influenza","Influenza","HA","10_13x","merged",NA,NA,4.92713256817882,0.0756420470519874,0.0373888266627926,NA
"CC002xCC011","15156","3252","7","45","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,6.16943598461797
"CC002xCC011","15156","3252","7","45","Influenza","Influenza","HA","10_13x","2013_12_19",1.78296754428109,6.93890977347651,4.5754066650943,0.829488434713877,0.0183953794481548,NA
"CC002xCC021","15156","1566","163","45","Influenza","Influenza","HA","2_13ii","2013_12_19",2.11027362107457,5.22671052956133,3.03873696471672,1.39122875963979,0.0402547745803053,NA
"CC002xCC021","15156","1566","168","45","Influenza","Influenza","HA","2_13ii","2013_12_03",4.8738742371884,6.95165189051395,6.94156037553287,3.8759102215044,0.386766984095246,NA
"CC002xCC021","15156","1566","170","15","Influenza","Influenza","HA","2_13ii","2013_11_26",4.5101390089572,NA,NA,4.62673052393833,0.638779865652023,7.26870098040072
"CC002xCC021","15156","1566","170","15","Influenza","Influenza","HA","2_13ii","merged",NA,5.50714878213177,NA,NA,NA,NA
"CC002xCC021","15156","1566","174","15","Influenza","Influenza","HA","2_13ii","2017_07_10",4.69192954383957,5.37955371074053,1.12490646889336,1.38587936169614,0.580570848562279,6.11215499889621
"CC002xCC021","15156","1566","178","45","Influenza","Influenza","HA","2_13ii","2017_08_01",7.2487529546557,4.45892954383957,1.55914147311061,1.49335026618641,0.206293643264586,6.94234446963683
"CC002xCC021","15156","1566","185","15","Influenza","Influenza","HA","2_13ii","2017_07_10",2.8371814340516,4.62936090760373,0.746158583119342,2.00092399911697,1.49534360139408,4.87581515011317
"CC002xCC021","15156","1566","195","10","Influenza","Influenza","HA","3_13iii","2013_12_05",2.64798885492875,1.49531094947424,3.15013256817882,4.57092976785351,0.504485774359547,NA
"CC002xCC021","15156","1566","199","10","Influenza","Influenza","HA","3_13iii","2013_12_17",2.03340002811498,4.08404640171939,2.6158866985303,1.81174320929418,0.0951992439151882,NA
"CC002xCC021","15156","1566","200","10","Influenza","Influenza","HA","3_13iii","2013_12_17",0.111529095509724,0.506119714435062,0.232934024118489,0.00190848501887865,0.0313136376415899,NA
"CC002xCC021","15156","1566","201","15","Influenza","Influenza","HA","3_13iii","2013_12_17",0,0.120607504920121,0.153489778797552,0.00390848501887865,0.109235004217247,NA
"CC002xCC021","15156","1566","202","15","Influenza","Influenza","HA","3_13iii","merged",NA,3.13987923578265,NA,NA,NA,NA
"CC002xCC021","15156","1566","202","15","Influenza","Influenza","HA","3_13iii","2013_11_26",0.852399804101032,NA,NA,1.33789535163514,0.571266536067355,4.49625007028745
"CC003xCC051","13067","16912","136","45","Influenza","Influenza","HA","11_13xi","2014_05_20",5.91275051831534,9.25760501295365,9.8738564551378,0.894973116816714,0.20111394569851,12.0831365448038
"CC003xCC051","13067","16912","137","45","Influenza","Influenza","HA","11_13xi","2014_05_20",2.09160949323261,11.152659871577,10.116591683369,3.56237936169613,0.14910750492012,12.5982109497762
"CC003xCC051","13067","16912","138","45","Influenza","Influenza","HA","11_13xi","2014_05_20",3.31418078982278,10.5387451697936,8.96228471051975,1.4640375246006,0.216849173929702,12.1808651082427
"CC003xCC051","13067","16912","162","10","Influenza","Influenza","HA","1_14i","2014_05_06",0.0833331839907027,1.52967322897467,1.24618034179489,1.67177717748467,0.384721226604686,3.6987818261515
"CC003xCC051","13067","16912","163","10","Influenza","Influenza","HA","1_14i","2014_05_06",0.0254640156839958,3.83002038677886,2.13991089354624,0.234470008434493,0.158718566250355,4.86492887179774
"CC003xCC051","13067","16912","164","10","Influenza","Influenza","HA","1_14i","2014_05_06",0.0220097731745564,1.89068854687183,0.659939568841094,0.642141921138505,0.149015989939,2.67318053799582
"CC003xCC051","13067","16912","36","15","Influenza","Influenza","HA","8_13viii","2013_12_03",0.238581069764727,3.52096908456569,2.62547574935802,2.1616394569851,0.568714337798404,NA
"CC003xCC051","13067","16912","36","15","Influenza","Influenza","HA","8_13viii","merged",NA,NA,NA,NA,NA,5.02839418284298
"CC003xCC051","13067","16912","37","15","Influenza","Influenza","HA","8_13viii","2013_11_26",0.775752982468739,NA,NA,1.65516922453666,0.150522654731335,NA
"CC003xCC051","13067","16912","37","15","Influenza","Influenza","HA","8_13viii","merged",NA,2.49539889413874,NA,NA,NA,3.25248432390803
"CC003xCC062","13067","5306","24","15","Influenza","Influenza","HA","1_15i","2017_02_15",0.0947547745803056,0.432067964194003,2.08102329896016,0.401649706000568,0.607599720058062,5.42326872058077
"CC003xCC062","13067","5306","29","15","Influenza","Influenza","HA","1_15i","2017_02_15",0.108140380853903,1.4059551107522,1.19588381416203,2.32908770674404,0.322189022712741,5.19424584183549
"CC003xCC062","13067","5306","34","15","Influenza","Influenza","HA","1_15i","2017_02_15",0.270270764519304,1.01153085980827,0.707266760081301,1.63438580247452,0.216208793075799,3.79514811008993
"CC003xCC062","13067","5306","35","15","Influenza","Influenza","HA","1_15i","2017_02_15",0.0926175021086234,0.982001316270655,0.911697675817568,1.78957171680504,0.242875385071151,4.20669031117037
"CC003xCC062","13067","5306","76","45","Influenza","Influenza","HA","2_15ii","2015_05_19",0.48606174742956,10.775767600511,10.1344808460527,2.61384981815852,0.472048193830945,11.4223049010977
"CC003xCC062","13067","5306","77","45","Influenza","Influenza","HA","2_15ii","2015_05_19",5.07296043146086,10.3946210028927,10.228699636317,7.15579893616023,4.13400817726391,11.3887429296542
"CC003xCC062","13067","5306","78","45","Influenza","Influenza","HA","2_15ii","2015_05_19",2.15892047051987,10.6152775976995,9.4164846264768,5.05161013746143,0.628185242288681,11.3462922435549
"CC003xCC062","13067","5306","79","45","Influenza","Influenza","HA","2_15ii","2015_05_19",2.35389336332264,9.6206085693638,10.3032256234445,7.27563878494327,1.81580694503623,11.2151814062386
"CC003xCC062","13067","5306","80","45","Influenza","Influenza","HA","2_15ii","2015_05_19",2.11488403817598,10.7572909272842,10.4238433495671,5.87687090479224,2.28162657542832,11.4982005045598
"CC003xCC062","13067","5306","87","45","Influenza","Influenza","HA","2_15ii","2015_05_19",2.61185427062442,10.7942804820678,10.5122220670344,5.87674673789126,0.492113497670619,11.4857260436594
"CC003xCC062","13067","5306","88","45","Influenza","Influenza","HA","2_15ii","2015_05_19",3.89172097477772,9.39342243101935,10.2501081213359,7.46476295184422,0.366280537693861,11.224155643125
"CC003xCC062","13067","5306","91","45","Influenza","Influenza","HA","2_15ii","2015_05_19",3.08866944855061,11.2127964720068,10.8384930555677,7.65506681631125,0.38165281438279,11.5780068053672
"CC004xCC011","16188","3252","154","45","Influenza","Influenza","HA","4_13iv","2013_12_17",0.000238560627359831,0.282567964194003,0.00527121254719662,0.0536501540284601,0.150480005622996,NA
"CC004xCC011","16188","3252","155","45","Influenza","Influenza","HA","4_13iv","2013_12_19",3.20425695909372,7.17693931701413,4.02634491766473,0.723410249317423,0.0158267432123138,NA
"CC004xCC011","16188","3252","160","45","Influenza","Influenza","HA","4_13iv","2013_12_17",1.47416524791168,4.26412481112978,2.9246938953935,1.37863570437406,0.0740881825849543,NA
