"RIX","ID","day","dam","sire","isotype","antigen_virus","antigen","assay_date","virus","cohort","RIX_ID","AUC"
"CC001xCC055","104","15","13140","16680","IgG1","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_104",4.20110324865515
"CC001xCC055","104","15","13140","16680","IgG3","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_104",1.92897443308737
"CC001xCC055","104","15","13140","16680","IgG2ac","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_104",4.17088801480097
"CC001xCC055","104","15","13140","16680","TotalG","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_104",9.07860834534982
"CC001xCC055","104","15","13140","16680","IgM","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_104",0.326960459273882
"CC001xCC055","104","15","13140","16680","IgG2b","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_104",3.64395088230025
"CC001xCC055","105","15","13140","16680","IgM","Influenza","HA","2017_07_19","Influenza","8_14viii","13140x16680_105",1.980579949695
"CC001xCC055","105","15","13140","16680","IgG2b","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_105",3.35239890804525
"CC001xCC055","105","15","13140","16680","IgG2ac","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_105",5.47025029430139
"CC001xCC055","105","15","13140","16680","TotalG","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_105",9.69699706000564
"CC001xCC055","105","15","13140","16680","IgG1","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_105",2.80652041459188
"CC001xCC055","105","15","13140","16680","IgG3","Influenza","HA","2017_07_19","Influenza","8_14viii","13140x16680_105",3.21763657261683
"CC001xCC055","105","15","13140","16680","IgG1","Influenza","HA","2017_07_19","Influenza","8_14viii","13140x16680_105",4.00266611615445
"CC001xCC055","105","15","13140","16680","IgG3","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_105",1.61277608522796
"CC001xCC055","105","15","13140","16680","IgG2ac","Influenza","HA","2017_07_19","Influenza","8_14viii","13140x16680_105",8.96925273064175
"CC001xCC055","105","15","13140","16680","IgG2b","Influenza","HA","2017_07_19","Influenza","8_14viii","13140x16680_105",5.23088378634901
"CC001xCC055","105","15","13140","16680","IgM","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_105",0.197875609085096
"CC001xCC055","105","15","13140","16680","TotalG","Influenza","HA","2017_07_19","Influenza","8_14viii","13140x16680_105",9.56292909581168
"CC001xCC055","108","15","13140","16680","IgG2b","Influenza","HA","2017_02_15","Influenza","8_14viii","13140x16680_108",3.49618944292761
