"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"X13067x16912",13067,16912,36,15,"Influenza","Influenza","HA","8_13viii","2013_12_12",NA,NA,NA,NA,NA,5.02839418284297
"X13067x16912",13067,16912,36,15,"Influenza","Influenza","HA","8_13viii","2013_12_03",0.4884476120985,3.52096908456569,1.62033198738963,1.4702514944679,-0.564377013454915,NA
"X13067x16912",13067,16912,37,15,"Influenza","Influenza","HA","8_13viii","2013_11_26",0.880768404558621,2.49539889413874,NA,1.2865338023296,-1.89364167634536,3.27353772080153
"X13067x16912",13067,16912,37,15,"Influenza","Influenza","HA","8_13viii","2013_12_12",NA,NA,NA,NA,NA,3.24562556536176
"X13067x5306",13067,5306,24,15,"Influenza","Influenza","HA","1_15i","2017_02_15",0.307822634938215,0.432067964194003,1.44257523164657,0.633758397183476,-0.498238968994559,5.42326872058077
"X13067x5306",13067,5306,29,15,"Influenza","Influenza","HA","1_15i","2017_02_15",0.328847047810837,1.4059551107522,1.09356472792516,1.52613489139854,-1.13261687861251,5.19424584183549
"X13067x5306",13067,5306,34,15,"Influenza","Influenza","HA","1_15i","2017_02_15",0.519875720263318,1.01153085980827,0.840991533893951,1.27843099245697,-1.53151070357818,3.79514811008993
"X13067x5306",13067,5306,35,15,"Influenza","Influenza","HA","1_15i","2017_02_15",0.304331237484132,0.982001316270655,0.954828610703286,1.33774874950606,-1.41520678581528,4.20669031117037
"X13140x16680",13140,16680,104,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",2.04965930062905,4.17088801480097,1.90891353452697,1.38887524028884,-1.11791603504799,9.07860834534982
"X13140x16680",13140,16680,105,15,"Influenza","Influenza","HA","8_14viii","2017_07_19",2.00066641801037,8.96925273064175,2.28711254343747,1.79377718031444,0.683389705704839,9.56292909581168
"X13140x16680",13140,16680,105,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",1.67526726661506,5.47025029430139,1.8309557362332,1.26995121371963,-1.62011668265508,9.69699706000564
"X13140x16680",13140,16680,108,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",0.945179963746959,5.08433492047623,1.86981000182575,0.787726115809859,-1.51629984117164,9.1946736491895
"X13140x16680",13140,16680,108,15,"Influenza","Influenza","HA","8_14viii","2017_07_19",1.0398083747699,8.32307636547185,2.18719948456206,0.949011615751477,0.584463232539285,9.03194553377857
"X13140x16680",13140,16680,109,15,"Influenza","Influenza","HA","8_14viii","2015_05_06",1.27139923187329,9.41197818569842,2.93626991028136,1.42166285003079,-0.442394694820519,10.22507569343
"X13140x3015",13140,3015,102,15,"Influenza","Influenza","HA","3_13iii","2013_12_17",1.89947471703072,3.54882117067669,1.82573944008253,1.26924071662825,-3.31592288021914,NA
"X13421x16034",13421,16034,64,15,"Influenza","Influenza","HA","7_15vii","2016_01_13",0.453335286026555,1.3827827500203,0.976619837209143,0.254764896763097,-2.70077443741091,2.14500420063893
"X13421x16034",13421,16034,67,15,"Influenza","Influenza","HA","7_15vii","2016_08_16",2.08474584064788,5.30855726715065,2.14034123437054,1.298129473137,-1.70724032985294,6.48378272220727
"X13421x16034",13421,16034,67,15,"Influenza","Influenza","HA","7_15vii","2017_07_19",2.13321341366285,6.38623340830661,1.47796437360794,1.0461355457526,-0.361684952673529,6.62399484767924
"X13421x16034",13421,16034,72,15,"Influenza","Influenza","HA","7_15vii","2016_08_16",2.08982248605843,3.94753772080153,2.04033313735555,1.08957663035358,-1.29433134130271,5.88026317585817
"X13421x16034",13421,16034,72,15,"Influenza","Influenza","HA","7_15vii","2017_07_10",2.07040493369915,4.26505371074053,1.11720838641738,0.684030566413913,-0.45498697636321,5.16847196893396
"X15155x8054",15155,8054,111,15,"Influenza","Influenza","HA","9_14ix","2017_02_15",0.808449376839017,2.04326163557356,0.951880686490054,0.80613994285024,-1.89385862350122,5.29583735681661
"X15155x8054",15155,8054,112,15,"Influenza","Influenza","HA","9_14ix","2017_02_15",0.999284944615092,2.94302595931448,1.32687918559411,0.880917189004289,-2.56931248848496,6.88144841814685
"X15155x8054",15155,8054,113,15,"Influenza","Influenza","HA","9_14ix","2017_02_15",1.81833105007202,2.62068210609343,1.09479513758734,0.93147143636841,-2.39535431437629,6.04946152371757
"X15155x8054",15155,8054,115,15,"Influenza","Influenza","HA","9_14ix","2015_05_06",1.28552295991346,7.35587734557063,2.33172039376057,1.92460637259507,-1.83838041395433,8.19054393756598
"X15156x1566",15156,1566,170,15,"Influenza","Influenza","HA","2_13ii","2013_11_26",2.12370878628808,5.50714878213177,NA,2.15098361777544,-0.448195382154885,7.26870098040072
"X15156x1566",15156,1566,174,15,"Influenza","Influenza","HA","2_13ii","2017_07_10",2.16608622724017,5.37955371074053,1.06061607987686,1.17723377529535,-0.543743437811139,6.11215499889621
"X15156x1566",15156,1566,185,15,"Influenza","Influenza","HA","2_13ii","2017_07_10",1.6843934914537,4.62936090760373,0.863804713531561,1.41454020767067,0.402356014143344,4.87581515011317
"X15156x1566",15156,1566,201,15,"Influenza","Influenza","HA","3_13iii","2013_12_17",0,0.120607504920121,0.391777716055357,0.0625178775941622,-2.21425371559698,NA
"X15156x1566",15156,1566,202,15,"Influenza","Influenza","HA","3_13iii","2013_11_26",0.923255004915236,3.13987923578266,NA,1.15667426341003,-0.559899390028824,4.49625007028745
"X15156x3252",15156,3252,11,15,"Influenza","Influenza","HA","10_13x","2017_07_19",1.21394431315682,4.51631515011317,0.924482629517695,0.614428175370805,-0.971687705127307,3.81079227136789
"X15156x3252",15156,3252,11,15,"Influenza","Influenza","HA","10_13x","2014_05_02",0.753299119353065,3.70281447807133,1.50055274992461,0.829143329913062,-3.26759465289497,4.63273606866093
"X15156x3252",15156,3252,32,15,"Influenza","Influenza","HA","10_13x","2014_05_06",0.719153606604676,3.74875894740622,1.42954442250133,1.76737429588641,-1.79827287844907,5.28581447807133
"X15156x3252",15156,3252,56,15,"Influenza","Influenza","HA","10_13x","2014_05_02",0.982777269905137,4.25774584183549,1.91378320200315,1.20563747437467,-2.56068969432822,5.51286023556188
"X15156x3252",15156,3252,56,15,"Influenza","Influenza","HA","10_13x","2017_07_10",1.17567413058149,3.79647530133013,1.09235783772286,0.82166628284244,-0.794270690914747,3.7087138619575
"X1566x8002",1566,8002,36,15,"Influenza","Influenza","HA","1_13i","2013_12_17",1.45497835020267,2.01759260723783,1.52843243645526,0.332690255265009,-1.52122549266148,NA
"X1566x8002",1566,8002,37,15,"Influenza","Influenza","HA","1_13i","2013_12_17",0.810524392010224,0.962210781388291,0.664259567453716,0.718592174344609,-0.664485486147981,NA
"X1566x8002",1566,8002,41,15,"Influenza","Influenza","HA","1_13i","2013_12_17",1.00045824005593,1.01360616083645,0.669192933588062,0.851190396487013,-1.1048198945314,NA
"X1566x8043",1566,8043,78,15,"Influenza","Influenza","HA","7_14vii","2017_02_15",1.45720531356777,1.98556216764443,0.904322378343721,0.702764573257276,-2.43918523702305,5.00407591744398
"X1566x8043",1566,8043,79,15,"Influenza","Influenza","HA","7_14vii","2017_02_15",0.8585033345538,1.02523321210568,0.793222057325489,0.669527433414977,-2.11223647223514,3.50449750803358
"X1566x8043",1566,8043,80,15,"Influenza","Influenza","HA","7_14vii","2017_02_15",1.19459856188367,0.903063511728106,1.06595917952225,1.12493159822774,-1.56567295490563,4.34712167493453
"X16034x13067",16034,13067,40,15,"Influenza","Influenza","HA","6_15vi","2015_11_16",1.73793760172775,5.14923052393834,2.39366369889057,1.46332370656082,0.630817959964054,7.25125651106583
"X16034x13067",16034,13067,46,15,"Influenza","Influenza","HA","6_15vi","2015_12_28",1.74780270107081,6.14919453962233,2.23805074312585,1.74137832190979,-1.67133223340619,8.24750795324995
"X16072x3393",16072,3393,118,15,"Influenza","Influenza","HA","9_14ix","2017_02_15",2.16460854658606,4.06264455367982,1.26506627940231,0.56899413578034,-1.76996104210659,4.68474584183549
"X16072x3393",16072,3393,119,15,"Influenza","Influenza","HA","9_14ix","2017_07_19",1.83854823691086,6.57783469646228,1.47719581542431,1.19556385062352,0.366387095983949,6.12381204173095
"X16072x3393",16072,3393,119,15,"Influenza","Influenza","HA","9_14ix","2017_02_15",1.62581878653351,6.9105921313969,1.24873449245928,1.00330738419766,-1.64681254559886,5.84165432685436
"X16072x3393",16072,3393,120,15,"Influenza","Influenza","HA","9_14ix","2017_02_15",2.13016940052535,8.0954777376705,1.71429404148412,1.29547883656879,-1.91972815694531,7.33165099445819
"X16072x5346",16072,5346,24,15,"Influenza","Influenza","HA","6_15vi","2015_12_28",1.06228799428123,5.12670431279688,2.02397117355735,1.22181461108109,-1.77232408271769,5.96693954102807
"X16072x5346",16072,5346,29,15,"Influenza","Influenza","HA","6_15vi","2015_12_28",0.933955314144018,2.2571394569851,1.57601883507277,0.657514902611743,-1.98218666393902,4.00908347829209
"X16072x5346",16072,5346,36,15,"Influenza","Influenza","HA","6_15vi","2015_12_28",0.487127953688334,4.11189067515529,2.079694505398,0.927514164854831,-1.98589376517789,5.01797241696186
"X16188x3252",16188,3252,236,15,"Influenza","Influenza","HA","7_13vii","2013_12_03",1.25683107978037,5.74404416157992,1.88551110167189,1.83896421580182,-0.54921879915131,NA
"X16188x3252",16188,3252,237,15,"Influenza","Influenza","HA","7_13vii","2013_11_26",0.618420223860038,5.25617954383957,NA,1.88974140320582,0.221616112741567,6.66600151247158
"X16188x3252",16188,3252,238,15,"Influenza","Influenza","HA","7_13vii","2013_12_03",0.973312698285386,4.28552461523081,1.47448195373518,1.14816571727205,-0.364080946097151,NA
"X16188x8005",16188,8005,81,15,"Influenza","Influenza","HA","1_14i","2014_05_26",1.7667767182604,10.3602091854776,3.01521691497007,2.94511400932711,0.836604974480257,11.8492573793086
"X16188x8005",16188,8005,82,15,"Influenza","Influenza","HA","1_14i","2014_05_26",1.09523704712402,9.12603304432163,2.69104797003754,2.12260185738454,0.100364415545845,10.3341078973219
"X16188x8005",16188,8005,83,15,"Influenza","Influenza","HA","1_14i","2014_05_26",0.883587951130545,9.1023859986754,2.7691910144678,2.6337975539296,0.0554548681301405,10.464071913006
"X16211x13140",16211,13140,54,15,"Influenza","Influenza","HA","9_13ix","2014_05_02",2.01875237005871,7.6478993282601,2.4179457238982,0.932118525444995,-1.83649154136634,9.54289910424612
"X16211x13140",16211,13140,54,15,"Influenza","Influenza","HA","9_13ix","2017_07_19",2.44532863234186,6.47635757520756,1.40965871496847,0.74110570404739,0.0551423377808288,7.49963212015093
"X16211x13140",16211,13140,64,15,"Influenza","Influenza","HA","9_13ix","2014_05_06",2.92587518835331,6.01537000873645,2.62824539820837,0.743203612928575,-1.01835322884956,10.6900130499447
"X16211x13140",16211,13140,65,15,"Influenza","Influenza","HA","9_13ix","2014_05_06",0.617881041369411,3.49104326552414,1.74680496439702,0.369312635903567,-2.45550228564641,5.24436023556189
"X16211x16557",16211,16557,129,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",1.47209108768986,4.75526872058077,1.09116977152921,0.564510925267039,-1.05634332127543,5.16396152371758
"X16211x16557",16211,16557,133,15,"Influenza","Influenza","HA","8_14viii","2015_05_06",0.221971197562198,4.66310302464121,1.56163009284268,0.160778176247879,-3.20936435571087,5.00194287342424
"X16211x16557",16211,16557,134,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",1.20767618587167,3.35616233573038,0.875627710250773,0.505401736973931,-1.68121955303806,5.41179159932606
"X16211x16557",16211,16557,135,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",1.77669684147297,6.03123273626477,0.935095614650735,0.677760077822759,-1.39555435279149,5.46550728120813
"X16441x8005",16441,8005,154,15,"Influenza","Influenza","HA","7_13vii","2013_12_03",1.55935995609388,5.29836113161768,2.38142149324324,1.11678103858546,-0.380554639324177,NA
"X16441x8005",16441,8005,190,15,"Influenza","Influenza","HA","7_13vii","2013_12_03",0.845111761704044,4.72095575498101,2.31321257617731,0.705991203133647,-0.178589587659698,NA
"X16441x8005",16441,8005,191,15,"Influenza","Influenza","HA","7_13vii","2013_12_03",0.59729435232292,4.33996552815558,1.80060492658868,0.883848221488885,-1.62874348585774,NA
"X16441x8024",16441,8024,100,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",2.59291973193633,2.21708527040366,1.39167480080847,1.40912869725836,-1.82637300374546,6.68392553940156
"X16441x8024",16441,8024,101,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",2.57758133516705,1.86378829474291,1.53310418993813,1.10415202500066,-2.46222579907425,6.66814122128365
"X16441x8024",16441,8024,91,15,"Influenza","Influenza","HA","8_14viii","2017_02_15",2.0756259207984,1.17027896959624,1.08830572600793,0.368165089975428,-2.15710105565728,4.30803015995341
"X16513x15156",16513,15156,70,15,"Influenza","Influenza","HA","10_13x","2014_05_06",1.85201403315282,7.7030921313969,2.24372780837412,2.01892697843915,0.393417242185757,9.15293842095829
"X16513x15156",16513,15156,71,15,"Influenza","Influenza","HA","10_13x","2014_05_02",1.36486248177044,6.31842553940155,2.03181174014873,1.57422929461324,-0.343698969834713,7.31579804010442
"X16513x15156",16513,15156,71,15,"Influenza","Influenza","HA","10_13x","2017_07_19",2.17712292716785,6.16938045395286,1.65110633047298,1.47391790690848,1.41540842964394,6.74694909018868
"X16513x15156",16513,15156,71,15,"Influenza","Influenza","HA","10_13x","2017_07_10",1.82934990059876,4.61683802885843,1.23523585483829,1.07657810426921,1.09023693233041,5.32529227136789
"X16513x15156",16513,15156,72,15,"Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,5.0131422293464
"X16513x15156",16513,15156,72,15,"Influenza","Influenza","HA","10_13x","2014_04_15",1.38657930043631,7.81205947947707,1.97609507629138,2.42805715001059,-0.259365360364907,NA
"X16513x16188",16513,16188,13,15,"Influenza","Influenza","HA","10_13x","2014_04_15",1.01143879156916,9.60347751365653,2.65936451632604,2.49245804979566,0.0515985013116504,NA
"X16513x16188",16513,16188,13,15,"Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,6.39882514730168
"X16513x16188",16513,16188,14,15,"Influenza","Influenza","HA","10_13x","2017_07_10",2.43154139580711,7.2984457577925,1.37693581055325,2.43090560173414,1.93614384739676,8.21704371355201
