"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC074","145","45","Influenza","HA","3_13iii","2013_12_05",2.82842712474619,64,64,2,-Inf,NA
"CC001xCC074","148","45","Influenza","HA","3_13iii","2014_01_13",2.64575131106459,64,64,0,-Inf,NA
"CC001xCC074","149","45","Influenza","HA","3_13iii","2013_12_03",2.44948974278318,NA,64,1.4142135623731,-Inf,NA
"CC002xCC011","13","45","Influenza","HA","10_13x","2013_12_19",2,49,36,1.73205080756888,-Inf,NA
"CC002xCC011","13","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,49
"CC002xCC011","58","45","Influenza","HA","10_13x","2013_12_03",NA,NA,49,2,-Inf,NA
"CC002xCC011","58","45","Influenza","HA","10_13x","2013_12_12",2.64575131106459,NA,NA,NA,NA,NA
"CC002xCC011","58","45","Influenza","HA.1","10_13x","2013_12_03",2.44948974278318,NA,NA,NA,NA,NA
"CC002xCC011","59","45","Influenza","HA","10_13x","2013_12_05",NA,49,36,2,-Inf,NA
"CC002xCC011","59","45","Influenza","HA","10_13x","2013_12_12",2.64575131106459,NA,NA,NA,NA,NA
"CC002xCC011","59","45","Influenza","HA.1","10_13x","2013_12_05",2.64575131106459,NA,NA,NA,NA,NA
"CC002xCC011","6","45","Influenza","HA","10_13x","2013_12_19",2.23606797749979,36,36,0,-Inf,NA
"CC002xCC011","6","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,49
"CC002xCC011","7","45","Influenza","HA","10_13x","2013_12_19",2,49,25,1.73205080756888,-Inf,NA
"CC002xCC021","163","45","Influenza","HA","2_13ii","2013_12_19",2,36,16,1.73205080756888,-Inf,NA
"CC002xCC021","168","45","Influenza","HA","2_13ii","2013_12_03",2.44948974278318,NA,49,2.23606797749979,0.301029995663981,NA
"CC003xCC051","136","45","Influenza","HA","11_13xi","2014_05_20",2.64575131106459,64,64,2,0,64
"CC003xCC051","137","45","Influenza","HA","11_13xi","2014_05_20",2.44948974278318,64,64,2.44948974278318,0,64
"CC003xCC051","138","45","Influenza","HA","11_13xi","2014_05_20",2.64575131106459,64,64,2.23606797749979,0,64
"CC003xCC062","76","45","Influenza","HA","2_15ii","2015_05_19",1,64,64,2.23606797749979,0.301029995663981,64
"CC003xCC062","77","45","Influenza","HA","2_15ii","2015_05_19",2.44948974278318,64,64,2.64575131106459,0.698970004336019,64
"CC003xCC062","78","45","Influenza","HA","2_15ii","2015_05_19",2.23606797749979,64,64,2.44948974278318,0.477121254719662,64
"CC003xCC062","79","45","Influenza","HA","2_15ii","2015_05_19",2.23606797749979,64,64,2.64575131106459,0.602059991327962,64
"CC003xCC062","80","45","Influenza","HA","2_15ii","2015_05_19",2.23606797749979,64,64,2.44948974278318,0.602059991327962,64
"CC003xCC062","87","45","Influenza","HA","2_15ii","2015_05_19",2.23606797749979,64,64,2.44948974278318,0.301029995663981,64
"CC003xCC062","88","45","Influenza","HA","2_15ii","2015_05_19",2.23606797749979,64,64,2.64575131106459,0.301029995663981,64
"CC003xCC062","91","45","Influenza","HA","2_15ii","2015_05_19",2.23606797749979,64,64,2.82842712474619,0.301029995663981,64
"CC004xCC011","154","45","Influenza","HA","4_13iv","2014_01_13",2.44948974278318,49,36,2.23606797749979,-Inf,NA
"CC004xCC011","155","45","Influenza","HA","4_13iv","2013_12_19",2.23606797749979,64,25,1.73205080756888,-Inf,NA
"CC004xCC011","160","45","Influenza","HA","4_13iv","2014_01_13",2.23606797749979,64,36,2.23606797749979,-Inf,NA
"CC004xCC012","107","45","Influenza","HA","12_13xii","2014_05_26",2.64575131106459,64,64,2.44948974278318,0,64
"CC004xCC012","108","45","Influenza","HA","12_13xii","2014_05_26",2.44948974278318,64,64,2.44948974278318,-Inf,64
"CC004xCC012","77","45","Influenza","HA","12_13xii","2014_05_26",2.82842712474619,64,64,2.64575131106459,0,64
"CC005xCC001","120","45","Influenza","HA","11_13xi","2014_05_26",2.44948974278318,49,64,2.64575131106459,-Inf,64
"CC005xCC001","121","45","Influenza","HA","11_13xi","2014_05_26",2.23606797749979,64,64,1.4142135623731,-Inf,64
"CC005xCC001","126","45","Influenza","HA","11_13xi","2014_05_26",2.64575131106459,64,64,2,-Inf,64
