"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"X13067x16912","13067","16912","100","7","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"X13067x16912","13067","16912","101","7","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0.5
"X13067x16912","13067","16912","109","7","Influenza","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"X13067x16912","13067","16912","109","7","Influenza","Influenza","HA","10_13x","2014_05_02",0,0,0,0,0,NA
"X13067x16912","13067","16912","136","45","Influenza","Influenza","HA","11_13xi","2014_05_20",4,5,6,0,0,7
"X13067x16912","13067","16912","137","45","Influenza","Influenza","HA","11_13xi","2014_05_20",0,6,6,2,0,7
"X13067x16912","13067","16912","138","45","Influenza","Influenza","HA","11_13xi","2014_05_20",0,6,5,0,0,7
"X13067x16912","13067","16912","162","10","Influenza","Influenza","HA","1_14i","2014_05_06",0,1,1,1,0,2
"X13067x16912","13067","16912","163","10","Influenza","Influenza","HA","1_14i","2014_05_06",0,2,1,0,0,3
"X13067x16912","13067","16912","164","10","Influenza","Influenza","HA","1_14i","2014_05_06",0,1,0,0,0,2
"X13067x16912","13067","16912","36","15","Influenza","Influenza","HA","8_13viii","2013_12_12",NA,NA,NA,NA,NA,3.33333333333333
"X13067x16912","13067","16912","36","15","Influenza","Influenza","HA","8_13viii","2013_12_03",0,2,2,2,0,NA
"X13067x16912","13067","16912","37","15","Influenza","Influenza","HA","8_13viii","2013_11_26",0,2,NA,1,0,2
"X13067x16912","13067","16912","37","15","Influenza","Influenza","HA","8_13viii","2013_12_12",NA,NA,NA,NA,NA,2
"X13067x5306","13067","5306","24","15","Influenza","Influenza","HA","1_15i","2017_02_15",0,0,1,0,0,3
"X13067x5306","13067","5306","29","15","Influenza","Influenza","HA","1_15i","2017_02_15",0,0,0,1,0,3
"X13067x5306","13067","5306","34","15","Influenza","Influenza","HA","1_15i","2017_02_15",0,0,0,1,0,2
"X13067x5306","13067","5306","35","15","Influenza","Influenza","HA","1_15i","2017_02_15",0,0,0,1,0,3
"X13067x5306","13067","5306","44","7","Influenza","Influenza","HA","1_15i","2015_11_09",0,0,0,0,0,0
"X13067x5306","13067","5306","53","7","Influenza","Influenza","HA","1_15i","2015_11_16",0,0,0,0,1,1
"X13067x5306","13067","5306","62","7","Influenza","Influenza","HA","1_15i","2015_11_09",0,0,0,0,0,0
"X13067x5306","13067","5306","76","45","Influenza","Influenza","HA","2_15ii","2015_05_19",0,7,7,1,0,8
"X13067x5306","13067","5306","77","45","Influenza","Influenza","HA","2_15ii","2015_05_19",4,7,7,5,3,8
"X13067x5306","13067","5306","78","45","Influenza","Influenza","HA","2_15ii","2015_05_19",0,7,6,3,0,8
"X13067x5306","13067","5306","79","45","Influenza","Influenza","HA","2_15ii","2015_05_19",0,6,7,5,1,8
"X13067x5306","13067","5306","80","45","Influenza","Influenza","HA","2_15ii","2015_05_19",0,7,7,4,1,8
"X13067x5306","13067","5306","87","45","Influenza","Influenza","HA","2_15ii","2015_05_19",0,7,7,4,0,8
"X13067x5306","13067","5306","88","45","Influenza","Influenza","HA","2_15ii","2015_05_19",3,6,7,5,0,8
"X13067x5306","13067","5306","91","45","Influenza","Influenza","HA","2_15ii","2015_05_19",2,8,7,5,0,8
"X13140x16680","13140","16680","101","7","Influenza","Influenza","HA","8_14viii","2017_07_13",0,0,0,0,0,0
"X13140x16680","13140","16680","102","7","Influenza","Influenza","HA","8_14viii","2017_07_13",0,0,0,0,0,0
"X13140x16680","13140","16680","104","15","Influenza","Influenza","HA","8_14viii","2017_02_15",3,3,3,1,0,5
"X13140x16680","13140","16680","105","15","Influenza","Influenza","HA","8_14viii","2017_07_19",3,5,3,2,0,6
"X13140x16680","13140","16680","105","15","Influenza","Influenza","HA","8_14viii","2017_02_15",0,4,2,0,0,5
