"RIX","ID","day","virus","cohort","RIX_ID"
"CC003xCC051",114,4,"Mock","10_13x","13067x16912_114"
"CC003xCC051",112,4,"Mock","10_13x","13067x16912_112"
"CC003xCC051",153,2,"Influenza","12_13xii","13067x16912_153"
"CC003xCC051",156,2,"Mock","12_13xii","13067x16912_156"
"CC003xCC051",37,15,"Influenza","8_13viii","13067x16912_37"
"CC003xCC051",113,4,"Mock","10_13x","13067x16912_113"
"CC003xCC051",164,10,"Influenza","1_14i","13067x16912_164"
"CC003xCC051",162,10,"Influenza","1_14i","13067x16912_162"
"CC003xCC051",155,2,"Influenza","12_13xii","13067x16912_155"
"CC003xCC051",97,4,"Influenza","10_13x","13067x16912_97"
"CC003xCC051",109,7,"Influenza","10_13x","13067x16912_109"
"CC003xCC051",154,2,"Influenza","12_13xii","13067x16912_154"
"CC003xCC051",53,15,"Mock","8_13viii","13067x16912_53"
"CC003xCC051",163,10,"Influenza","1_14i","13067x16912_163"
"CC003xCC051",149,2,"Mock","12_13xii","13067x16912_149"
"CC003xCC051",111,4,"Influenza","10_13x","13067x16912_111"
"CC003xCC051",38,15,"Mock","8_13viii","13067x16912_38"
"CC003xCC051",138,45,"Influenza","11_13xi","13067x16912_138"
"CC003xCC051",91,4,"Influenza","10_13x","13067x16912_91"
"CC003xCC051",139,45,"Influenza","11_13xi","13067x16912_139"
"CC003xCC051",136,45,"Influenza","11_13xi","13067x16912_136"
"CC003xCC051",36,15,"Influenza","8_13viii","13067x16912_36"
"CC003xCC051",152,2,"Mock","12_13xii","13067x16912_152"
"CC003xCC051",100,7,"Influenza","10_13x","13067x16912_100"
"CC003xCC051",39,15,"Mock","8_13viii","13067x16912_39"
"CC003xCC051",137,45,"Influenza","11_13xi","13067x16912_137"
"CC003xCC051",101,7,"Influenza","10_13x","13067x16912_101"
"CC003xCC051",52,15,"Influenza","8_13viii","13067x16912_52"
"CC003xCC062",24,15,"Influenza","1_15i","13067x5306_24"
"CC003xCC062",29,15,"Influenza","1_15i","13067x5306_29"
"CC003xCC062",67,15,"Mock","1_15i","13067x5306_67"
"CC003xCC062",35,15,"Influenza","1_15i","13067x5306_35"
"CC003xCC062",91,45,"Influenza","2_15ii","13067x5306_91"
"CC003xCC062",87,45,"Influenza","2_15ii","13067x5306_87"
"CC003xCC062",88,45,"Influenza","2_15ii","13067x5306_88"
"CC003xCC062",40,15,"Mock","1_15i","13067x5306_40"
"CC003xCC062",34,15,"Influenza","1_15i","13067x5306_34"
"CC003xCC062",22,4,"Mock","1_15i","13067x5306_22"
"CC003xCC062",42,2,"Mock","1_15i","13067x5306_42"
"CC003xCC062",44,7,"Influenza","1_15i","13067x5306_44"
"CC003xCC062",78,45,"Influenza","2_15ii","13067x5306_78"
"CC003xCC062",60,2,"Mock","1_15i","13067x5306_60"
"CC003xCC062",61,4,"Influenza","1_15i","13067x5306_61"
"CC003xCC062",54,15,"Mock","1_15i","13067x5306_54"
"CC003xCC062",52,4,"Influenza","1_15i","13067x5306_52"
"CC003xCC062",71,2,"Influenza","1_15i","13067x5306_71"
"CC003xCC062",63,2,"Influenza","1_15i","13067x5306_63"
"CC003xCC062",62,7,"Influenza","1_15i","13067x5306_62"
"CC003xCC062",70,2,"Influenza","1_15i","13067x5306_70"
"CC003xCC062",51,2,"Mock","1_15i","13067x5306_51"
"CC003xCC062",79,45,"Influenza","2_15ii","13067x5306_79"
"CC003xCC062",80,45,"Influenza","2_15ii","13067x5306_80"
"CC003xCC062",53,7,"Influenza","1_15i","13067x5306_53"
"CC003xCC062",55,2,"Influenza","1_15i","13067x5306_55"
"CC003xCC062",76,45,"Influenza","2_15ii","13067x5306_76"
"CC003xCC062",77,45,"Influenza","2_15ii","13067x5306_77"
"CC003xCC062",43,4,"Influenza","1_15i","13067x5306_43"
"CC003xCC062",41,4,"Mock","1_15i","13067x5306_41"
"CC003xCC062",50,4,"Mock","1_15i","13067x5306_50"
"CC001xCC055",102,7,"Influenza","8_14viii","13140x16680_102"
"CC001xCC055",101,7,"Influenza","8_14viii","13140x16680_101"
"CC001xCC055",107,7,"Influenza","8_14viii","13140x16680_107"
"CC001xCC055",120,4,"Influenza","9_14ix","13140x16680_120"
"CC001xCC055",139,4,"Influenza","9_14ix","13140x16680_139"
"CC001xCC055",151,45,"Influenza","9_14ix","13140x16680_151"
"CC001xCC055",150,45,"Influenza","9_14ix","13140x16680_150"
"CC001xCC055",152,45,"Influenza","9_14ix","13140x16680_152"
"CC001xCC055",110,4,"Mock","9_14ix","13140x16680_110"
"CC001xCC055",112,4,"Mock","9_14ix","13140x16680_112"
"CC001xCC055",58,2,"Influenza","7_14vii","13140x16680_58"
"CC001xCC055",47,10,"Influenza","7_14vii","13140x16680_47"
"CC001xCC055",62,15,"Mock","8_14viii","13140x16680_62"
"CC001xCC055",56,2,"Influenza","7_14vii","13140x16680_56"
"CC001xCC055",45,2,"Mock","7_14vii","13140x16680_45"
"CC001xCC055",113,4,"Influenza","9_14ix","13140x16680_113"
"CC001xCC055",104,15,"Influenza","8_14viii","13140x16680_104"
"CC001xCC055",114,4,"Influenza","9_14ix","13140x16680_114"
"CC001xCC055",43,10,"Influenza","7_14vii","13140x16680_43"
"CC001xCC055",108,15,"Influenza","8_14viii","13140x16680_108"
"CC001xCC055",111,4,"Mock","9_14ix","13140x16680_111"
"CC001xCC055",48,2,"Influenza","7_14vii","13140x16680_48"
"CC001xCC055",63,15,"Mock","8_14viii","13140x16680_63"
"CC001xCC055",64,15,"Mock","8_14viii","13140x16680_64"
"CC001xCC055",44,2,"Mock","7_14vii","13140x16680_44"
"CC001xCC055",42,10,"Influenza","7_14vii","13140x16680_42"
"CC001xCC055",46,2,"Mock","7_14vii","13140x16680_46"
"CC001xCC055",109,15,"Influenza","8_14viii","13140x16680_109"
"CC001xCC055",105,15,"Influenza","8_14viii","13140x16680_105"
"CC001xCC074",195,4,"Mock","4_13iv","13140x3015_195"
"CC001xCC074",216,1,"Mock","5_13v","13140x3015_216"
"CC001xCC074",233,1,"Mock","5_13v","13140x3015_233"
"CC001xCC074",228,NA,NA,"5_13v","13140x3015_228"
"CC001xCC074",164,4,"Influenza","4_13iv","13140x3015_164"
"CC001xCC074",102,15,"Influenza","3_13iii","13140x3015_102"
"CC001xCC074",175,4,"Influenza","4_13iv","13140x3015_175"
"CC001xCC074",209,4,"Mock","4_13iv","13140x3015_209"
"CC001xCC074",134,15,"Mock","3_13iii","13140x3015_134"
"CC001xCC074",234,1,"Mock","5_13v","13140x3015_234"
"CC001xCC074",131,15,"Influenza","3_13iii","13140x3015_131"
"CC001xCC074",149,45,"Influenza","3_13iii","13140x3015_149"
"CC001xCC074",213,1,"Mock","5_13v","13140x3015_213"
"CC001xCC074",176,7,"Influenza","4_13iv","13140x3015_176"
"CC001xCC074",96,15,"Influenza","3_13iii","13140x3015_96"
"CC001xCC074",103,2,"Influenza","3_13iii","13140x3015_103"
"CC001xCC074",174,4,"Influenza","4_13iv","13140x3015_174"
"CC001xCC074",208,4,"Mock","4_13iv","13140x3015_208"
"CC001xCC074",253,1,"Influenza","5_13v","13140x3015_253"
"CC001xCC074",236,1,"Influenza","5_13v","13140x3015_236"
"CC001xCC074",237,1,"Influenza","5_13v","13140x3015_237"
"CC001xCC074",95,2,"Mock","3_13iii","13140x3015_95"
"CC001xCC074",145,45,"Influenza","3_13iii","13140x3015_145"
"CC001xCC074",135,15,"Mock","3_13iii","13140x3015_135"
"CC001xCC074",207,7,"Influenza","4_13iv","13140x3015_207"
"CC001xCC074",97,2,"Influenza","3_13iii","13140x3015_97"
"CC001xCC074",179,10,"Influenza","3_13iii","13140x3015_179"
"CC001xCC074",180,10,"Influenza","3_13iii","13140x3015_180"
"CC001xCC074",132,2,"Influenza","3_13iii","13140x3015_132"
"CC001xCC074",111,2,"Mock","3_13iii","13140x3015_111"
"CC001xCC074",163,10,"Influenza","3_13iii","13140x3015_163"
"CC001xCC074",359,4,"Influenza","8_13viii","13140x3015_359"
"CC001xCC074",101,2,"Mock","3_13iii","13140x3015_101"
"CC001xCC074",148,45,"Influenza","3_13iii","13140x3015_148"
"CC001xCC074",360,4,"Influenza","8_13viii","13140x3015_360"
"CC001xCC074",116,15,"Mock","3_13iii","13140x3015_116"
"CC001xCC074",242,1,"Mock","5_13v","13140x3015_242"
"CC001xCC074",177,7,"Influenza","4_13iv","13140x3015_177"
"CC001xCC074",357,4,"Influenza","8_13viii","13140x3015_357"
"CC001xCC074",358,4,"Influenza","8_13viii","13140x3015_358"
"CC007xCC070",63,15,"Mock","7_15vii","13421x16034_63"
"CC007xCC070",45,4,"Influenza","6_15vi","13421x16034_45"
"CC007xCC070",46,4,"Influenza","6_15vi","13421x16034_46"
"CC007xCC070",3,2,"Influenza","5_15v","13421x16034_3"
"CC007xCC070",11,10,"Influenza","5_15v","13421x16034_11"
"CC007xCC070",76,7,"Influenza","8_15viii","13421x16034_76"
"CC007xCC070",83,7,"Influenza","8_15viii","13421x16034_83"
"CC007xCC070",77,7,"Influenza","8_15viii","13421x16034_77"
"CC007xCC070",82,7,"Influenza","8_15viii","13421x16034_82"
"CC007xCC070",66,15,"Mock","7_15vii","13421x16034_66"
"CC007xCC070",28,4,"Mock","6_15vi","13421x16034_28"
"CC007xCC070",6,2,"Mock","5_15v","13421x16034_6"
"CC007xCC070",12,2,"Mock","5_15v","13421x16034_12"
"CC007xCC070",5,2,"Mock","5_15v","13421x16034_5"
"CC007xCC070",67,15,"Influenza","7_15vii","13421x16034_67"
"CC007xCC070",2,2,"Influenza","5_15v","13421x16034_2"
"CC007xCC070",62,15,"Mock","7_15vii","13421x16034_62"
"CC007xCC070",121,45,"Influenza","11_15xi","13421x16034_121"
"CC007xCC070",106,45,"Influenza","10_15x","13421x16034_106"
"CC007xCC070",1,2,"Influenza","5_15v","13421x16034_1"
"CC007xCC070",7,10,"Influenza","5_15v","13421x16034_7"
"CC007xCC070",64,15,"Influenza","7_15vii","13421x16034_64"
"CC007xCC070",122,45,"Influenza","11_15xi","13421x16034_122"
"CC007xCC070",37,4,"Influenza","6_15vi","13421x16034_37"
"CC007xCC070",72,15,"Influenza","7_15vii","13421x16034_72"
"CC007xCC070",36,4,"Mock","6_15vi","13421x16034_36"
"CC007xCC070",104,45,"Influenza","10_15x","13421x16034_104"
"CC007xCC070",35,4,"Mock","6_15vi","13421x16034_35"
