"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC055","13140","16680","101","7","Influenza","Influenza","HA","8_14viii","2017_07_13",10,10,10,10,300,100
"CC042xCC019","18042","16513","11","7","Influenza","Influenza","HA","3_14iii","2017_07_13",10,1000,10,10,1000,1000
"CC051xCC005","16912","16211","96","7","Influenza","Influenza","HA","6_13vi","2017_07_13",1000,1000,10,100,1000,NA
"CC019xCC002","16513","15156","239","10","Influenza","Influenza","HA","1_15i","2015_11_09",10,1000,300,100,10,3000
"CC001xCC055","13140","16680","102","7","Influenza","Influenza","HA","8_14viii","2017_07_13",10,100,10,10,1000,300
"CC042xCC019","18042","16513","12","7","Influenza","Influenza","HA","3_14iii","2017_07_13",10,300,10,100,1000,300
"CC022xCC044","8046","4410","26","7","Influenza","Influenza","HA","2_16ii","2017_01_02",10,100,100,10,100,300
"CC042xCC019","18042","16513","26","7","Influenza","Influenza","HA","3_14iii","2017_07_13",10,10,10,10,3000,100
"CC051xCC009","16912","5489","24","7","Influenza","Influenza","HA","4_14iv","2017_07_13",10,300,10,10,3000,300
"CC013xCC041","8010","16441","102","7","Influenza","Influenza","HA","10_13x","merged",10,100,100,100,100,NA
"CC022xCC044","8046","4410","32","7","Influenza","Influenza","HA","2_16ii","2017_01_02",10,10,10,10,10,10
"CC001xCC055","13140","16680","104","15","Influenza","Influenza","HA","8_14viii","2017_02_15",30000,30000,30000,3000,10,3e+05
"CC001xCC055","13140","16680","107","7","Influenza","Influenza","HA","8_14viii","2017_07_13",10,300,10,10,1000,300
"CC063xCC001","5391","13140","15","7","Influenza","Influenza","HA","10_15x","2017_01_02",10,10,10,10,10,300
"CC039xCC020","15155","8054","27","7","Influenza","Influenza","HA","6_14vi","2014_08_20",10,1000,10,300,100,1000
"CC075xCC035","3260","5035","27","7","Influenza","Influenza","HA","6_15vi","2016_01_13",10,10,10,10,10,100
"CC051xCC009","16912","5489","37","7","Influenza","Influenza","HA","4_14iv","2017_07_13",1000,1000,10,100,1000,3000
"CC063xCC001","5391","13140","16","7","Influenza","Influenza","HA","10_15x","2017_01_02",10,300,10,100,10,300
