"strain","alias","status"
"CC001",13140,0
"CC002",15156,0
"CC003",13067,0
"CC004",16188,2
"CC005",16211,0
"CC006",16750,1
"CC007",13421,0.333333333333333
"CC008",8036,1
"CC009",5489,0
"CC010",8018,0.5
"CC011",3252,0
"CC012",8005,1
"CC013",8010,0
"CC014",3415,0.375
"CC015",3154,0
"CC016",8024,0
"CC017",3032,0
"CC018",3609,1
"CC019",16513,0
"CC020",8054,0
"CC021",1566,0
"CC022",8046,0
"CC023",8043,0
"CC024",8004,0
"CC025",8008,0.5
"CC026",8026,0
"CC027",8027,0
"CC028",8016,0
"CC029",3564,0
"CC030",8034,2
"CC031",8031,0
"CC032",8002,2
"CC033",8033,0.666666666666667
"CC034",5080,2
"CC035",5035,0
"CC036",477,1
"CC037",16072,1
"CC038",8049,0
"CC039",15155,0
"CC040",16557,0
"CC041",16441,0
"CC042",18042,0.5
"CC043",8021,0.333333333333333
"CC044",4410,0
"CC045",8045,0
"CC046",5346,0
"CC047",5612,0
"CC049",16296,0.5
"CC050",867,0
"CC051",16912,0
"CC052",8052,0
"CC053",773,0
"CC055",16680,0
"CC056",8056,0
"CC057",3393,0
"CC058",5358,0.5
"CC059",16012,0
"CC060",3460,0
"CC061",8048,0.5
"CC062",5306,2
"CC063",5391,0
"CC065",5119,0
"CC068",16768,2
"CC070",16034,0
"CC071",16785,0
"CC072",16521,1
"CC073",1515,1.5
"CC074",3015,2
"CC075",3260,0
