RI.StrainID,Animal.ID,Sex,IgM_ug,Total.IgG_ug,IgG1_ug,IgG2a_ug,IgG2b_ug,IgG2c_ug,IgG3_ug,IgA_ug,IgG2ac_ug
CC036.Unc,791,Female,2.622524862,0.776991585,2.8109714,NA,2.781468143,3.038421446,2.170848204,2.296884476,3.038587174
CC036.Unc,792,Female,2.760497875,0.796366155,2.94610823,NA,2.827175348,2.903035697,1.964730921,2.512417549,2.90324985
CC021.Unc,1519,Female,2.781755375,0.679609572,2.31196566,1.921166051,1.775974331,NA,2.300160537,2.677424438,1.92101502
CC074.Unc,586,Female,2.713910354,1.474973433,3.306939442,2.7846886,2.28645647,NA,2.206015877,2.609380944,2.784707254
CC017.Unc,1631,Female,2.540579717,0.572871602,2.443419462,2.64384731,2,2.13481437,1.833147112,2.855276804,2.761014033
CC017.Unc,1632,Female,2.126456113,0.5132176,2.742568034,2.559308011,1.750508395,NA,1.413299764,2.772174961,2.559347261
CC015.Unc,1848,Female,2.079543007,0.533009022,2.942206542,2.594282029,1.432969291,NA,1.644438589,2.279210513,2.594366988
CC015.Unc,1923,Female,2.145507171,0.13225969,2.652729696,2.355068206,1.822821645,NA,1.575187845,2.243286146,2.355174681
CC011.Unc,2608,Female,1.942999593,0.709524356,3.040206628,NA,2.686814955,2.722387094,1.880813592,2.23578087,2.722641374
CC011.Unc,2609,Female,2.075546961,0.922102367,3.095622595,NA,2.933841463,3.215426048,2.235023159,2.545059585,3.215560946
CC011.Unc,2609,Female,2.244524512,1.036948112,3.308777774,NA,3.235755635,3.120738406,2.392872745,2.344588743,3.12099179
CC075.Unc,840,Female,2.368658712,NA,2.146748014,NA,0.785329835,NA,1.117271296,2.257678575,NA
CC057.Unc,729,Female,2.527243116,0.813046965,3.252877293,NA,2.603901832,2.94472936,2.700617196,2.212986185,2.944903635
CC057.Unc,730,Female,2.55278985,1.070111783,3.588372564,NA,3.006637159,3.078239254,2.550839605,2.316389751,3.0783438
CC060.Unc,758,Female,2.323458367,0.32407658,2.501470072,NA,2.259354927,2.254789687,2.306853749,2.347915187,2.255580333
CC060.Unc,759,Female,2.298634783,0.489536629,2.946304855,NA,2.559906625,1.820857989,2.291590826,2.136403448,1.823119419
CC029.Unc,545,Female,2.346352974,0.859198362,3.109207196,NA,2.720903171,3.135895576,2.733357788,2.165244326,3.136000525
CC029.Unc,546,Female,2.26245109,0.59670703,2.8602781,NA,2.428134794,2.762153192,2.500922239,2.350441857,2.76232744
CC029.Unc,585,Female,2.145817714,0.548880563,2.930286647,NA,2.443888547,2.697926445,1.794488047,2.315550534,2.698320217
CC029.Unc,586,Female,2.077367905,0.462098381,2.778729924,NA,2.356981401,2.555698895,1.838219222,2.190051418,2.556180002
CC058.Unc,983,Female,2.31827208,0.247482261,1.835056102,2.008174184,1.627365857,NA,2.115610512,2.548880563,2.008386187
CC058.Unc,984,Female,2.406028945,0.416640507,1.900367129,2.209246849,1.940516485,NA,2.390581879,2.415807728,2.209368837
CC018.Unc,1065,Female,2.486855355,1.14928071,3.670663243,2.690727544,2.327358934,NA,1.883093359,2.416806872,2.6913727
CC018.Unc,1066,Female,2.446070936,1.196535414,3.738415852,2.503926804,2.383815366,NA,1.967079734,2.350248018,2.505254658
CC044.Unc,1398,Female,3.08127528,0.990116766,3.146809963,NA,3.258972331,3.552643885,3.101781431,2.222716471,3.552699376
CC044.Unc,1399,Female,2.822886948,0.810165285,3.016197354,NA,2.899929883,2.94826622,2.048830087,2.475380593,2.948499238
CC035.Unc,1535,Female,2.901240302,0.534787359,2.511616021,2.397418542,1.357934847,1.691965103,2.305781151,2.471438407,2.475477429
