"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","halfmax","last_positive"
"CC001xCC055","104","13140x16680_104","15","Influenza","8_14viii","IgG1","Flu","HA","2017_02_15",3,6
"CC001xCC055","104","13140x16680_104","15","Influenza","8_14viii","IgG2ac","Flu","HA","2017_02_15",3,6
"CC001xCC055","104","13140x16680_104","15","Influenza","8_14viii","IgG2b","Flu","HA","2017_02_15",3,6
"CC001xCC055","104","13140x16680_104","15","Influenza","8_14viii","IgG3","Flu","HA","2017_02_15",1,5
"CC001xCC055","104","13140x16680_104","15","Influenza","8_14viii","IgM","Flu","HA","2017_02_15",0,0
"CC001xCC055","104","13140x16680_104","15","Influenza","8_14viii","TotalG","Flu","HA","2017_02_15",5,8
"CC001xCC055","109","13140x16680_109","15","Influenza","8_14viii","IgG1","Flu","HA","2015_05_06",0,5
"CC001xCC055","109","13140x16680_109","15","Influenza","8_14viii","IgG2ac","Flu","HA","2015_05_06",6,8
"CC001xCC055","109","13140x16680_109","15","Influenza","8_14viii","IgG2b","Flu","HA","2015_05_06",6,8
"CC001xCC055","109","13140x16680_109","15","Influenza","8_14viii","IgG3","Flu","HA","2015_05_06",0,5
"CC001xCC055","109","13140x16680_109","15","Influenza","8_14viii","IgM","Flu","HA","2015_05_06",0,3
"CC001xCC055","109","13140x16680_109","15","Influenza","8_14viii","TotalG","Flu","HA","2015_05_06",7,8
"CC001xCC055","42","13140x16680_42","10","Influenza","7_14vii","IgG1","Flu","HA","2014_09_17",0,0
"CC001xCC055","42","13140x16680_42","10","Influenza","7_14vii","IgG2ac","Flu","HA","2014_09_17",1,4
"CC001xCC055","42","13140x16680_42","10","Influenza","7_14vii","IgG2b","Flu","HA","2014_09_17",0,3
"CC001xCC055","42","13140x16680_42","10","Influenza","7_14vii","IgG3","Flu","HA","2014_09_17",0,2
"CC001xCC055","42","13140x16680_42","10","Influenza","7_14vii","IgM","Flu","HA","2014_09_17",0,2
"CC001xCC055","42","13140x16680_42","10","Influenza","7_14vii","TotalG","Flu","HA","2014_09_17",2,5
"CC001xCC055","43","13140x16680_43","10","Influenza","7_14vii","IgG1","Flu","HA","2014_09_17",0,0
"CC001xCC055","43","13140x16680_43","10","Influenza","7_14vii","IgG2ac","Flu","HA","2014_09_17",2,5
"CC001xCC055","43","13140x16680_43","10","Influenza","7_14vii","IgG2b","Flu","HA","2014_09_17",0,4
"CC001xCC055","43","13140x16680_43","10","Influenza","7_14vii","IgG3","Flu","HA","2014_09_17",0,0
"CC001xCC055","43","13140x16680_43","10","Influenza","7_14vii","IgM","Flu","HA","2014_09_17",0,0
"CC001xCC055","43","13140x16680_43","10","Influenza","7_14vii","TotalG","Flu","HA","2014_09_17",2,5
"CC001xCC055","47","13140x16680_47","10","Influenza","7_14vii","IgG1","Flu","HA","2014_09_17",0,0
"CC001xCC055","47","13140x16680_47","10","Influenza","7_14vii","IgG2ac","Flu","HA","2014_09_17",3,5
"CC001xCC055","47","13140x16680_47","10","Influenza","7_14vii","IgG2b","Flu","HA","2014_09_17",0,3
"CC001xCC055","47","13140x16680_47","10","Influenza","7_14vii","IgG3","Flu","HA","2014_09_17",0,0
"CC001xCC055","47","13140x16680_47","10","Influenza","7_14vii","IgM","Flu","HA","2014_09_17",0,0
"CC001xCC055","47","13140x16680_47","10","Influenza","7_14vii","TotalG","Flu","HA","2014_09_17",3,5
"CC001xCC074","102","13140x3015_102","15","Influenza","3_13iii","IgG1","Flu","HA","2014_01_13",3,5
"CC001xCC074","102","13140x3015_102","15","Influenza","3_13iii","IgG2ac","Flu","HA","2014_01_13",3,5
