"","RIX","day","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"1","CC001xCC055","d7_d10",5.09151041752918,7.46418498131652,6.02010147521141,5.17320307132335,4.46411223765507,7.99400920424613
"2","CC001xCC055","d10_d15",7.18742551146273,9.22367014176674,10.1021288252162,6.38080197926795,5.25992108680985,10.8682619892921
"3","CC001xCC055","d15_d45",NA,NA,NA,NA,NA,NA
"4","CC001xCC074","d7_d10",6.99401291463437,7.43649334266417,5.6794371048135,5.2739640626681,5.61260573636351,9.52414320972195
"5","CC001xCC074","d10_d15",6.63810874664526,6.09919456756116,7.63964057718064,6.35488194750496,4.40761956521824,NA
"6","CC001xCC074","d15_d45",6.1894440682911,7.18979354090606,7.28574563648937,3.95420982005801,5.06327407849927,NA
"7","CC002xCC011","d7_d10",5.17844288977431,7.45484263787186,6.75788749222757,5.36859518841115,5.61494938192069,6.57644046990982
"8","CC002xCC011","d10_d15",5.34945699181903,6.34759428771986,5.26331589695214,7.63696825403603,4.54672094207756,7.93196770790766
"9","CC002xCC011","d15_d45",8.60478804999501,8.0628822718113,8.71305012634125,3.15624729496868,4.85900165805548,7.66438182416919
"10","CC002xCC021","d7_d10",6.10283483885166,6.349711803735,6.92256211652807,6.61722607379018,4.85444315575942,NA
"11","CC002xCC021","d10_d15",5.99476324499203,6.74089028601283,3.68927312631418,4.75694633654554,5.48277889885979,NA
"12","CC002xCC021","d15_d45",7.18004292576965,6.80317472916745,8.18570060716995,5.39650148448241,4.54613857578808,6.26818678269908
"13","CC003xCC051","d7_d10",5.05172069476028,7.34355436436616,6.32143591007245,5.76035617512039,5.0077936995197,8.4742104364738
"14","CC003xCC051","d10_d15",5.47763731482028,5.64092856139789,6.29087142761725,6.07301391806163,5.14287251498682,5.58961282751628
"15","CC003xCC051","d15_d45",8.27975252066015,11.39816060194,11.3082764401683,5.07946493993024,4.84347765823788,11.9396395207495
"16","CC003xCC062","d7_d10",NA,NA,NA,NA,NA,NA
"17","CC003xCC062","d10_d15",NA,NA,NA,NA,NA,NA
"18","CC003xCC062","d15_d45",7.59499735057881,14.479254435586,14.0535493914559,9.5966920159259,5.98831963070662,11.9197096056296
"19","CC004xCC011","d7_d10",5.06611116895333,6.60535633385985,5.1880495662309,5.2652978603794,6.09933262896878,NA
"20","CC004xCC011","d10_d15",5.92600368282685,8.13090421484739,7.15300922754946,7.46132919164471,4.47976142559194,NA
"21","CC004xCC011","d15_d45",5.60382435385604,3.82670053688251,4.46821804831246,2.97557249145702,4.25409498757473,NA
"22","CC004xCC012","d7_d10",4.99805817028549,5.55767489529856,5.54056183870258,5.12134115822624,5.17907227696571,8.36426519023142
"23","CC004xCC012","d10_d15",5.94024964092737,12.0944122099427,10.769400513856,10.6305601423737,6.17082286042973,10.6228703047901
"24","CC004xCC012","d15_d45",9.12550262339611,7.06458022996407,7.43222661283943,3.40373107457638,3.65056248499752,6.72518291833271
"25","CC005xCC001","d7_d10",NA,NA,NA,NA,NA,NA
"26","CC005xCC001","d10_d15",NA,NA,NA,NA,NA,NA
"27","CC005xCC001","d15_d45",3.83968327753115,8.59056342791158,9.05918537321509,6.18021169636353,4.85687396180647,8.09194232742165
"28","CC005xCC020","d7_d10",NA,NA,NA,NA,NA,NA
"29","CC005xCC020","d10_d15",NA,NA,NA,NA,NA,NA
"30","CC005xCC020","d15_d45",NA,NA,NA,NA,NA,NA
"31","CC005xCC038","d7_d10",NA,NA,NA,NA,NA,NA
"32","CC005xCC038","d10_d15",NA,NA,NA,NA,NA,NA
"33","CC005xCC038","d15_d45",NA,NA,NA,NA,NA,NA
"34","CC005xCC040","d7_d10",7.00483506994467,8.25365744463341,7.44426990617662,5.62593533124395,5.449213805954,10.0949031742103
"35","CC005xCC040","d10_d15",4.68790348204074,5.65374845082184,3.81032469451245,4.60823732404096,4.51657421146666,4.48019089219081
"36","CC005xCC040","d15_d45",4.690766554861,7.23995858798131,7.48793847232633,5.35328284824657,4.87381380358592,7.17428959002797
"37","CC006xCC007","d7_d10",5.19109051515252,6.87736024860089,6.22074438272892,6.20636028661673,4.15030190237633,7.22674387262977
"38","CC006xCC007","d10_d15",8.68787403338239,5.81617028276878,4.97496207968927,4.37637078370157,4.5417759893478,7.21861178480436
"39","CC006xCC007","d15_d45",1.36246780550487,6.13905912002702,5.23914143590077,4.43421268807621,4.75418752941224,5.00121278141535
"40","CC006xCC039","d7_d10",5.46403306762501,7.83687511482798,5.8535669704152,6.20344950100673,5.63895176921084,8.17303412718157
"41","CC006xCC039","d10_d15",NA,NA,NA,NA,NA,NA
"42","CC006xCC039","d15_d45",NA,NA,NA,NA,NA,NA
"43","CC007xCC070","d7_d10",5.60441062060787,6.57398356948962,7.17951649447364,5.30055639208044,5.01953912796776,8.13047612064847
"44","CC007xCC070","d10_d15",7.30570290807422,7.14897742958843,3.77782030255973,4.77193601255679,4.76748076893785,6.49367538529761
"45","CC007xCC070","d15_d45",8.66652199233794,5.82881624224405,8.67110616121388,6.34967784506714,4.82399268903854,8.01507001339711
"46","CC007xCC075","d7_d10",7.32147946695115,7.28104953127589,6.26815942000954,5.81398372688147,6.07064359460438,9.01082898385502
"47","CC007xCC075","d10_d15",NA,NA,NA,NA,NA,NA
"48","CC007xCC075","d15_d45",NA,NA,NA,NA,NA,NA
