"day","isotype","p"
"7","IgG1","0.154951041776923"
"7","IgG2ac","0.488562878301013"
"7","IgG2b","0.742117772799278"
"7","IgG3","0.92085649126983"
"7","IgM","0.946953741999984"
"7","TotalG","0.0448629733528942"
"10","IgG1","0.307164769428997"
"10","IgG2ac","0.932130994279003"
"10","IgG2b","0.256842145874531"
"10","IgG3","0.191992933155691"
"10","IgM","0.217300104571834"
"10","TotalG","0.863485608679964"
"15","IgG1","0.272351624316462"
"15","IgG2ac","0.466414213806199"
"15","IgG2b","6.07576212986391e-05"
"15","IgG3","0.608559553783941"
"15","IgM","0.312907581545987"
"15","TotalG","0.00532257374535191"
"45","IgG1","0.62107671869252"
"45","IgG2ac","0.0142018278035733"
"45","IgG2b","0.440644709813147"
"45","IgG3","0.596360364274168"
"45","IgM","0.367414432679943"
"45","TotalG","0.677312292718096"
