"RIX","alias.RIX","combo_mx1","TotalG"
"CC002xCC011","15156x3252","0_1",1.60736285832894
"CC005xCC040","16211x16557","0_1",5.53938401036296
"CC007xCC075","13421x3260","0_0",5.86375722234786
"CC008xCC009","8036x5489","0_0",5.95382359311056
"CC009xCC040","5489x16557","0_0",5.49756226574489
"CC010xCC015","8018x3154","0_0",6.11369120722616
"CC012xCC032","8005x8002","0_0",5.23279375552319
"CC012xCC038","8005x8049","0_0",5.83290564575535
"CC013xCC041","8010x16441","0_1",2.20730499534409
"CC015xCC018","3154x3609","0_0",5.25474681256259
"CC016xCC038","8024x8049","0_0",6.83635239457053
"CC016xCC061","8024x8048","0_0",0.345486297058754
"CC018xCC009","3609x5489","0_0",5.30456711499652
"CC020xCC008","8054x8036","0_0",1.17668071515147
"CC021xCC023","1566x8043","0_1",1.18189069369731
"CC023xCC025","8043x8008","0_1",5.47357026071439
"CC025xCC028","8008x8016","0_1",5.3836371677954
"CC030xCC061","8034x8048","0_1",1.83131123888849
"CC032xCC017","8002x3032","0_0",5.52712923578265
"CC033xCC046","8033x5346","0_0",1.86188446766185
"CC034xCC016","5080x8024","0_0",6.40895368272621
"CC036xCC051","477x16912","0_0",0.912613563070929
"CC037xCC046","16072x5346","0_0",0.345486297058754
"CC038xCC013","8049x8010","0_1",2.12071209765895
"CC043xCC033","8021x8033","0_0",6.66458754813041
"CC051xCC009","16912x5489","0_0",6.65342798964847
"CC052xCC007","8052x13421","0_0",6.60676310118685
"CC052xCC014","8052x3415","0_0",5.18743739410195
"CC055xCC028","16680x8016","0_1",5.72090044832985
"CC063xCC002","5391x15156","0_1",1.32341795731624
"CC074xCC062","3015x5306","0_1",2.39204460960781
