"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC055","42","10","Influenza","HA","7_14vii","2014_09_17",-Inf,2,1.73205080756888,0.301029995663981,0.301029995663981,5
"CC001xCC055","43","10","Influenza","HA","7_14vii","2014_09_17",-Inf,2.23606797749979,2,-Inf,-Inf,5
"CC001xCC055","47","10","Influenza","HA","7_14vii","2014_09_17",-Inf,2.23606797749979,1.73205080756888,-Inf,-Inf,5
"CC001xCC074","163","10","Influenza","HA","3_13iii","2013_12_03",0.698970004336019,2,2.23606797749979,0,0.301029995663981,5
"CC001xCC074","179","10","Influenza","HA","3_13iii","2014_01_13",0.698970004336019,2,2.23606797749979,0.477121254719662,0.301029995663981,NA
"CC001xCC074","180","10","Influenza","HA","3_13iii","2013_12_03",0.477121254719662,2,2,0.301029995663981,0.301029995663981,5
"CC002xCC011","20","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,5
"CC002xCC011","20","10","Influenza","HA","10_13x","2014_04_22",-Inf,2.44948974278318,2.23606797749979,0.301029995663981,0.301029995663981,NA
"CC002xCC011","34","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,3
"CC002xCC011","34","10","Influenza","HA","10_13x","2014_04_15",-Inf,2,1,0.301029995663981,0.301029995663981,NA
"CC002xCC011","49","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,2
"CC002xCC011","49","10","Influenza","HA","10_13x","2014_04_15",0.301029995663981,1,1.4142135623731,0,0,NA
"CC002xCC011","49","10","Influenza","HA.1","10_13x","2014_01_13",0.301029995663981,1,1.4142135623731,0,-Inf,NA
"CC002xCC021","195","10","Influenza","HA","3_13iii","2013_12_05",0.602059991327962,1.73205080756888,2.23606797749979,0.698970004336019,0.301029995663981,NA
"CC002xCC021","199","10","Influenza","HA","3_13iii","2014_01_13",0.477121254719662,2,1.73205080756888,0.477121254719662,0.301029995663981,NA
"CC002xCC021","200","10","Influenza","HA","3_13iii","2014_01_13",0.602059991327962,2,1.73205080756888,0.602059991327962,0,NA
"CC003xCC051","162","10","Influenza","HA","1_14i","2014_05_20",-Inf,1.73205080756888,1.73205080756888,0.477121254719662,0.301029995663981,5
"CC003xCC051","163","10","Influenza","HA","1_14i","2014_05_20",-Inf,2.23606797749979,2,0,0,5
"CC003xCC051","164","10","Influenza","HA","1_14i","2014_05_20",-Inf,2,1.4142135623731,0.301029995663981,0,4
"CC004xCC011","198","10","Influenza","HA","6_13vi","2013_12_05",-Inf,2,2,0.301029995663981,0.602059991327962,NA
"CC004xCC011","217","10","Influenza","HA","6_13vi","2013_12_05",-Inf,2,1.4142135623731,0.301029995663981,0.602059991327962,NA
