RIX,ID,day,virus,cohort,RIX_ID
X15156x1566,117,2,Influenza,1_13i,15156x1566_117
X15156x1566,120,2,Influenza,1_13i,15156x1566_120
X15156x1566,121,2,Influenza,1_13i,15156x1566_121
X15156x1566,140,2,Influenza,1_13i,15156x1566_140
X15156x1566,151,2,Mock,1_13i,15156x1566_151
X15156x1566,152,2,Mock,1_13i,15156x1566_152
X15156x1566,153,2,Mock,1_13i,15156x1566_153
X15156x1566,141,7,Influenza,1_13i,15156x1566_141
X15156x1566,124,7,Influenza,1_13i,15156x1566_124
X15156x1566,125,7,Influenza,1_13i,15156x1566_125
X15156x1566,139,7,Influenza,1_13i,15156x1566_139
X15156x1566,118,7,Mock,1_13i,15156x1566_118
X15156x1566,122,7,Mock,1_13i,15156x1566_122
X15156x1566,123,7,Mock,1_13i,15156x1566_123
X1566x8002,41,15,Influenza,1_13i,1566x8002_41
X1566x8002,36,15,Influenza,1_13i,1566x8002_36
X1566x8002,37,15,Influenza,1_13i,1566x8002_37
X1566x8002,42,15,Mock,1_13i,1566x8002_42
X1566x8002,38,15,Mock,1_13i,1566x8002_38
X1566x8002,33,15,Mock,1_13i,1566x8002_33
X16188x3252,83,15,Influenza,1_13i,16188x3252_83
X16188x3252,85,15,Influenza,1_13i,16188x3252_85
X16188x3252,81,15,Influenza,1_13i,16188x3252_81
X16188x3252,82,15,Influenza,1_13i,16188x3252_82
X16188x3252,58,15,Mock,1_13i,16188x3252_58
X16188x3252,66,15,Mock,1_13i,16188x3252_66
X16188x3252,84,15,Mock,1_13i,16188x3252_84
X16188x3252,96,4,Influenza,1_13i,16188x3252_96
X16188x3252,97,4,Influenza,1_13i,16188x3252_97
X16188x3252,98,4,Influenza,1_13i,16188x3252_98
X8016x8034,116,4,Influenza,1_13i,8016x8034_116
X8016x8034,117,4,Influenza,1_13i,8016x8034_117
X8016x8034,107,4,Influenza,1_13i,8016x8034_107
X8016x8034,115,4,Influenza,1_13i,8016x8034_115
X8016x8034,118,4,Influenza,1_13i,8016x8034_118
X8016x8034,122,7,Influenza,1_13i,8016x8034_122
X8016x8034,123,7,Influenza,1_13i,8016x8034_123
X8016x8034,124,7,Influenza,1_13i,8016x8034_124
X8016x8034,100,7,Mock,1_13i,8016x8034_100
X8016x8034,106,7,Mock,1_13i,8016x8034_106
X8016x8034,121,7,Mock,1_13i,8016x8034_121
X8026x18042,60,15,Influenza,1_13i,8026x18042_60
X8026x18042,35,15,Influenza,1_13i,8026x18042_35
X8026x18042,38,15,Influenza,1_13i,8026x18042_38
X8026x18042,47,15,Influenza,1_13i,8026x18042_47
X8026x18042,50,15,Mock,1_13i,8026x18042_50
X8026x18042,51,15,Mock,1_13i,8026x18042_51
X8026x18042,52,15,Mock,1_13i,8026x18042_52
X8026x18042,61,2,Influenza,1_13i,8026x18042_61
X8026x18042,37,2,Influenza,1_13i,8026x18042_37
X8026x18042,40,2,Influenza,1_13i,8026x18042_40
X8026x18042,49,2,Influenza,1_13i,8026x18042_49
X8026x18042,36,2,Mock,1_13i,8026x18042_36
X8026x18042,39,2,Mock,1_13i,8026x18042_39
X8026x18042,48,2,Mock,1_13i,8026x18042_48
X18042x8008,61,2,Influenza,1_13i,18042x8008_61
X18042x8008,62,2,Influenza,1_13i,18042x8008_62
X18042x8008,63,2,Influenza,1_13i,18042x8008_63
X18042x8008,80,2,Mock,1_13i,18042x8008_80
X18042x8008,81,2,Mock,1_13i,18042x8008_81
X18042x8008,82,2,Mock,1_13i,18042x8008_82
X18042x8008,89,7,Influenza,1_13i,18042x8008_89
X18042x8008,90,7,Influenza,1_13i,18042x8008_90
X18042x8008,78,7,Influenza,1_13i,18042x8008_78
X18042x8008,68,7,Influenza,1_13i,18042x8008_68
X18042x8008,83,7,Influenza,1_13i,18042x8008_83
X18042x8008,79,7,Mock,1_13i,18042x8008_79
X18042x8008,69,7,Mock,1_13i,18042x8008_69
X18042x8008,70,7,Mock,1_13i,18042x8008_70
X13067x16912,162,10,Influenza,1_14i,13067x16912_162
X13067x16912,163,10,Influenza,1_14i,13067x16912_163
X13067x16912,164,10,Influenza,1_14i,13067x16912_164
X16188x8005,81,15,Influenza,1_14i,16188x8005_81
X16188x8005,82,15,Influenza,1_14i,16188x8005_82
X16188x8005,83,15,Influenza,1_14i,16188x8005_83
X16188x8005,91,15,Mock,1_14i,16188x8005_91
X16188x8005,92,15,Mock,1_14i,16188x8005_92
X16188x8005,106,15,Mock,1_14i,16188x8005_106
X16513x15156,140,7,Influenza,1_14i,16513x15156_140
X16513x15156,141,7,Influenza,1_14i,16513x15156_141
X16513x15156,149,7,Influenza,1_14i,16513x15156_149
X18042x3032,127,15,Influenza,1_14i,18042x3032_127
X18042x3032,128,15,Influenza,1_14i,18042x3032_128
X18042x3032,129,15,Influenza,1_14i,18042x3032_129
X18042x3032,130,15,Influenza,1_14i,18042x3032_130
X18042x3032,110,15,Mock,1_14i,18042x3032_110
X18042x3032,118,15,Mock,1_14i,18042x3032_118
X18042x3032,126,15,Mock,1_14i,18042x3032_126
X3154x3609,108,4,Influenza,1_14i,3154x3609_108
X3154x3609,109,4,Influenza,1_14i,3154x3609_109
X3154x3609,110,4,Influenza,1_14i,3154x3609_110
X3154x3609,120,4,Mock,1_14i,3154x3609_120
X3154x3609,121,4,Mock,1_14i,3154x3609_121
X3154x3609,133,4,Mock,1_14i,3154x3609_133
X3154x3609,134,4,Mock,1_14i,3154x3609_134
X3154x3609,119,7,Influenza,1_14i,3154x3609_119
X3154x3609,124,7,Influenza,1_14i,3154x3609_124
X3154x3609,125,7,Influenza,1_14i,3154x3609_125
X3154x3609,126,7,Influenza,1_14i,3154x3609_126
X5119x8018,124,15,Influenza,1_14i,5119x8018_124
X5119x8018,125,15,Influenza,1_14i,5119x8018_125
X5119x8018,126,15,Influenza,1_14i,5119x8018_126
X5119x8018,113,15,Mock,1_14i,5119x8018_113
X5119x8018,114,15,Mock,1_14i,5119x8018_114
X5119x8018,136,15,Mock,1_14i,5119x8018_136
X5489x16557,44,4,Influenza,1_14i,5489x16557_44
X5489x16557,45,4,Influenza,1_14i,5489x16557_45
X5489x16557,54,4,Influenza,1_14i,5489x16557_54
X5489x16557,50,4,Mock,1_14i,5489x16557_50
X5489x16557,51,4,Mock,1_14i,5489x16557_51
X5489x16557,52,4,Mock,1_14i,5489x16557_52
X8002x8010,87,10,Influenza,1_14i,8002x8010_87
X8002x8010,88,10,Influenza,1_14i,8002x8010_88
X8002x8010,89,10,Influenza,1_14i,8002x8010_89
X8002x8010,76,15,Influenza,1_14i,8002x8010_76
X8002x8010,77,15,Influenza,1_14i,8002x8010_77
X8002x8010,78,15,Influenza,1_14i,8002x8010_78
X8002x8010,79,15,Mock,1_14i,8002x8010_79
X8002x8010,86,15,Mock,1_14i,8002x8010_86
X8002x8010,90,15,Mock,1_14i,8002x8010_90
X8008x8016,96,10,Influenza,1_14i,8008x8016_96
X8008x8016,97,10,Influenza,1_14i,8008x8016_97
X8008x8016,98,10,Influenza,1_14i,8008x8016_98
X8008x8016,99,10,Influenza,1_14i,8008x8016_99
X8010x16441,138,10,Influenza,1_14i,8010x16441_138
X8010x16441,139,10,Influenza,1_14i,8010x16441_139
X8010x16441,146,10,Influenza,1_14i,8010x16441_146
X8010x16441,147,10,Influenza,1_14i,8010x16441_147
X8010x16441,133,4,Influenza,1_14i,8010x16441_133
X8010x16441,134,4,Influenza,1_14i,8010x16441_134
X8010x16441,135,4,Influenza,1_14i,8010x16441_135
X8010x16441,144,4,Mock,1_14i,8010x16441_144
X8010x16441,145,4,Mock,1_14i,8010x16441_145
X8010x16441,148,4,Mock,1_14i,8010x16441_148
X8010x16441,124,45,Influenza,1_14i,8010x16441_124
X8010x16441,125,45,Influenza,1_14i,8010x16441_125
X8010x16441,126,45,Influenza,1_14i,8010x16441_126
X8016x8034,227,10,Influenza,1_14i,8016x8034_227
X8016x8034,228,10,Influenza,1_14i,8016x8034_228
X8016x8034,229,10,Influenza,1_14i,8016x8034_229
X8016x8034,230,10,Influenza,1_14i,8016x8034_230
X8016x8034,231,10,Influenza,1_14i,8016x8034_231
X8016x8034,234,45,Influenza,1_14i,8016x8034_234
X8016x8034,235,45,Influenza,1_14i,8016x8034_235
X8016x8034,241,45,Influenza,1_14i,8016x8034_241
X8016x8034,252,45,Influenza,1_14i,8016x8034_252
X8016x8034,253,45,Influenza,1_14i,8016x8034_253
X8026x5080,6,2,Influenza,1_14i,8026x5080_6
X8026x5080,8,2,Influenza,1_14i,8026x5080_8
X8026x5080,9,2,Influenza,1_14i,8026x5080_9
X8026x5080,12,2,Mock,1_14i,8026x5080_12
X8026x5080,26,2,Mock,1_14i,8026x5080_26
X8026x5080,27,2,Mock,1_14i,8026x5080_27
X8026x5080,28,45,Influenza,1_14i,8026x5080_28
X8026x5080,29,45,Influenza,1_14i,8026x5080_29
X8026x5080,33,45,Influenza,1_14i,8026x5080_33
X8026x5080,34,45,Influenza,1_14i,8026x5080_34
X8026x5080,7,7,Influenza,1_14i,8026x5080_7
X8026x5080,10,7,Influenza,1_14i,8026x5080_10
X8026x5080,11,7,Influenza,1_14i,8026x5080_11
X8034x8048,53,2,Influenza,1_14i,8034x8048_53
X8034x8048,54,2,Influenza,1_14i,8034x8048_54
X8034x8048,63,2,Influenza,1_14i,8034x8048_63
X8034x8048,64,2,Influenza,1_14i,8034x8048_64
X8034x8048,52,2,Mock,1_14i,8034x8048_52
X8034x8048,57,2,Mock,1_14i,8034x8048_57
X8034x8048,58,2,Mock,1_14i,8034x8048_58
X8043x8008,19,4,Influenza,1_14i,8043x8008_19
X8043x8008,20,4,Influenza,1_14i,8043x8008_20
X8043x8008,21,4,Influenza,1_14i,8043x8008_21
X8043x8008,16,4,Mock,1_14i,8043x8008_16
X8043x8008,30,4,Mock,1_14i,8043x8008_30
X8043x8008,32,4,Mock,1_14i,8043x8008_32
X8048x8026,23,7,Influenza,1_14i,8048x8026_23
X8048x8026,24,7,Influenza,1_14i,8048x8026_24
X8048x8026,26,7,Influenza,1_14i,8048x8026_26
X13067x5306,24,15,Influenza,1_15i,13067x5306_24
X13067x5306,29,15,Influenza,1_15i,13067x5306_29
X13067x5306,34,15,Influenza,1_15i,13067x5306_34
X13067x5306,35,15,Influenza,1_15i,13067x5306_35
X13067x5306,40,15,Mock,1_15i,13067x5306_40
X13067x5306,54,15,Mock,1_15i,13067x5306_54
X13067x5306,67,15,Mock,1_15i,13067x5306_67
X13067x5306,55,2,Influenza,1_15i,13067x5306_55
X13067x5306,63,2,Influenza,1_15i,13067x5306_63
X13067x5306,70,2,Influenza,1_15i,13067x5306_70
X13067x5306,71,2,Influenza,1_15i,13067x5306_71
X13067x5306,42,2,Mock,1_15i,13067x5306_42
X13067x5306,51,2,Mock,1_15i,13067x5306_51
X13067x5306,60,2,Mock,1_15i,13067x5306_60
X13067x5306,43,4,Influenza,1_15i,13067x5306_43
X13067x5306,52,4,Influenza,1_15i,13067x5306_52
X13067x5306,61,4,Influenza,1_15i,13067x5306_61
X13067x5306,41,4,Mock,1_15i,13067x5306_41
X13067x5306,50,4,Mock,1_15i,13067x5306_50
X13067x5306,22(92?),4,Mock,1_15i,13067x5306_22(92?)
X13067x5306,44,7,Influenza,1_15i,13067x5306_44
X13067x5306,53,7,Influenza,1_15i,13067x5306_53
X13067x5306,62,7,Influenza,1_15i,13067x5306_62
X16296x477,23,7,Influenza,1_15i,16296x477_23
X16296x477,24,7,Influenza,1_15i,16296x477_24
X16296x477,30,7,Influenza,1_15i,16296x477_30
X16513x15156,239,10,Influenza,1_15i,16513x15156_239
X16513x15156,240,10,Influenza,1_15i,16513x15156_240
X16513x15156,241,10,Influenza,1_15i,16513x15156_241
X16513x15156,229,2,Influenza,1_15i,16513x15156_229
X16513x15156,237,2,Influenza,1_15i,16513x15156_237
X16513x15156,238,2,Influenza,1_15i,16513x15156_238
X16513x15156,242,2,Mock,1_15i,16513x15156_242
X16513x15156,243,2,Mock,1_15i,16513x15156_243
X16513x15156,245,2,Mock,1_15i,16513x15156_245
X16513x16188,212,2,Influenza,1_15i,16513x16188_212
X16513x16188,206,2,Influenza,1_15i,16513x16188_206
X16513x16188,213,2,Mock,1_15i,16513x16188_213
X16513x16188,207,2,Mock,1_15i,16513x16188_207
X16513x16188,208,2,Mock,1_15i,16513x16188_208
X16513x16188,214,4,Influenza,1_15i,16513x16188_214
X16513x16188,215,4,Influenza,1_15i,16513x16188_215
