"RIX","ID","day","virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC055","109","15","Influenza","HA","8_14viii","2015_05_06",5,8,8,5,3,8
"CC001xCC055","42","10","Influenza","HA","7_14vii","2014_09_17",0,4,3,2,2,5
"CC001xCC055","43","10","Influenza","HA","7_14vii","2014_09_17",0,5,4,0,0,5
"CC001xCC055","47","10","Influenza","HA","7_14vii","2014_09_17",0,5,3,0,0,5
"CC001xCC074","102","15","Influenza","HA","3_13iii","2014_01_13",5,5,5,1,0,NA
"CC001xCC074","145","45","Influenza","HA","3_13iii","2013_12_05",8,8,8,4,0,NA
"CC001xCC074","148","45","Influenza","HA","3_13iii","2014_01_13",7,8,8,0,0,NA
"CC001xCC074","149","45","Influenza","HA","3_13iii","2013_12_03",6,NA,8,2,0,NA
"CC001xCC074","163","10","Influenza","HA","3_13iii","2013_12_03",5,4,5,1,2,5
"CC001xCC074","176","7","Influenza","HA","4_13iv","2013_12_05",0,0,0,0,0,NA
"CC001xCC074","177","7","Influenza","HA","4_13iv","2013_12_03",0,0,0,0,0,0
"CC001xCC074","179","10","Influenza","HA","3_13iii","2014_01_13",5,4,5,3,2,NA
"CC001xCC074","180","10","Influenza","HA","3_13iii","2013_12_03",3,4,4,2,2,5
"CC002xCC011","13","45","Influenza","HA","10_13x","2013_12_19",4,7,6,3,0,NA
"CC002xCC011","13","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,7
"CC002xCC011","20","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,5
"CC002xCC011","20","10","Influenza","HA","10_13x","2014_04_22",0,6,5,2,2,NA
"CC002xCC011","23","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","23","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","32","15","Influenza","HA","10_13x","2014_05_20",2,5,4,4,1,5
"CC002xCC011","34","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,3
"CC002xCC011","34","10","Influenza","HA","10_13x","2014_04_15",0,4,1,2,2,NA
"CC002xCC011","37","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","37","7","Influenza","HA.1","10_13x","2014_01_17",NA,NA,NA,NA,NA,1
"CC002xCC011","48","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC002xCC011","49","10","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,2
"CC002xCC011","49","10","Influenza","HA","10_13x","2014_04_15",2,1,2,1,1,NA
"CC002xCC011","49","10","Influenza","HA.1","10_13x","2014_01_13",2,1,2,1,0,NA
"CC002xCC011","58","45","Influenza","HA","10_13x","2013_12_03",NA,NA,7,4,0,NA
"CC002xCC011","58","45","Influenza","HA","10_13x","2013_12_12",7,NA,NA,NA,NA,NA
"CC002xCC011","58","45","Influenza","HA.1","10_13x","2013_12_03",6,NA,NA,NA,NA,NA
"CC002xCC011","59","45","Influenza","HA","10_13x","2013_12_05",NA,7,6,4,0,NA
"CC002xCC011","59","45","Influenza","HA","10_13x","2013_12_12",7,NA,NA,NA,NA,NA
"CC002xCC011","59","45","Influenza","HA.1","10_13x","2013_12_05",7,NA,NA,NA,NA,NA
"CC002xCC011","6","45","Influenza","HA","10_13x","2013_12_19",5,6,6,0,0,NA
"CC002xCC011","6","45","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,7
"CC002xCC011","7","45","Influenza","HA","10_13x","2013_12_19",4,7,5,3,0,NA
"CC002xCC021","124","7","Influenza","HA","1_13i","2013_12_03",3,NA,NA,3,1,NA
"CC002xCC021","141","7","Influenza","HA","1_13i","2013_12_03",0,NA,NA,1,1,NA
"CC002xCC021","163","45","Influenza","HA","2_13ii","2013_12_19",4,6,4,3,0,NA
"CC002xCC021","168","45","Influenza","HA","2_13ii","2013_12_03",6,NA,7,5,2,NA
"CC002xCC021","170","15","Influenza","HA","2_13ii","2013_12_03",5,6,5,5,3,7
"CC002xCC021","195","10","Influenza","HA","3_13iii","2013_12_05",4,3,5,5,2,NA
"CC002xCC021","199","10","Influenza","HA","3_13iii","2014_01_13",3,4,3,3,2,NA
"CC002xCC021","200","10","Influenza","HA","3_13iii","2014_01_13",4,4,3,4,1,NA
"CC002xCC021","201","15","Influenza","HA","3_13iii","2014_01_13",3,5,5,4,0,NA
"CC002xCC021","202","15","Influenza","HA","3_13iii","2013_12_03",3,4,4,3,2,5
"CC003xCC051","100","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
"CC003xCC051","101","7","Influenza","HA","10_13x","2014_01_17",NA,NA,NA,NA,NA,0
