ID,MouseID,Cross,dam,sire,id,day,block,airway.debris,airway.denude,vascular.cuffing,airway.cuffing,alveolar.inflammation,pulmonary.edema,hyalin.membrane,lymphocytes,neutrophils,eosinophils,macs,exudate,Notes.x,Cohort,Date.Infected,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Notes.y,Notes2,Notes3,pctD1,pctD2,pctD3,pctD4,pctD5,pctD6,pctD7,pctD8,pctD9,pctD10,ccdam,ccsire,ccrix
13067x16912_0162,13067x16912 f162 D10,13067x16912,13067,16912,f162,D10,NA,0,0,0,0,1,0,2,0,0,0,0,0,,1_14i,1/20/14,23.7,23.72,23.22,23.34,24.03,24.75,25.15,24.98,22.29,24.87,24.65,NA,NA,NA,100.0843882,97.97468354,98.48101266,101.3924051,104.4303797,106.1181435,105.4008439,94.05063291,104.9367089,104.0084388,CC003,CC051,CC003xCC051
13067x16912_0163,13067x16912 f163 D10,13067x16912,13067,16912,f163,D10,NA,0,0,2,0,1,1,1,0,0,0,0,0,,1_14i,1/20/14,22.6,21.92,21.77,22.25,22.52,22.85,22.65,22.8,24.62,22.47,22.46,NA,NA,NA,96.99115044,96.32743363,98.45132743,99.6460177,101.1061947,100.2212389,100.8849558,108.9380531,99.42477876,99.38053097,CC003,CC051,CC003xCC051
13067x16912_0164,13067x16912 f164 D10,13067x16912,13067,16912,f164,D10,NA,3,1,4,3,1,2,2,0,0,0,2,1,,1_14i,1/20/14,23.9,23.46,23.43,24.01,24.03,23.9,24.05,23.7,23.45,24.05,24.73,NA,NA,NA,98.15899582,98.0334728,100.460251,100.5439331,100,100.6276151,99.16317992,98.11715481,100.6276151,103.4728033,CC003,CC051,CC003xCC051
13421x16034_0007,13421x16034 f7 D10,13421x16034,13421,16034,f7,D10,NA,0,0,2.5,1,3,4,1,1,0,0,2,0,corrected ID 4/18/17,5_15v,5/18/15,26.1,25.6,25.5,24.6,22.9,22.3,23.6,24.3,24.3,25.4,25.9,NA,NA,NA,98.08429119,97.70114943,94.25287356,87.7394636,85.44061303,90.42145594,93.10344828,93.10344828,97.31800766,99.23371648,CC007,CC070,CC007xCC070
13421x16034_0017,13421x16034 f17 D10,13421x16034,13421,16034,f17,D10,NA,0,0,5,4,6,4,1,2,4,4,2,0,corrected ID 4/18/17,5_15v,5/18/15,22.1,21.7,21.8,20.4,19.3,18.2,17.2,16.6,15.8,16,16.3,NA,NA,NA,98.19004525,98.64253394,92.30769231,87.33031674,82.35294118,77.8280543,75.11312217,71.49321267,72.39819005,73.75565611,CC007,CC070,CC007xCC070
13421x3260_0063,13421x3260 f63 D10,13421x3260,13421,3260,f63,D10,NA,0,0,3,5,3.5,1,0,2,1,1,2,0,corrected ID 4/18/17,3_16iii,NA,25,24.7,24.1,24.1,23.4,22.8,22.7,21.7,21.9,22,23.1,NA,NA,NA,98.8,96.4,96.4,93.6,91.2,90.8,86.8,87.6,88,92.4,CC007,CC075,CC007xCC075
13421x3260_0064,13421x3260 f64 D10,13421x3260,13421,3260,f64,D10,NA,0,0,6,4.5,5,1,0,3,0,0,3,0,,3_16iii,NA,24,24,23,22.5,21.9,19.2,20.6,20.2,20.4,20.6,22,NA,NA,NA,100,95.83333333,93.75,91.25,80,85.83333333,84.16666667,85,85.83333333,91.66666667,CC007,CC075,CC007xCC075
13421x3260_0065,13421x3260 f65 D10,13421x3260,13421,3260,f65,D10,NA,5,2.5,2.5,4,3,7,1,2,0,0,2,5,,3_16iii,NA,23.4,22.8,21.7,21.4,20.5,20,18.3,17.6,17.3,17,17.4,NA,NA,NA,97.43589744,92.73504274,91.45299145,87.60683761,85.47008547,78.20512821,75.21367521,73.93162393,72.64957265,74.35897436,CC007,CC075,CC007xCC075
13421x3260_0066,13421x3260 f66 D10,13421x3260,13421,3260,f66,D10,NA,0,0,4.5,4,3,4,0,3,2.5,2.5,2,3,,3_16iii,NA,22.7,22.5,22.5,22,21,21.4,19,18.3,18.3,18.1,19.3,NA,NA,NA,99.11894273,99.11894273,96.91629956,92.51101322,94.27312775,83.70044053,80.61674009,80.61674009,79.73568282,85.02202643,CC007,CC075,CC007xCC075
15155x8054_0010,15155x8054 f10 D10,15155x8054,15155,8054,f10,D10,NA,4.5,0,6.5,5,5,7,1,2,2.5,2.5,2,6,,5_14v,5/19/14,18.62,17.98,17.7,17.43,17.6,17.6,17.7,16.79,15.55,14.6,14.75,NA,NA,NA,96.56283566,95.05907626,93.60902256,94.52201933,94.52201933,95.05907626,90.17185822,83.51235231,78.41031149,79.21589689,CC039,CC020,CC039xCC020
15155x8054_0016,15155x8054 f16 D10,15155x8054,15155,8054,f16,D10,NA,0,0,7,6,3,0,0,3,3,3,2,0,,5_14v,5/19/14,20.13,20.55,20.25,20.5,20.47,20.34,20.6,20.18,20.19,28.6,20.2,NA,NA,NA,102.0864382,100.5961252,101.8380527,101.6890214,101.0432191,102.3348236,100.2483855,100.2980626,142.0765027,100.3477397,CC039,CC020,CC039xCC020
15155x8054_0017,15155x8054 f17 D10,15155x8054,15155,8054,f17,D10,NA,2,0,6,4,5,5.5,0,1,1,1,3,4,,5_14v,5/19/14,21.88,21,21.1,20.54,21.4,20.87,21.5,21,21.1,21.6,21.9,NA,NA,NA,95.97806216,96.43510055,93.87568556,97.80621572,95.38391225,98.26325411,95.97806216,96.43510055,98.7202925,100.0914077,CC039,CC020,CC039xCC020
15156x1566_0195,15156x1566 f195 D10,15156x1566,15156,1566,f195,D10,NA,0,0,5,3,4,1,0,2,1.5,1.5,3,1,,3_13iii,3/18/13,24.15,24.2,23.9,22.8,22.35,22.2,21.3,21.45,22.25,22.65,22.65,Big spleen,NA,NA,100.2070393,98.96480331,94.40993789,92.54658385,91.92546584,88.19875776,88.81987578,92.13250518,93.78881988,93.78881988,CC002,CC021,CC002xCC021
15156x1566_0199,15156x1566 f199 D10,15156x1566,15156,1566,f199,D10,NA,4,1,7,7.5,5,2,2,1,3,3,4,2,,3_13iii,3/18/13,21.3,21.45,21.3,19.25,18.9,18.7,18.4,18.8,20,20.8,21.2,Big spleen,NA,NA,100.7042254,100,90.37558685,88.73239437,87.79342723,86.38497653,88.2629108,93.89671362,97.65258216,99.53051643,CC002,CC021,CC002xCC021
15156x1566_0200,15156x1566 f200 D10,15156x1566,15156,1566,f200,D10,NA,3,0,7,7.5,3,1,1,1,2,1,4,0,,3_13iii,3/18/13,23.45,23.1,23.1,21.55,21.35,21.1,20.7,21.1,21.65,22.55,22.9,NA,NA,NA,98.50746269,98.50746269,91.89765458,91.04477612,89.97867804,88.27292111,89.97867804,92.32409382,96.16204691,97.65458422,CC002,CC021,CC002xCC021
15156x3252_0020,15156x3252 f20 D10,15156x3252,15156,3252,f20,D10,NA,0,0,6.5,3,7,0,0,1,4.5,4.5,3,0,,10_13x,10/21/13,22.7,22.5,22.15,21.6,21.7,22,22.15,22.4,22.65,22.8,23.2,NA,NA,NA,99.11894273,97.57709251,95.15418502,95.59471366,96.91629956,97.57709251,98.6784141,99.77973568,100.4405286,102.2026432,CC002,CC011,CC002xCC011
15156x3252_0034,15156x3252 f34 D10,15156x3252,15156,3252,f34,D10,NA,0,0,3,1,4.5,1,0,1,3,3,3,0,corrected ID 4/18/17,10_13x,10/21/13,24.5,23.8,23.15,23.35,24.05,25.3,25.85,25.7,25.6,26.15,26.33,NA,NA,NA,97.14285714,94.48979592,95.30612245,98.16326531,103.2653061,105.5102041,104.8979592,104.4897959,106.7346939,107.4693878,CC002,CC011,CC002xCC011
15156x3252_0049,15156x3252 f49 D10,15156x3252,15156,3252,f49,D10,NA,0,0,4.5,2,4,0,0,1,3,3,3,0,,10_13x,10/21/13,26.9,25.85,24.6,24.2,24.05,24.6,25.2,25.3,24.85,24.3,24.05,NA,NA,NA,96.09665428,91.44981413,89.96282528,89.40520446,91.44981413,93.6802974,94.05204461,92.37918216,90.33457249,89.40520446,CC002,CC011,CC002xCC011
1566x8043_0032,1566x8043 f32 D10,1566x8043,1566,8043,f32,D10,NA,0,0,2,1,2,1,2,1,0,0,1,0,,6_14vi,6/16/14,21.85,21.85,21,20.8,20.7,20.9,20.5,20.25,20.15,20.3,21.2,"D7 weight was 22.5, changed to 20.25",NA,NA,100,96.10983982,95.19450801,94.73684211,95.65217391,93.8215103,92.67734554,92.21967963,92.90617849,97.02517162,CC021,CC023,CC021xCC023
1566x8043_0039,1566x8043 f39 D10,1566x8043,1566,8043,f39,D10,NA,0,0,3,2,3,1,3,2,0,0,2,0,,6_14vi,6/16/14,19.25,19.3,19,19.4,18.95,18.85,19.2,18.95,19.4,19.42,20.1,NA,NA,NA,100.2597403,98.7012987,100.7792208,98.44155844,97.92207792,99.74025974,98.44155844,100.7792208,100.8831169,104.4155844,CC021,CC023,CC021xCC023
1566x8043_0040,1566x8043 f40 D10,1566x8043,1566,8043,f40,D10,NA,0,0,3,2,2,1,3,2,0,0,1,0,,6_14vi,6/16/14,22.9,23.1,22.8,23.3,22.2,21.55,21.3,21.5,21.3,21.56,21.6,NA,NA,NA,100.8733624,99.56331878,101.7467249,96.94323144,94.10480349,93.01310044,93.88646288,93.01310044,94.14847162,94.3231441,CC021,CC023,CC021xCC023
16034x13067_0032,16034x13067 f32 D10,16034x13067,16034,13067,f32,D10,NA,0,0,6,2,3,4,2,2,2,2,2,0,,6_15vi,6/15/15,27.5,27.3,27.1,27.3,26.2,26.7,26.5,26.4,26.4,26.8,27.3,NA,NA,NA,99.27272727,98.54545455,99.27272727,95.27272727,97.09090909,96.36363636,96,96,97.45454545,99.27272727,CC070,CC003,CC070xCC003
16034x13067_0039,16034x13067 f39 D10,16034x13067,16034,13067,f39,D10,NA,0,0,3,1,4,4,3,1,1,1,1,2,,6_15vi,6/15/15,24.2,24.4,24.1,24.2,23,22.9,22.7,22.2,24.6,21.9,21.6,NA,NA,NA,100.8264463,99.58677686,100,95.04132231,94.62809917,93.80165289,91.73553719,101.6528926,90.49586777,89.25619835,CC070,CC003,CC070xCC003
16034x13067_0045,16034x13067 f45 D10,16034x13067,16034,13067,f45,D10,NA,0,0,6,2,7,3,5,4,0,0,1,0,,6_15vi,6/15/15,26.4,26.3,26.3,25.7,24,22.5,22.5,22.3,22.5,23.6,24.1,NA,NA,NA,99.62121212,99.62121212,97.34848485,90.90909091,85.22727273,85.22727273,84.46969697,85.22727273,89.39393939,91.28787879,CC070,CC003,CC070xCC003
16072x3393_0117,16072x3393 f117 D10,16072x3393,16072,3393,f117,D10,NA,0,0,4,1,2,1,0,2,0,0,1,0,,9_14ix,9/15/14,24.05,22.95,22.95,22.7,22.5,22.6,22.5,22.03,22.42,22.58,23,NA,NA,NA,95.42619543,95.42619543,94.38669439,93.55509356,93.97089397,93.55509356,91.6008316,93.22245322,93.88773389,95.63409563,CC037,CC057,CC037xCC057
16072x3393_0121,16072x3393 f121 D10,16072x3393,16072,3393,f121,D10,NA,0,0,8,5,5,6,4,3,0,0,3,3,,9_14ix,9/15/14,25.8,22.25,25.73,25.4,25.2,24.79,25.2,24.93,24.86,25.33,25.85,NA,NA,NA,86.24031008,99.72868217,98.4496124,97.6744186,96.08527132,97.6744186,96.62790698,96.35658915,98.17829457,100.1937984,CC037,CC057,CC037xCC057
16072x3393_0148,16072x3393 f148 D10,16072x3393,16072,3393,f148,D10,NA,0,0,4,4,2,0,0,2,0,0,2,0,,9_14ix,9/15/14,24.2,23.8,23.8,23.8,23.6,23.22,23.1,23.3,23.51,23.46,23.75,NA,NA,NA,98.34710744,98.34710744,98.34710744,97.52066116,95.95041322,95.45454545,96.28099174,97.14876033,96.94214876,98.14049587,CC037,CC057,CC037xCC057
16072x5346_0009,16072x5346 f9 D10,16072x5346,16072,5346,f9,D10,NA,0,0,0,0,0,0,0,0,0,0,0,0,,6_15vi,6/15/15,22.8,22.6,22.3,23.4,22.5,22.2,22.2,22.1,22.5,22.2,22.6,NA,NA,NA,99.12280702,97.80701754,102.6315789,98.68421053,97.36842105,97.36842105,96.92982456,98.68421053,97.36842105,99.12280702,CC037,CC046,CC037xCC046
16072x5346_0010,16072x5346 f10 D10,16072x5346,16072,5346,f10,D10,NA,2,2,6.5,2,1,1,1,3,1,1,1,0,,6_15vi,6/15/15,20.6,20.7,21,21,20.3,20.2,20.1,19.7,20.1,20.5,20.7,NA,NA,NA,100.4854369,101.9417476,101.9417476,98.54368932,98.05825243,97.57281553,95.63106796,97.57281553,99.51456311,100.4854369,CC037,CC046,CC037xCC046
16072x5346_0023,16072x5346 f23 D10,16072x5346,16072,5346,f23,D10,NA,0,0,0,0,0,0,0,0,0,0,0,0,,6_15vi,6/15/15,20.3,20.7,20.8,21.7,20.7,20.6,20.3,20.2,20.5,21,21.1,NA,NA,NA,101.9704433,102.4630542,106.8965517,101.9704433,101.4778325,100,99.50738916,100.9852217,103.4482759,103.9408867,CC037,CC046,CC037xCC046
16188x3252_0198,16188x3252 f198 D10,16188x3252,16188,3252,f198,D10,NA,0,0,4.5,2.5,1,0,1,1,1,1,2,1,,6_13vi,6/17/13,29.85,30.05,30.2,29.4,28.1,29.1,29.15,29.2,29.15,29.2,29.45,NA,NA,NA,100.6700168,101.1725293,98.49246231,94.13735343,97.48743719,97.65494137,97.82244556,97.65494137,97.82244556,98.6599665,CC004,CC011,CC004xCC011
16188x3252_0199,16188x3252 f199 D10,16188x3252,16188,3252,f199,D10,NA,3,1,5.5,4.5,2,1,2,2,0,0,2,0,,6_13vi,6/17/13,25,25.3,25.5,24.35,23.7,24.75,24.8,24.7,24.65,25.1,25.5,NA,NA,NA,101.2,102,97.4,94.8,99,99.2,98.8,98.6,100.4,102,CC004,CC011,CC004xCC011
16188x3252_0217,16188x3252 f217 D10,16188x3252,16188,3252,f217,D10,NA,1,0,3.5,3,1,1,1,1,0,0,2,0,,6_13vi,6/17/13,27.6,27.6,26.35,24.95,24,24.3,24.7,24.65,24.8,24.9,25.1,NA,NA,NA,100,95.47101449,90.39855072,86.95652174,88.04347826,89.49275362,89.3115942,89.85507246,90.2173913,90.94202899,CC004,CC011,CC004xCC011
16188x3252_0218,16188x3252 f218 D10,16188x3252,16188,3252,f218,D10,NA,1,0,5.5,2,3,1,1,1,3,3,2,0,,6_13vi,6/17/13,22.85,23.1,22.9,21.9,20.8,21.3,21.6,21.6,21.6,21.9,22.5,NA,NA,NA,101.0940919,100.2188184,95.84245077,91.02844639,93.2166302,94.52954048,94.52954048,94.52954048,95.84245077,98.46827133,CC004,CC011,CC004xCC011
