"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","N",0.295764323740916
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","N",0.0697514421841381
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","S",1.77448020182392
"CC002xCC021","X15156x1566","107","D7","IgG2ac","SARS","S",1.54846732026715
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","N",0.231741669009582
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","N",0.0057287874528034
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","S",3.52708036990988
"CC002xCC021","X15156x1566","273","D7","IgG2ac","SARS","S",3.3010674883531
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","N",0.171800532070865
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","N",-0.0542123494859121
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","S",2.48024096915473
"CC002xCC021","X15156x1566","287","D7","IgG2ac","SARS","S",2.7062538507115
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","N",0.177012881556779
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","N",-0.0490000000000002
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","S",2.6024662001974
"CC002xCC021","X15156x1566","288","D7","IgG2ac","SARS","S",2.37645331864063
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","N",0.227976897240773
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","N",0.00196401568399572
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","S",1.65851285374376
"CC002xCC021","X15156x1566","98","D7","IgG2ac","SARS","S",1.43249997218698
"CC011xCC032","X3252x8002","26","D15","TotalG","SARS","N",0.19598933076966
"CC011xCC032","X3252x8002","26","D15","TotalG","SARS","N",0.364466228010435
"CC011xCC032","X3252x8002","28","D10","TotalG","SARS","N",-0.0634182581934351
"CC011xCC032","X3252x8002","28","D10","TotalG","SARS","N",-0.0361928031367992
"CC011xCC032","X3252x8002","29","D10","TotalG","SARS","N",-0.0543169700377574
"CC011xCC032","X3252x8002","29","D10","TotalG","SARS","N",-0.0641796975660753
"CC011xCC032","X3252x8002","30","D15","TotalG","SARS","N",0.0690648558117817
"CC011xCC032","X3252x8002","30","D15","TotalG","SARS","N",0.136564855811782
"CC011xCC032","X3252x8002","36","D29","TotalG","SARS","N",0.88203996094099
