"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC017xCC004","X3032x16188","83","D29","IgG2ac","SARS","N",0.756488210699929
"CC017xCC004","X3032x16188","82","D29","IgG2ac","SARS","N",5.12769809603244
"CC017xCC004","X3032x16188","143","D15","IgG2ac","SARS","N",1.27446754428109
"CC017xCC004","X3032x16188","74","DRECHAL","TotalG","SARS","N",2.76547908175419
"CC017xCC004","X3032x16188","83","D29","TotalG","SARS","N",1.02994799793198
"CC017xCC004","X3032x16188","82","D29","TotalG","SARS","N",5.37633847688635
"CC017xCC004","X3032x16188","142","D15","TotalG","SARS","N",1.95826740431012
"CC017xCC004","X3032x16188","81","DRECHAL","IgG2ac","SARS","S",6.93111635422587
"CC017xCC004","X3032x16188","74","DRECHAL","IgG2ac","SARS","S",7.07009014308442
"CC017xCC004","X3032x16188","82","D29","IgG2ac","SARS","S",8.65326606022644
"CC017xCC004","X3032x16188","73","D29","IgG2ac","SARS","S",8.28273363232055
"CC017xCC004","X3032x16188","144","D15","IgG2ac","SARS","S",4.9414366566598
"CC017xCC004","X3032x16188","142","D15","IgG2ac","SARS","S",4.84387135282013
"CC017xCC004","X3032x16188","81","DRECHAL","TotalG","SARS","S",6.77974362950904
"CC017xCC004","X3032x16188","83","D29","TotalG","SARS","S",5.25517188489099
"CC017xCC004","X3032x16188","73","D29","TotalG","SARS","S",8.92218098602371
"CC017xCC004","X3032x16188","144","D15","TotalG","SARS","S",5.12034180928251
"CC017xCC004","X3032x16188","143","D15","TotalG","SARS","S",5.99893976504203
"CC015xCC018","X3154x3609","64","DRECHAL","IgG2ac","SARS","N",2.48289089916924
"CC015xCC018","X3154x3609","56","DRECHAL","IgG2ac","SARS","N",3.21076339987211
"CC015xCC018","X3154x3609","11","D29","IgG2ac","SARS","N",3.11282559532956
"CC015xCC018","X3154x3609","35","D15","IgG2ac","SARS","N",2.58429294340973
"CC015xCC018","X3154x3609","62","D10","IgG2ac","SARS","N",1.78346043146086
"CC015xCC018","X3154x3609","54","D10","IgG2ac","SARS","N",0.378289638826581
"CC015xCC018","X3154x3609","64","DRECHAL","TotalG","SARS","N",3.94707370511753
"CC015xCC018","X3154x3609","63","DRECHAL","TotalG","SARS","N",5.00880249257033
"CC015xCC018","X3154x3609","13","D29","TotalG","SARS","N",3.82944976223053
"CC015xCC018","X3154x3609","35","D15","TotalG","SARS","N",3.30262279500426
"CC015xCC018","X3154x3609","3","D15","TotalG","SARS","N",2.93324696190522
"CC015xCC018","X3154x3609","64","DRECHAL","IgG2ac","SARS","S",4.38569809603244
"CC015xCC018","X3154x3609","56","DRECHAL","IgG2ac","SARS","S",5.59074052112683
"CC015xCC018","X3154x3609","13","D29","IgG2ac","SARS","S",5.62792355108908
"CC015xCC018","X3154x3609","12","D29","IgG2ac","SARS","S",3.83454127721165
"CC015xCC018","X3154x3609","11","D29","IgG2ac","SARS","S",5.14026673226828
"CC015xCC018","X3154x3609","35","D15","IgG2ac","SARS","S",3.26289756396157
"CC015xCC018","X3154x3609","3","D15","IgG2ac","SARS","S",3.42201195768798
"CC015xCC018","X3154x3609","63","DRECHAL","TotalG","SARS","S",7.08738734275913
"CC015xCC018","X3154x3609","56","DRECHAL","TotalG","SARS","S",6.90879916017418
"CC015xCC018","X3154x3609","12","D29","TotalG","SARS","S",4.72228627861739
"CC015xCC018","X3154x3609","11","D29","TotalG","SARS","S",6.10816522009866
"CC015xCC018","X3154x3609","54","D10","TotalG","SARS","S",4.0900870347022
"CC011xNA","X3252x8042","49","DRECHAL","IgG2ac","SARS","N",1.32149330739465
"CC011xNA","X3252x8042","6","DRECHAL","IgG2ac","SARS","N",2.01509369949454
"CC011xNA","X3252x8042","51","D29","IgG2ac","SARS","N",0.619217222166684
"CC011xNA","X3252x8042","39","D29","IgG2ac","SARS","N",1.15479117911118
"CC011xNA","X3252x8042","11","D15","IgG2ac","SARS","N",0.223728115410966
"CC011xNA","X3252x8042","2","D15","IgG2ac","SARS","N",0.581289414812635
"CC011xNA","X3252x8042","71","DRECHAL","TotalG","SARS","N",2.21018765081604
"CC011xNA","X3252x8042","49","DRECHAL","TotalG","SARS","N",1.9896554469241
"CC011xNA","X3252x8042","6","DRECHAL","TotalG","SARS","N",3.1306874268021
"CC011xNA","X3252x8042","51","D29","TotalG","SARS","N",1.85693643264585
"CC011xNA","X3252x8042","39","D29","TotalG","SARS","N",2.34126939262261
"CC011xNA","X3252x8042","10","D15","TotalG","SARS","N",1.64553528446115
"CC011xNA","X3252x8042","2","D15","TotalG","SARS","N",2.19224074514078
"CC011xNA","X3252x8042","71","DRECHAL","IgG2ac","SARS","S",6.56655947947707
"CC017xCC004","X3032x16188","73","D29","TotalG","SARS","N",3.0343222629334
"CC011xNA","X3252x8042","49","DRECHAL","IgG2ac","SARS","S",7.07279159932605
"CC011xNA","X3252x8042","6","DRECHAL","IgG2ac","SARS","S",6.72048462647679
"CC011xNA","X3252x8042","51","D29","IgG2ac","SARS","S",5.51467432123138
"CC011xNA","X3252x8042","39","D29","IgG2ac","SARS","S",6.81450084042975
"CC011xNA","X3252x8042","11","D15","IgG2ac","SARS","S",5.28195841533535
"CC011xNA","X3252x8042","2","D15","IgG2ac","SARS","S",4.87041265784479
"CC011xNA","X3252x8042","71","DRECHAL","TotalG","SARS","S",7.05214455367982
"CC011xNA","X3252x8042","49","DRECHAL","TotalG","SARS","S",7.44497129689213
"CC011xNA","X3252x8042","51","D29","TotalG","SARS","S",6.08003349234958
"CC011xNA","X3252x8042","11","D15","TotalG","SARS","S",5.70185046238733
"CC011xNA","X3252x8042","10","D15","TotalG","SARS","S",5.21060879337775
"CC011xNA","X3252x8042","2","D15","TotalG","SARS","S",5.66339311149568
"CC032xCC017","X8002x3032","60","DRECHAL","IgG3","SARS","N",0.349737440557631
"CC032xCC017","X8002x3032","59","DRECHAL","IgG3","SARS","N",0.167280761707806
"CC032xCC017","X8002x3032","61","D29","IgG3","SARS","N",-0.0820097731745563
"CC032xCC017","X8002x3032","59","D29","IgG3","SARS","N",0.119009325146664
"CC032xCC017","X8002x3032","58","D15","IgG3","SARS","N",0.0531663679814056
"CC032xCC017","X8002x3032","51","D15","IgG3","SARS","N",0.0346796975660756
"CC032xCC017","X8002x3032","31","DRECHAL","IgG2b","SARS","N",1.17393111193719
"CC032xCC017","X8002x3032","61","D29","IgG2b","SARS","N",0.285067516166112
"CC032xCC017","X8002x3032","52","D15","IgG2b","SARS","N",0.211754102538468
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2ac","SARS","N",0.318037972628496
"CC032xCC017","X8002x3032","31","DRECHAL","IgG2ac","SARS","N",1.29083293216375
"CC032xCC017","X8002x3032","61","D29","IgG2ac","SARS","N",0.509243433308127
"CC032xCC017","X8002x3032","60","D29","IgG2ac","SARS","N",1.35284937013063
