"RIX","alias","ID","day","virus","antigen","Ig2A.2C","IgG1","IgG2A.2B","IgG2ac","IgG2b","IgG3","TotalG"
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","N",NA,2,NA,2,1,0,3
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","S",NA,1,NA,5,3,0,5
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","N",NA,1,NA,2,0,0,2
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","S",NA,4,NA,5,3,0,5
"CC001xCC074","X13140x3015","43","D29","SARS","N",NA,1,NA,1,0,0,2
"CC001xCC074","X13140x3015","43","D29","SARS","S",NA,0,NA,4,2,0,5
"CC001xCC074","X13140x3015","50","D29","SARS","N",NA,1,NA,1,0,0,2
"CC001xCC074","X13140x3015","50","D29","SARS","S",NA,0,NA,4,2,0,4
"CC001xCC074","X13140x3015","57","D29","SARS","N",NA,0,NA,1,0,0,2
"CC001xCC074","X13140x3015","57","D29","SARS","S",NA,2,NA,5,2,0,5
"CC001xCC074","X13140x3015","98","DRECHAL","SARS","N",NA,0,NA,1,0,0,2
"CC001xCC074","X13140x3015","98","DRECHAL","SARS","S",NA,0,NA,3,2,0,4
"CC002xCC011","X15156x3252","111","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC002xCC011","X15156x3252","111","D15","SARS","S",NA,NA,NA,3,NA,NA,4
"CC002xCC011","X15156x3252","118","D15","SARS","N",NA,NA,NA,0,NA,NA,2
"CC002xCC011","X15156x3252","118","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC002xCC011","X15156x3252","133","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC002xCC011","X15156x3252","133","D15","SARS","S",NA,NA,NA,2,NA,NA,4
"CC002xCC011","X15156x3252","96","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,2
"CC002xCC011","X15156x3252","96","DRECHAL","SARS","S",NA,NA,NA,2,NA,NA,4
"CC002xCC011","X15156x3252","98","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC011","X15156x3252","98","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC002xCC011","X15156x3252","99","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC002xCC011","X15156x3252","99","DRECHAL","SARS","S",NA,NA,NA,2,NA,NA,2
"CC002xCC021","X15156x1566","101","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","101","D29","SARS","S",NA,NA,NA,2,NA,NA,3
"CC002xCC021","X15156x1566","102","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","102","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC002xCC021","X15156x1566","103","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","103","D15","SARS","S",NA,NA,NA,2,NA,NA,2
"CC002xCC021","X15156x1566","106","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","106","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC002xCC021","X15156x1566","107","D7","SARS","N",NA,NA,NA,0,NA,NA,NA
"CC002xCC021","X15156x1566","107","D7","SARS","S",NA,NA,NA,1,NA,NA,NA
"CC002xCC021","X15156x1566","130","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","130","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC002xCC021","X15156x1566","215","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","215","DRECHAL","SARS","S",NA,NA,NA,2,NA,NA,3
"CC002xCC021","X15156x1566","216","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","216","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC002xCC021","X15156x1566","217","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","217","DRECHAL","SARS","S",NA,NA,NA,3,NA,NA,4
"CC002xCC021","X15156x1566","270","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","270","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC002xCC021","X15156x1566","273","D7","SARS","N",NA,NA,NA,0,NA,NA,NA
"CC002xCC021","X15156x1566","273","D7","SARS","S",NA,NA,NA,2,NA,NA,NA
"CC002xCC021","X15156x1566","279","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","279","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC002xCC021","X15156x1566","280","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC002xCC021","X15156x1566","280","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC002xCC021","X15156x1566","287","D7","SARS","N",NA,NA,NA,0,NA,NA,NA
"CC002xCC021","X15156x1566","287","D7","SARS","S",NA,NA,NA,2,NA,NA,NA
"CC002xCC021","X15156x1566","288","D7","SARS","N",NA,NA,NA,0,NA,NA,NA
"CC002xCC021","X15156x1566","288","D7","SARS","S",NA,NA,NA,2,NA,NA,NA
"CC002xCC021","X15156x1566","97","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC002xCC021","X15156x1566","97","D15","SARS","S",NA,NA,NA,2,NA,NA,3
"CC002xCC021","X15156x1566","98","D7","SARS","N",NA,NA,NA,0,NA,NA,NA
"CC002xCC021","X15156x1566","98","D7","SARS","S",NA,NA,NA,1,NA,NA,NA
"CC003xCC051","X13067x16912","118","D29","SARS","N",NA,NA,NA,1,NA,NA,2
"CC003xCC051","X13067x16912","118","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC003xCC051","X13067x16912","119","D29","SARS","N",NA,NA,NA,1,NA,NA,1
"CC003xCC051","X13067x16912","119","D29","SARS","S",NA,NA,NA,4,NA,NA,4
"CC003xCC051","X13067x16912","120","D29","SARS","N",NA,NA,NA,1,NA,NA,1
"CC003xCC051","X13067x16912","120","D29","SARS","S",NA,NA,NA,5,NA,NA,4
"CC003xCC051","X13067x16912","61","D15","SARS","N",NA,NA,NA,0,NA,NA,1
"CC003xCC051","X13067x16912","61","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC003xCC051","X13067x16912","62","D15","SARS","N",NA,NA,NA,1,NA,NA,2
"CC003xCC051","X13067x16912","62","D15","SARS","S",NA,NA,NA,2,NA,NA,2
"CC003xCC051","X13067x16912","70","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,2
"CC003xCC051","X13067x16912","70","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC003xCC051","X13067x16912","71","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,1
"CC003xCC051","X13067x16912","71","DRECHAL","SARS","S",NA,NA,NA,5,NA,NA,4
"CC003xCC051","X13067x16912","72","DRECHAL","SARS","N",NA,NA,NA,1,NA,NA,1
"CC003xCC051","X13067x16912","72","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC003xCC051","X13067x16912","76","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC003xCC051","X13067x16912","76","D15","SARS","S",NA,NA,NA,2,NA,NA,2
