"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC017xCC004","X3032x16188","81","DRECHAL","IgG2ac","SARS","N",4.13118832285789
"CC017xCC004","X3032x16188","74","DRECHAL","IgG2ac","SARS","N",3.72249551972108
"CC017xCC004","X3032x16188","83","D29","IgG2ac","SARS","N",0.756488210699929
"CC017xCC004","X3032x16188","82","D29","IgG2ac","SARS","N",5.12769809603244
"CC017xCC004","X3032x16188","144","D15","IgG2ac","SARS","N",1.3386539066395
"CC017xCC004","X3032x16188","143","D15","IgG2ac","SARS","N",1.27446754428109
"CC017xCC004","X3032x16188","142","D15","IgG2ac","SARS","N",1.96177051269234
"CC017xCC004","X3032x16188","81","DRECHAL","TotalG","SARS","N",2.60415900333421
"CC017xCC004","X3032x16188","73","D29","TotalG","SARS","N",3.0343222629334
"CC017xCC004","X3032x16188","144","D15","TotalG","SARS","N",1.72488179803652
"CC017xCC004","X3032x16188","142","D15","TotalG","SARS","N",1.95826740431012
"CC017xCC004","X3032x16188","81","DRECHAL","IgG2ac","SARS","S",6.93111635422587
"CC017xCC004","X3032x16188","83","D29","IgG2ac","SARS","S",4.8959366566598
"CC017xCC004","X3032x16188","81","DRECHAL","TotalG","SARS","S",6.77974362950904
"CC017xCC004","X3032x16188","74","DRECHAL","TotalG","SARS","S",6.86270764519305
"CC017xCC004","X3032x16188","83","D29","TotalG","SARS","S",5.25517188489099
"CC017xCC004","X3032x16188","82","D29","TotalG","SARS","S",8.90074962225954
"CC017xCC004","X3032x16188","73","D29","TotalG","SARS","S",8.92218098602371
"CC017xCC004","X3032x16188","144","D15","TotalG","SARS","S",5.12034180928251
"CC017xCC004","X3032x16188","142","D15","TotalG","SARS","S",5.33187779359851
"CC015xCC018","X3154x3609","64","DRECHAL","IgG2ac","SARS","N",2.48289089916924
"CC015xCC018","X3154x3609","63","DRECHAL","IgG2ac","SARS","N",3.85959347548059
"CC015xCC018","X3154x3609","13","D29","IgG2ac","SARS","N",2.98473408034845
"CC015xCC018","X3154x3609","21","D15","IgG2ac","SARS","N",2.58893354827758
"CC015xCC018","X3154x3609","62","D10","IgG2ac","SARS","N",1.78346043146086
"CC015xCC018","X3154x3609","54","D10","IgG2ac","SARS","N",0.378289638826581
"CC015xCC018","X3154x3609","64","DRECHAL","TotalG","SARS","N",3.94707370511753
"CC015xCC018","X3154x3609","56","DRECHAL","TotalG","SARS","N",3.57722097477772
"CC015xCC018","X3154x3609","13","D29","TotalG","SARS","N",3.82944976223053
"CC015xCC018","X3154x3609","12","D29","TotalG","SARS","N",1.4119830861922
"CC015xCC018","X3154x3609","21","D15","TotalG","SARS","N",3.62195287061274
"CC015xCC018","X3154x3609","62","D10","TotalG","SARS","N",2.71571232167289
"CC015xCC018","X3154x3609","54","D10","TotalG","SARS","N",0.832393811350533
"CC015xCC018","X3154x3609","63","DRECHAL","IgG2ac","SARS","S",4.83867521728716
"CC015xCC018","X3154x3609","56","DRECHAL","IgG2ac","SARS","S",5.59074052112683
"CC015xCC018","X3154x3609","12","D29","IgG2ac","SARS","S",3.83454127721165
"CC015xCC018","X3154x3609","35","D15","IgG2ac","SARS","S",3.26289756396157
"CC015xCC018","X3154x3609","62","D10","IgG2ac","SARS","S",2.65455460679631
"CC015xCC018","X3154x3609","63","DRECHAL","TotalG","SARS","S",7.08738734275913
"CC015xCC018","X3154x3609","13","D29","TotalG","SARS","S",6.81672075076378
"CC015xCC018","X3154x3609","11","D29","TotalG","SARS","S",6.10816522009866
"CC015xCC018","X3154x3609","62","D10","TotalG","SARS","S",3.6215674883531
"CC015xCC018","X3154x3609","54","D10","TotalG","SARS","S",4.0900870347022
"CC011xCC042","X3252x18042","71","DRECHAL","IgG2ac","SARS","N",1.60808126596566
"CC011xCC042","X3252x18042","49","DRECHAL","IgG2ac","SARS","N",1.32149330739465
"CC011xCC042","X3252x18042","6","DRECHAL","IgG2ac","SARS","N",2.01509369949454
"CC011xCC042","X3252x18042","51","D29","IgG2ac","SARS","N",0.619217222166684
"CC011xCC042","X3252x18042","39","D29","IgG2ac","SARS","N",1.15479117911118
"CC011xCC042","X3252x18042","11","D15","IgG2ac","SARS","N",0.223728115410966
"CC011xCC042","X3252x18042","2","D15","IgG2ac","SARS","N",0.581289414812635
"CC011xCC042","X3252x18042","71","DRECHAL","TotalG","SARS","N",2.21018765081604
"CC011xCC042","X3252x18042","49","DRECHAL","TotalG","SARS","N",1.9896554469241
"CC011xCC042","X3252x18042","6","DRECHAL","TotalG","SARS","N",3.1306874268021
"CC011xCC042","X3252x18042","51","D29","TotalG","SARS","N",1.85693643264585
"CC011xCC042","X3252x18042","40","D29","TotalG","SARS","N",2.913239849085
"CC011xCC042","X3252x18042","39","D29","TotalG","SARS","N",2.34126939262261
"CC011xCC042","X3252x18042","11","D15","TotalG","SARS","N",1.11687314493169
"CC011xCC042","X3252x18042","2","D15","TotalG","SARS","N",2.19224074514078
"CC011xCC042","X3252x18042","71","DRECHAL","IgG2ac","SARS","S",6.56655947947707
"CC011xCC042","X3252x18042","51","D29","IgG2ac","SARS","S",5.51467432123138
"CC011xCC042","X3252x18042","11","D15","IgG2ac","SARS","S",5.28195841533535
"CC011xCC042","X3252x18042","2","D15","IgG2ac","SARS","S",4.87041265784479
"CC011xCC042","X3252x18042","71","DRECHAL","TotalG","SARS","S",7.05214455367982
"CC011xCC042","X3252x18042","6","DRECHAL","TotalG","SARS","S",7.37754970630252
"CC011xCC042","X3252x18042","40","D29","TotalG","SARS","S",7.21769031117037
"CC011xCC042","X3252x18042","39","D29","TotalG","SARS","S",7.35347129689213
"CC011xCC042","X3252x18042","2","D15","TotalG","SARS","S",5.66339311149568
"CC032xCC017","X8002x3032","60","DRECHAL","IgG3","SARS","N",0.349737440557631
"CC032xCC017","X8002x3032","59","DRECHAL","IgG3","SARS","N",0.167280761707806
"CC032xCC017","X8002x3032","31","DRECHAL","IgG3","SARS","N",0.177888042613981
"CC032xCC017","X8002x3032","60","D29","IgG3","SARS","N",0.056980005622996
"CC032xCC017","X8002x3032","59","D29","IgG3","SARS","N",0.119009325146664
"CC032xCC017","X8002x3032","52","D15","IgG3","SARS","N",0.269208793075799
"CC032xCC017","X8002x3032","51","D15","IgG3","SARS","N",0.0346796975660756
"CC032xCC017","X8002x3032","60","DRECHAL","IgG2b","SARS","N",1.44610392069699
"CC032xCC017","X8002x3032","61","D29","IgG2b","SARS","N",0.285067516166112
"CC032xCC017","X8002x3032","60","D29","IgG2b","SARS","N",1.28575141437112
"CC032xCC017","X8002x3032","58","D15","IgG2b","SARS","N",0.0385846261748401
"CC032xCC017","X8002x3032","52","D15","IgG2b","SARS","N",0.211754102538468
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2ac","SARS","N",0.318037972628496
"CC032xCC017","X8002x3032","31","DRECHAL","IgG2ac","SARS","N",1.29083293216375
"CC032xCC017","X8002x3032","59","D29","IgG2ac","SARS","N",1.62361058548932
"CC032xCC017","X8002x3032","58","D15","IgG2ac","SARS","N",0.870670792634283
"CC032xCC017","X8002x3032","52","D15","IgG2ac","SARS","N",1.64366611615444
"CC032xCC017","X8002x3032","60","DRECHAL","IgG1","SARS","N",1.67614634579138
"CC032xCC017","X8002x3032","59","DRECHAL","IgG1","SARS","N",-0.0876470456462383
"CC032xCC017","X8002x3032","31","DRECHAL","IgG1","SARS","N",1.08440845720586
"CC032xCC017","X8002x3032","61","D29","IgG1","SARS","N",-0.0823071968632007
"CC032xCC017","X8002x3032","60","D29","IgG1","SARS","N",1.53450240852737
"CC032xCC017","X8002x3032","59","D29","IgG1","SARS","N",0.45599843190238
"CC032xCC017","X8002x3032","52","D15","IgG1","SARS","N",1.37465967537605
"CC032xCC017","X8002x3032","51","D15","IgG1","SARS","N",1.48501573811203
"CC032xCC017","X8002x3032","31","DRECHAL","IgG3","SARS","S",1.01517056862033
"CC032xCC017","X8002x3032","59","D29","IgG3","SARS","S",1.29172587527151
"CC032xCC017","X8002x3032","58","D15","IgG3","SARS","S",0.600736768515794
"CC032xCC017","X8002x3032","51","D15","IgG3","SARS","S",0.734278969596241
"CC032xCC017","X8002x3032","60","DRECHAL","IgG2b","SARS","S",3.36868832285788
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2b","SARS","S",3.07873741274462
"CC032xCC017","X8002x3032","31","DRECHAL","IgG2b","SARS","S",2.607691879268
"CC032xCC017","X8002x3032","61","D29","IgG2b","SARS","S",1.54715656699383
"CC032xCC017","X8002x3032","60","D29","IgG2b","SARS","S",3.65886491204174
"CC032xCC017","X8002x3032","59","D29","IgG2b","SARS","S",3.4322178663955
"CC032xCC017","X8002x3032","52","D15","IgG2b","SARS","S",2.69478672664529
"CC032xCC017","X8002x3032","51","D15","IgG2b","SARS","S",2.5148946795933
"CC032xCC017","X8002x3032","60","DRECHAL","IgG2ac","SARS","S",5.67092999186746
"CC032xCC017","X8002x3032","59","DRECHAL","IgG2ac","SARS","S",5.94888401036296
"CC032xCC017","X8002x3032","61","D29","IgG2ac","SARS","S",5.79415877932026
"CC032xCC017","X8002x3032","60","D29","IgG2ac","SARS","S",8.35600128845764
"CC032xCC017","X8002x3032","51","D15","IgG2ac","SARS","S",5.93484180928251
"CC032xCC017","X8002x3032","59","DRECHAL","IgG1","SARS","S",-0.0871012881556777
"CC032xCC017","X8002x3032","31","DRECHAL","IgG1","SARS","S",0.296643041208233
"CC032xCC017","X8002x3032","61","D29","IgG1","SARS","S",-0.0851241669009579
"CC032xCC017","X8002x3032","58","D15","IgG1","SARS","S",0.372675469114125
"CC032xCC017","X8002x3032","52","D15","IgG1","SARS","S",1.39438314212019
"CC012xCC038","X8005x8049","108","DRECHAL","IgG2ac","SARS","N",1.48863102789422
"CC012xCC038","X8005x8049","99","DRECHAL","IgG2ac","SARS","N",1.82214990220149
"CC012xCC038","X8005x8049","98","DRECHAL","IgG2ac","SARS","N",1.15338625050242
"CC012xCC038","X8005x8049","65","D29","IgG2ac","SARS","N",0.939856930978746
"CC012xCC038","X8005x8049","63","D29","IgG2ac","SARS","N",0.78530518073769
"CC012xCC038","X8005x8049","57","D29","IgG2ac","SARS","N",0.664223662945072
"CC012xCC038","X8005x8049","97","D15","IgG2ac","SARS","N",0.844811621516078
"CC012xCC038","X8005x8049","88","D15","IgG2ac","SARS","N",0.261414253755431
"CC012xCC038","X8005x8049","87","D15","IgG2ac","SARS","N",0.243976449212882
"CC012xCC038","X8005x8049","65","D29","IgG2ac","SARS","S",5.19373097196622
"CC012xCC038","X8005x8049","63","D29","IgG2ac","SARS","S",5.44196953259358
"CC012xCC038","X8005x8049","57","D29","IgG2ac","SARS","S",5.6111034726691
"CC012xCC038","X8005x8049","97","D15","IgG2ac","SARS","S",1.94428695065923
"CC012xCC038","X8005x8049","108","DRECHAL","TotalG","SARS","N",3.89822119879167
"CC012xCC038","X8005x8049","65","D29","TotalG","SARS","N",3.23303172805103
"CC012xCC038","X8005x8049","63","D29","TotalG","SARS","N",3.40023097196623
"CC012xCC038","X8005x8049","88","D15","TotalG","SARS","N",2.02205816320643
"CC012xCC038","X8005x8049","108","DRECHAL","TotalG","SARS","S",6.24420453681083
"CC012xCC038","X8005x8049","99","DRECHAL","TotalG","SARS","S",5.50825362669755
"CC012xCC038","X8005x8049","98","DRECHAL","TotalG","SARS","S",5.29656082356077
