"RIX","alias","ID","day","virus","antigen","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","S",173.205080756888,1000,316.227766016838,0,2,1e+06
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","S",547.722557505166,1000,316.227766016838,0,2,3e+06
"CC001xCC074","X13140x3015","98","DRECHAL","SARS","S",1,316.227766016838,173.205080756888,0,0,3e+05
"CC002xCC011","X15156x3252","96","DRECHAL","SARS","S",316.227766016838,547.722557505166,316.227766016838,4.47712125471966,2.47712125471966,3e+06
"CC002xCC011","X15156x3252","98","DRECHAL","SARS","S",173.205080756888,547.722557505166,316.227766016838,4,2.47712125471966,3e+06
"CC002xCC011","X15156x3252","99","DRECHAL","SARS","S",100,316.227766016838,316.227766016838,3,2.47712125471966,3e+06
"CC002xCC021","X15156x1566","215","DRECHAL","SARS","S",100,316.227766016838,100,2.47712125471966,2,3e+05
"CC002xCC021","X15156x1566","216","DRECHAL","SARS","S",54.7722557505166,316.227766016838,173.205080756888,3.47712125471966,2,3e+05
"CC002xCC021","X15156x1566","217","DRECHAL","SARS","S",173.205080756888,547.722557505166,100,3.47712125471966,2,3e+05
"CC003xCC051","X13067x16912","70","DRECHAL","SARS","S",173.205080756888,1000,316.227766016838,2.47712125471966,2.47712125471966,3e+05
"CC003xCC051","X13067x16912","71","DRECHAL","SARS","S",173.205080756888,1000,547.722557505166,2.47712125471966,2.47712125471966,3e+05
"CC003xCC051","X13067x16912","72","DRECHAL","SARS","S",547.722557505166,1000,316.227766016838,3,3,3e+05
"CC005xCC038","X16211x8049","111","DRECHAL","SARS","S",100,547.722557505166,316.227766016838,3.47712125471966,3,1e+06
"CC005xCC038","X16211x8049","112","DRECHAL","SARS","S",173.205080756888,1000,316.227766016838,4,3.47712125471966,1e+06
"CC005xCC038","X16211x8049","117","DRECHAL","SARS","S",316.227766016838,1000,547.722557505166,4,3.47712125471966,1e+06
"CC005xCC040","X16211x16557","10","DRECHAL","SARS","S",54.7722557505166,1000,173.205080756888,2.47712125471966,2,1e+06
"CC005xCC040","X16211x16557","12","DRECHAL","SARS","S",100,1000,173.205080756888,3,2,1e+06
"CC005xCC040","X16211x16557","9","DRECHAL","SARS","S",100,547.722557505166,173.205080756888,3.47712125471966,2,1e+06
"CC006xCC007","X16750x13421","160","DRECHAL","SARS","S",173.205080756888,173.205080756888,316.227766016838,3.47712125471966,2.47712125471966,1e+05
"CC006xCC007","X16750x13421","161","DRECHAL","SARS","S",100,1000,316.227766016838,3.47712125471966,2,3e+05
"CC006xCC007","X16750x13421","164","DRECHAL","SARS","S",100,547.722557505166,100,3,2,3e+05
"CC006xCC007","X16750x13421","169","DRECHAL","SARS","S",54.7722557505166,173.205080756888,173.205080756888,3.47712125471966,2.47712125471966,3e+05
"CC006xCC039","X16750x15155","54","DRECHAL","SARS","S",173.205080756888,1000,316.227766016838,4,2.47712125471966,3e+06
"CC006xCC039","X16750x15155","63","DRECHAL","SARS","S",173.205080756888,547.722557505166,173.205080756888,3.47712125471966,2,1e+06
"CC007xCC075","X13421x3260","149","DRECHAL","SARS","S",173.205080756888,547.722557505166,316.227766016838,3.47712125471966,3.47712125471966,3e+06
"CC008xCC009","X8036x5489","107","DRECHAL","SARS","S",54.7722557505166,173.205080756888,173.205080756888,3.47712125471966,0,3e+05
"CC008xCC009","X8036x5489","110","DRECHAL","SARS","S",31.6227766016838,173.205080756888,173.205080756888,3,0,1e+05
"CC008xCC010","X8036x8018","1","DRECHAL","SARS","S",17.3205080756888,1000,173.205080756888,2,2,1e+06
"CC008xCC010","X8036x8018","107","DRECHAL","SARS","S",17.3205080756888,316.227766016838,173.205080756888,3.47712125471966,2.47712125471966,1e+05
"CC008xCC010","X8036x8018","111","DRECHAL","SARS","S",173.205080756888,547.722557505166,173.205080756888,3,2.47712125471966,3e+05
"CC008xCC010","X8036x8018","112","DRECHAL","SARS","S",17.3205080756888,547.722557505166,173.205080756888,2,3,3e+05
"CC008xCC010","X8036x8018","115","DRECHAL","SARS","S",54.7722557505166,547.722557505166,173.205080756888,2,3,3e+05
"CC008xCC010","X8036x8018","2","DRECHAL","SARS","S",17.3205080756888,1,100,3,2.47712125471966,3e+05
"CC008xCC010","X8036x8018","3","DRECHAL","SARS","S",54.7722557505166,316.227766016838,173.205080756888,2.47712125471966,3,3e+05
"CC008xCC018","X8036x3609","117","DRECHAL","SARS","S",173.205080756888,547.722557505166,316.227766016838,3.47712125471966,3,1e+06
"CC008xCC018","X8036x3609","118","DRECHAL","SARS","S",316.227766016838,547.722557505166,316.227766016838,4,2.47712125471966,3e+06
"CC008xCC018","X8036x3609","121","DRECHAL","SARS","S",100,547.722557505166,316.227766016838,3.47712125471966,2.47712125471966,3e+06
"CC009xCC040","X5489x16557","156","DRECHAL","SARS","S",54.7722557505166,547.722557505166,316.227766016838,4,3,3e+06
"CC009xCC040","X5489x16557","157","DRECHAL","SARS","S",17.3205080756888,1000,316.227766016838,3.47712125471966,3,3e+06
"CC009xCC040","X5489x16557","158","DRECHAL","SARS","S",173.205080756888,1000,316.227766016838,3.47712125471966,3,3e+06
"CC009xCC040","X5489x16557","160","DRECHAL","SARS","S",316.227766016838,1732.05080756888,547.722557505166,3,3.47712125471966,3e+06
"CC010xCC015","X8018x3154","22","DRECHAL","SARS","S",316.227766016838,1732.05080756888,316.227766016838,3.47712125471966,2.47712125471966,3e+06
"CC010xCC015","X8018x3154","23","DRECHAL","SARS","S",547.722557505166,1732.05080756888,316.227766016838,4,3,3e+06
"CC010xCC015","X8018x3154","28","DRECHAL","SARS","S",547.722557505166,1732.05080756888,547.722557505166,4,3,3e+06
"CC010xCC060","X8018x3460","124","DRECHAL","SARS","S",31.6227766016838,547.722557505166,547.722557505166,4,0,1e+06
"CC010xCC060","X8018x3460","125","DRECHAL","SARS","S",54.7722557505166,547.722557505166,547.722557505166,4,0,1e+06
"CC010xCC060","X8018x3460","130","DRECHAL","SARS","S",17.3205080756888,547.722557505166,547.722557505166,4,0,1e+06
"CC010xCC060","X8018x3460","134","DRECHAL","SARS","S",1,547.722557505166,547.722557505166,3.47712125471966,0,3e+05
"CC011xCC032","X3252x8002","34","DRECHAL","SARS","S",316.227766016838,547.722557505166,173.205080756888,3,2,3e+05
"CC011xCC032","X3252x8002","35","DRECHAL","SARS","S",173.205080756888,1732.05080756888,316.227766016838,3,0,3e+05
"CC011xCC032","X3252x8002","52","DRECHAL","SARS","S",547.722557505166,1000,316.227766016838,3.47712125471966,2,1e+06
"CC011xCC042","X3252x18042","49","DRECHAL","SARS","S",54.7722557505166,1000,316.227766016838,3.47712125471966,2.47712125471966,1e+06
"CC011xCC042","X3252x18042","6","DRECHAL","SARS","S",100,1000,316.227766016838,3.47712125471966,2,1e+06
"CC011xCC042","X3252x18042","71","DRECHAL","SARS","S",100,1000,316.227766016838,3,2,1e+06
"CC012xCC038","X8005x8049","108","DRECHAL","SARS","S",10,316.227766016838,173.205080756888,2.47712125471966,2.47712125471966,3e+05
"CC012xCC038","X8005x8049","98","DRECHAL","SARS","S",31.6227766016838,173.205080756888,173.205080756888,2.47712125471966,2,3e+05
"CC012xCC038","X8005x8049","99","DRECHAL","SARS","S",100,316.227766016838,173.205080756888,3,2,3e+05
"CC015xCC018","X3154x3609","56","DRECHAL","SARS","S",54.7722557505166,547.722557505166,54.7722557505166,2,2,1e+06
"CC015xCC018","X3154x3609","63","DRECHAL","SARS","S",31.6227766016838,547.722557505166,54.7722557505166,2,2.47712125471966,1e+06
"CC015xCC018","X3154x3609","64","DRECHAL","SARS","S",54.7722557505166,316.227766016838,54.7722557505166,2,2,1e+06
"CC015xCC059","X3154x16012","103","DRECHAL","SARS","S",316.227766016838,1732.05080756888,316.227766016838,3,0,3e+06
"CC015xCC059","X3154x16012","104","DRECHAL","SARS","S",316.227766016838,1000,173.205080756888,3,0,3e+06
