RIX,alias,ID,day,virus,antigen,IgG1,IgG2ac,IgG2b,IgG3,IgM,TotalG
CC001xCC074,X13140x3015,112,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC001xCC074,X13140x3015,112,D7,SARS,S,NA,NA,NA,NA,NA,NA
CC001xCC074,X13140x3015,118,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC001xCC074,X13140x3015,118,D7,SARS,S,NA,300,NA,NA,1000,300
CC001xCC074,X13140x3015,119,DRECHAL,SARS,N,3000,3000,1000,NA,NA,10000
CC001xCC074,X13140x3015,119,DRECHAL,SARS,S,1000,1.00E+05,10000,NA,NA,1.00E+05
CC001xCC074,X13140x3015,123,DRECHAL,SARS,N,1000,3000,NA,NA,NA,3000
CC001xCC074,X13140x3015,123,DRECHAL,SARS,S,30000,1.00E+05,10000,NA,NA,1.00E+05
CC001xCC074,X13140x3015,124,D7,SARS,N,NA,100,NA,NA,NA,300
CC001xCC074,X13140x3015,124,D7,SARS,S,NA,300,NA,NA,300,1000
CC001xCC074,X13140x3015,43,D29,SARS,N,1000,1000,NA,NA,NA,3000
CC001xCC074,X13140x3015,43,D29,SARS,S,NA,30000,3000,NA,NA,1.00E+05
CC001xCC074,X13140x3015,50,D29,SARS,N,1000,1000,NA,NA,NA,3000
CC001xCC074,X13140x3015,50,D29,SARS,S,NA,30000,3000,NA,NA,30000
CC001xCC074,X13140x3015,57,D29,SARS,N,NA,1000,NA,NA,NA,3000
CC001xCC074,X13140x3015,57,D29,SARS,S,3000,1.00E+05,3000,NA,NA,1.00E+05
CC001xCC074,X13140x3015,98,DRECHAL,SARS,N,NA,1000,NA,NA,NA,3000
CC001xCC074,X13140x3015,98,DRECHAL,SARS,S,NA,10000,3000,NA,NA,30000
CC002xCC011,X15156x3252,104,D10,SARS,N,300,100,100,NA,NA,1000
CC002xCC011,X15156x3252,104,D10,SARS,S,NA,3000,1000,300,1000,3000
CC002xCC011,X15156x3252,108,D10,SARS,N,3000,100,1000,NA,NA,3000
CC002xCC011,X15156x3252,108,D10,SARS,S,NA,300,1000,100,3000,10000
CC002xCC011,X15156x3252,109,D10,SARS,N,300,100,100,NA,NA,1000
CC002xCC011,X15156x3252,109,D10,SARS,S,NA,3000,1000,100,1000,3000
CC002xCC011,X15156x3252,110,D10,SARS,N,300,NA,NA,NA,NA,1000
CC002xCC011,X15156x3252,110,D10,SARS,S,NA,3000,1000,NA,1000,10000
CC002xCC011,X15156x3252,111,D15,SARS,N,100,NA,300,NA,NA,3000
CC002xCC011,X15156x3252,111,D15,SARS,S,300,10000,3000,1000,100,30000
CC002xCC011,X15156x3252,116,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC011,X15156x3252,116,D7,SARS,S,NA,300,100,NA,3000,1000
CC002xCC011,X15156x3252,117,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC011,X15156x3252,117,D7,SARS,S,NA,100,NA,NA,1000,1000
CC002xCC011,X15156x3252,118,D15,SARS,N,300,NA,100,NA,NA,3000
CC002xCC011,X15156x3252,118,D15,SARS,S,300,10000,3000,300,100,10000
CC002xCC011,X15156x3252,132,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC011,X15156x3252,132,D7,SARS,S,NA,NA,100,NA,1000,1000
CC002xCC011,X15156x3252,133,D15,SARS,N,100,NA,NA,NA,NA,1000
CC002xCC011,X15156x3252,133,D15,SARS,S,300,3000,3000,300,100,30000
CC002xCC011,X15156x3252,96,DRECHAL,SARS,N,300,NA,300,NA,NA,3000
CC002xCC011,X15156x3252,96,DRECHAL,SARS,S,10000,3000,10000,1000,NA,30000
CC002xCC011,X15156x3252,98,DRECHAL,SARS,N,NA,NA,100,NA,NA,NA
CC002xCC011,X15156x3252,98,DRECHAL,SARS,S,3000,10000,10000,300,NA,30000
CC002xCC011,X15156x3252,99,DRECHAL,SARS,N,NA,NA,300,NA,NA,1000
CC002xCC011,X15156x3252,99,DRECHAL,SARS,S,300,3000,3000,NA,NA,3000
CC002xCC021,X15156x1566,101,D29,SARS,N,NA,NA,100,NA,NA,NA
CC002xCC021,X15156x1566,101,D29,SARS,S,NA,3000,100,NA,NA,10000
CC002xCC021,X15156x1566,102,D29,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,102,D29,SARS,S,100,10000,1000,NA,NA,30000
CC002xCC021,X15156x1566,103,D15,SARS,N,100,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,103,D15,SARS,S,100,3000,300,NA,NA,3000
CC002xCC021,X15156x1566,106,D15,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,106,D15,SARS,S,NA,10000,1000,NA,NA,10000
CC002xCC021,X15156x1566,107,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,107,D7,SARS,S,NA,100,NA,NA,100,300
CC002xCC021,X15156x1566,130,D29,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,130,D29,SARS,S,NA,10000,1000,NA,NA,30000
CC002xCC021,X15156x1566,215,DRECHAL,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,215,DRECHAL,SARS,S,1000,3000,300,NA,NA,10000
CC002xCC021,X15156x1566,216,DRECHAL,SARS,N,100,NA,300,NA,NA,NA
CC002xCC021,X15156x1566,216,DRECHAL,SARS,S,NA,10000,1000,300,NA,30000
CC002xCC021,X15156x1566,217,DRECHAL,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,217,DRECHAL,SARS,S,3000,10000,1000,300,NA,30000
CC002xCC021,X15156x1566,270,D15,SARS,N,NA,NA,100,NA,NA,NA
CC002xCC021,X15156x1566,270,D15,SARS,S,100,10000,3000,NA,NA,10000
CC002xCC021,X15156x1566,273,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,273,D7,SARS,S,NA,300,100,NA,300,1000
CC002xCC021,X15156x1566,279,D15,SARS,N,100,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,279,D15,SARS,S,NA,10000,300,NA,NA,10000
CC002xCC021,X15156x1566,280,D15,SARS,N,300,NA,NA,NA,NA,1000
CC002xCC021,X15156x1566,280,D15,SARS,S,100,10000,300,NA,NA,10000
CC002xCC021,X15156x1566,287,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,287,D7,SARS,S,NA,300,NA,NA,300,300
CC002xCC021,X15156x1566,288,D7,SARS,N,NA,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,288,D7,SARS,S,NA,300,NA,NA,300,300
CC002xCC021,X15156x1566,97,D15,SARS,N,100,NA,NA,NA,NA,NA
CC002xCC021,X15156x1566,97,D15,SARS,S,NA,3000,1000,NA,NA,10000
CC002xCC021,X15156x1566,98,D7,SARS,N,NA,NA,NA,NA,NA,NA
