"RIX","alias","ID","day","isotype","virus","antigen","halfmax","last_positive"
"CC001xCC074","X13140x3015","112","D7","IgG1","SARS","N",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG1","SARS","S",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG2ac","SARS","N",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG2ac","SARS","S",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG2b","SARS","N",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG2b","SARS","S",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgM","SARS","N",NA,NA
"CC001xCC074","X13140x3015","112","D7","IgM","SARS","S",NA,300
"CC001xCC074","X13140x3015","112","D7","TotalG","SARS","N",NA,NA
"CC001xCC074","X13140x3015","112","D7","TotalG","SARS","S",NA,100
"CC001xCC074","X13140x3015","118","D7","IgG1","SARS","N",NA,NA
"CC001xCC074","X13140x3015","118","D7","IgG1","SARS","S",NA,NA
"CC001xCC074","X13140x3015","118","D7","IgG2ac","SARS","N",NA,NA
"CC001xCC074","X13140x3015","118","D7","IgG2ac","SARS","S",300,3000
"CC001xCC074","X13140x3015","118","D7","IgG2b","SARS","N",NA,NA
"CC001xCC074","X13140x3015","118","D7","IgG2b","SARS","S",NA,300
"CC001xCC074","X13140x3015","118","D7","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","118","D7","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","118","D7","IgM","SARS","N",NA,100
"CC001xCC074","X13140x3015","118","D7","IgM","SARS","S",1000,10000
"CC001xCC074","X13140x3015","118","D7","TotalG","SARS","N",NA,100
"CC001xCC074","X13140x3015","118","D7","TotalG","SARS","S",300,10000
"CC001xCC074","X13140x3015","119","DRECHAL","IgG1","SARS","N",3000,30000
"CC001xCC074","X13140x3015","119","DRECHAL","IgG1","SARS","S",1000,30000
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2ac","SARS","N",3000,30000
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2ac","SARS","S",1e+05,1e+06
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2b","SARS","N",1000,10000
"CC001xCC074","X13140x3015","119","DRECHAL","IgG2b","SARS","S",10000,1e+05
"CC001xCC074","X13140x3015","119","DRECHAL","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","119","DRECHAL","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","119","DRECHAL","IgM","SARS","N",NA,100
"CC001xCC074","X13140x3015","119","DRECHAL","IgM","SARS","S",NA,100
"CC001xCC074","X13140x3015","119","DRECHAL","TotalG","SARS","N",10000,1e+05
"CC001xCC074","X13140x3015","119","DRECHAL","TotalG","SARS","S",1e+05,1e+06
"CC001xCC074","X13140x3015","123","DRECHAL","IgG1","SARS","N",1000,10000
"CC001xCC074","X13140x3015","123","DRECHAL","IgG1","SARS","S",30000,3e+05
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2ac","SARS","N",3000,30000
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2ac","SARS","S",1e+05,1e+06
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2b","SARS","N",NA,3000
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2b","SARS","S",10000,1e+05
"CC001xCC074","X13140x3015","123","DRECHAL","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","123","DRECHAL","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","123","DRECHAL","IgM","SARS","N",NA,100
"CC001xCC074","X13140x3015","123","DRECHAL","IgM","SARS","S",NA,100
"CC001xCC074","X13140x3015","123","DRECHAL","TotalG","SARS","N",3000,1e+05
"CC001xCC074","X13140x3015","123","DRECHAL","TotalG","SARS","S",1e+05,3e+06
"CC001xCC074","X13140x3015","124","D7","IgG1","SARS","N",NA,NA
"CC001xCC074","X13140x3015","124","D7","IgG1","SARS","S",NA,NA
"CC001xCC074","X13140x3015","124","D7","IgG2ac","SARS","N",100,1000
"CC001xCC074","X13140x3015","124","D7","IgG2ac","SARS","S",300,3000
"CC001xCC074","X13140x3015","124","D7","IgG2b","SARS","N",NA,300
"CC001xCC074","X13140x3015","124","D7","IgG2b","SARS","S",NA,300
"CC001xCC074","X13140x3015","124","D7","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","124","D7","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","124","D7","IgM","SARS","N",NA,100
"CC001xCC074","X13140x3015","124","D7","IgM","SARS","S",300,10000
"CC001xCC074","X13140x3015","124","D7","TotalG","SARS","N",300,1000
"CC001xCC074","X13140x3015","124","D7","TotalG","SARS","S",1000,10000
"CC001xCC074","X13140x3015","43","D29","IgG1","SARS","N",1000,10000
"CC001xCC074","X13140x3015","43","D29","IgG1","SARS","S",NA,3000
"CC001xCC074","X13140x3015","43","D29","IgG2ac","SARS","N",1000,10000
"CC001xCC074","X13140x3015","43","D29","IgG2ac","SARS","S",30000,1e+06
"CC001xCC074","X13140x3015","43","D29","IgG2b","SARS","N",NA,10000
"CC001xCC074","X13140x3015","43","D29","IgG2b","SARS","S",3000,30000
"CC001xCC074","X13140x3015","43","D29","IgG3","SARS","N",NA,NA
"CC001xCC074","X13140x3015","43","D29","IgG3","SARS","S",NA,NA
"CC001xCC074","X13140x3015","43","D29","IgM","SARS","N",NA,100
"CC001xCC074","X13140x3015","43","D29","IgM","SARS","S",NA,100
"CC001xCC074","X13140x3015","43","D29","TotalG","SARS","N",3000,30000
"CC001xCC074","X13140x3015","43","D29","TotalG","SARS","S",1e+05,1e+06
"CC001xCC074","X13140x3015","50","D29","IgG1","SARS","N",1000,10000
"CC001xCC074","X13140x3015","50","D29","IgG1","SARS","S",NA,3000
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","N",1000,10000
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","S",30000,1e+06
"CC001xCC074","X13140x3015","50","D29","IgG2b","SARS","N",NA,3000
