"RIX","alias","ID","day","virus","antigen","IgM"
"CC001xCC074","X13140x3015","43","D29","SARS","N",-1.15769053790939
"CC001xCC074","X13140x3015","43","D29","SARS","S",-0.718507277872575
"CC001xCC074","X13140x3015","50","D29","SARS","N",-1.18969463073684
"CC001xCC074","X13140x3015","50","D29","SARS","S",-0.842358941087802
"CC001xCC074","X13140x3015","57","D29","SARS","N",-1.15748670155252
"CC001xCC074","X13140x3015","57","D29","SARS","S",-0.66823015626776
"CC002xCC021","X15156x1566","101","D29","SARS","N",NA
"CC002xCC021","X15156x1566","101","D29","SARS","S",-1.74135359924878
"CC002xCC021","X15156x1566","102","D29","SARS","N",NA
"CC002xCC021","X15156x1566","102","D29","SARS","S",-0.90716453165952
"CC002xCC021","X15156x1566","130","D29","SARS","N",NA
"CC002xCC021","X15156x1566","130","D29","SARS","S",-1.84276985203579
"CC003xCC051","X13067x16912","118","D29","SARS","N",-1.41646286224315
"CC003xCC051","X13067x16912","118","D29","SARS","S",-0.385131358951031
"CC003xCC051","X13067x16912","119","D29","SARS","N",-0.94920263631096
"CC003xCC051","X13067x16912","119","D29","SARS","S",-0.076623282261383
"CC003xCC051","X13067x16912","120","D29","SARS","N",-1.03453564332492
"CC003xCC051","X13067x16912","120","D29","SARS","S",-0.339429928763996
"CC005xCC001","X16211x13140","105","D29","SARS","N",-0.931791062743018
"CC005xCC001","X16211x13140","105","D29","SARS","S",-0.690106527977767
"CC005xCC001","X16211x13140","90","D29","SARS","N",-1.24689938723775
"CC005xCC001","X16211x13140","90","D29","SARS","S",-0.701568876819064
"CC005xCC001","X16211x13140","91","D29","SARS","N",-1.01121509889523
"CC005xCC001","X16211x13140","91","D29","SARS","S",-0.51985285758958
"CC005xCC038","X16211x8049","78","D29","SARS","N",0.167259178117875
"CC005xCC038","X16211x8049","78","D29","SARS","S",0.54036449701828
"CC005xCC038","X16211x8049","79","D29","SARS","N",-0.0419451862884462
"CC005xCC038","X16211x8049","79","D29","SARS","S",0.523108878646876
"CC005xCC038","X16211x8049","80","D29","SARS","N",-0.0586945858878431
"CC005xCC038","X16211x8049","80","D29","SARS","S",0.408716305093758
"CC005xCC040","X16211x16557","20","D29","SARS","N",-0.682633832703128
"CC005xCC040","X16211x16557","20","D29","SARS","S",-0.872272225065597
"CC005xCC040","X16211x16557","22","D29","SARS","N",-0.613665086076326
"CC005xCC040","X16211x16557","22","D29","SARS","S",-0.735886341737429
"CC005xCC040","X16211x16557","23","D29","SARS","N",-0.54142725793591
"CC005xCC040","X16211x16557","23","D29","SARS","S",-0.753610708959777
"CC006xCC007","X16750x13421","120","D29","SARS","N",-1.03811528072715
