"strain","alias","status"
"CC001",13140,0
"CC002",15156,2
"CC003",13067,1
"CC004",16188,1
"CC005",16211,2
"CC006",16750,1
"CC007",13421,1
"CC008",8036,0.5
"CC009",5489,1
"CC010",8018,1
"CC011",3252,1
"CC012",8005,0
"CC013",8010,1
"CC014",3415,1
"CC015",3154,0
"CC016",8024,1
"CC017",3032,0
"CC018",3609,2
"CC019",16513,1
"CC020",8054,2
"CC021",1566,0
"CC022",8046,0
"CC023",8043,2
"CC024",8004,0
"CC025",8008,0
"CC026",8026,1
"CC027",8027,1
"CC028",8016,2
"CC029",3564,0.5
"CC030",8034,0
"CC031",8031,0.5
"CC032",8002,1
"CC033",8033,1
"CC034",5080,1.5
"CC035",5035,0.5
"CC036",477,2
"CC037",16072,2
"CC038",8049,1
"CC039",15155,2
"CC040",16557,0
"CC041",16441,1.5
"CC042",18042,1
"CC043",8021,1
"CC044",4410,1
"CC045",8045,2
"CC046",5346,1.75
"CC047",5612,1
"CC049",16296,1
"CC050",867,1
"CC051",16912,1
"CC052",8052,0.5
"CC053",773,1
"CC055",16680,1
"CC056",8056,0
"CC057",3393,1
"CC058",5358,0
"CC059",16012,1
"CC060",3460,0
"CC061",8048,2
"CC062",5306,0.5
"CC063",5391,0.5
"CC065",5119,0
"CC068",16768,2
"CC070",16034,0
"CC071",16785,0
"CC072",16521,2
"CC073",1515,0
"CC074",3015,1
"CC075",3260,1
