strain,ID,CTCTT_30_fw,CTCTT_30_rc,TCTTC_30_fw,TCTTC_30_rc,CTTCT_30_fw,CTTCT_30_rc,TTCTC_30_fw,TTCTC_30_rc,TCTCT_30_fw,TCTCT_30_rc,CTCTT_29_fw,CTCTT_29_rc,CTCTT_28_fw,CTCTT_28_rc,CTCTT_27_fw,CTCTT_27_rc,CTCTT_26_fw,CTCTT_26_rc,CTCTT_25_fw,CTCTT_25_rc,CTCTT_24_fw,CTCTT_24_rc,CTCTT_23_fw,CTCTT_23_rc,CTCTT_22_fw,CTCTT_22_rc,CTCTT_21_fw,CTCTT_21_rc,CTCTT_20_fw,CTCTT_20_rc,CTCTT_19_fw,CTCTT_19_rc,CTCTT_18_fw,CTCTT_18_rc,CTCTT_17_fw,CTCTT_17_rc,CTCTT_16_fw,CTCTT_16_rc,CTCTT_15_fw,CTCTT_15_rc,CTCTT_14_fw,CTCTT_14_rc,CTCTT_13_fw,CTCTT_13_rc,CTCTT_12_fw,CTCTT_12_rc,CTCTT_11_fw,CTCTT_11_rc,CTCTT_10_fw,CTCTT_10_rc
CC001,4363_UNC_NYGC,0,18,0,11,0,11,0,9,0,18,0,60,0,117,0,206,0,338,0,539,1,869,4,1438,16,2343,66,3714,261,6021,833,9794,2287,15621,5239,24205,10707,36555,19886,53968,33584,76719,52595,105580,77849,141307,109651,184365,148821,235433
CC002,4575_UNC_NYGC,0,6,0,8,0,10,0,11,0,5,0,37,0,95,0,188,0,338,1,620,3,1068,9,1861,28,3197,118,5394,433,8902,1341,14343,3495,22743,8152,35652,16525,53984,30227,79317,50631,112951,78950,155857,116507,208938,163328,272186,220016,346220
CC003,4601_UNC_NYGC,1,14,0,14,0,9,0,5,1,10,2,51,3,112,4,202,5,345,7,587,12,1018,21,1696,36,2778,120,4497,396,7368,1214,11954,3231,19090,7286,29803,14484,45067,26430,66379,43814,94195,68003,129414,99973,172776,140413,225024,190056,286713
CC004,4292_UNC_NYGC,1,8,0,6,0,8,0,18,0,17,2,40,3,97,4,192,5,354,6,643,8,1126,13,1885,42,3101,127,5120,431,8212,1276,13031,3459,20810,8027,32932,16230,50392,29690,74702,49800,107152,78325,148867,115892,200363,163243,262604,221011,336153
CC005,4714_UNC_NYGC,0,7,0,9,0,4,0,6,0,9,0,38,0,89,2,172,4,320,7,575,10,935,16,1533,37,2548,104,4188,362,6864,1094,11303,2960,18395,6974,29841,14357,46658,26341,70084,44416,101342,69928,142013,103763,192764,146457,253588,198678,325444
CC006,4698_UNC_NYGC,0,10,0,8,0,9,0,12,0,10,0,50,0,111,1,201,2,362,4,601,8,989,25,1608,105,2597,340,4185,995,6692,2486,10818,5585,17141,11250,26791,20436,40690,34377,60047,54012,85537,80237,118045,113839,158735,155460,207879,205420,265964
CC007,3406_UNC_NYGC,0,4,0,4,0,4,0,5,0,7,0,19,0,51,0,112,1,211,2,362,5,615,13,1039,62,1760,234,2887,739,4618,2052,7552,4657,12055,9392,19010,17128,29117,29121,43529,46218,62851,69074,87680,98673,118864,135349,156814,179354,201685
CC008,983_UNC_NYGC,0,3,0,2,0,2,0,6,0,9,0,25,0,57,0,100,1,178,3,322,11,562,42,976,120,1611,366,2596,907,4190,1964,6649,3997,10501,7689,16276,13740,24648,22849,36523,35839,52271,53034,72520,75089,97308,102057,126984,134897,162372
CC009,3045_UNC_NYGC,1,14,0,11,0,13,0,18,0,20,2,59,4,128,6,236,10,406,18,671,29,1079,54,1707,128,2761,363,4360,965,6853,2317,10784,5011,16706,9948,25563,17863,38055,29846,55443,46554,77998,68940,106604,97522,142005,132181,184113,173300,233339
CC010,3518_UNC_NYGC,0,1,0,3,0,3,0,3,0,1,0,12,0,32,0,73,0,156,1,274,5,498,15,880,35,1507,108,2499,341,4097,992,6843,2598,11402,5751,18652,11263,29337,20067,44086,32887,63880,50623,89544,73846,121734,103040,160750,138420,206846
CC011,3070_UNC_NYGC,0,12,0,14,0,12,0,6,0,9,0,50,0,112,0,204,0,347,2,567,7,951,17,1546,43,2464,146,3945,510,6363,1540,10249,3763,16202,7966,25176,15607,38448,27984,57003,46117,81941,70846,113960,102902,153490,143109,201343,191709,257697
CC012,1359_UNC_NYGC,0,6,0,5,0,3,0,0,0,3,0,26,0,57,0,124,0,245,1,459,2,843,6,1481,32,2558,132,4353,464,7224,1407,12031,3459,19414,7642,30652,15006,46917,26918,69331,44863,99400,69537,137495,102475,185307,143899,242577,194239,310252
CC013,1075_UNC_NYGC,0,8,0,6,0,1,0,8,0,9,0,29,0,64,0,122,0,218,0,384,0,644,0,1039,8,1712,37,2767,147,4451,526,7310,1525,11795,3799,18804,8130,29237,15489,44255,26712,64455,42621,90311,64086,123061,91538,162973,125490,210364
CC015,1649_UNC_NYGC,0,5,0,7,0,3,0,1,0,1,0,28,0,64,0,131,0,251,0,462,1,828,4,1408,18,2397,75,4008,278,6530,839,10382,2180,16112,5084,24610,10246,36783,18657,53535,31123,75136,48446,102419,71452,136012,100357,176200,135532,223434
CC016,1077_UNC_NYGC,0,2,0,1,0,4,0,5,0,2,0,10,0,23,0,49,0,85,1,165,3,304,9,595,21,1122,66,2036,240,3660,701,6290,1820,10395,4316,16971,8942,26775,16536,40661,27669,58799,43525,82527,64706,112461,91590,148780,124497,191898
CC017,1453_UNC_NYGC,0,8,0,8,0,6,0,7,0,5,0,37,0,92,0,178,0,309,1,525,3,886,9,1511,25,2508,95,4123,310,6661,951,10731,2412,16770,5380,25757,10695,38590,19328,56152,32386,79313,50762,108870,75156,145463,105682,188845,142818,239875
CC018,1136_UNC_NYGC,0,4,0,10,0,12,0,12,0,5,0,32,0,73,0,135,1,238,2,397,3,673,5,1105,17,1805,57,2899,232,4725,766,7766,2056,12453,4677,19561,9486,30064,17210,44576,28939,63965,45388,89130,67293,120547,95047,158330,129176,203053
CC019,6839_UNC_UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,173,589,562,1614,1337,3505,2802,6791,5335,12042,9186,19566,14753,30004,22430,43812,32480,61247,45174,82769
CC020,533_UNC_NYGC,0,8,0,12,0,7,0,5,0,6,0,39,0,87,0,171,0,350,0,632,1,1136,5,1946,21,3241,105,5460,438,9169,1390,15102,3648,24188,8295,37904,17091,58126,31481,86215,53019,123520,83070,170648,123115,229184,173775,299131,235698,381814
CC021,1515_UNC_NYGC,0,13,0,16,0,13,0,9,0,11,0,60,0,139,0,260,1,460,2,827,4,1426,9,2418,30,3992,142,6510,493,10497,1440,16701,3684,26083,8215,39773,16248,58910,29056,84650,47934,117775,74457,159487,109693,210687,154144,271780,207878,343120
CC022,444_UNC_NYGC,0,10,0,17,0,8,0,4,0,9,0,48,0,128,0,273,1,512,2,903,4,1544,10,2560,27,4219,104,6854,383,10979,1207,17417,3234,26957,7487,40822,15152,59895,27583,85662,46099,119020,72126,160861,106648,212267,149792,272834,202292,343461
CC023,704_UNC_NYGC,0,3,0,4,0,2,0,3,0,4,0,14,0,42,0,104,0,195,0,348,2,587,6,944,17,1493,64,2345,199,3708,561,5852,1489,9223,3402,14226,6943,21465,12715,31493,21417,44582,33873,61309,50534,82165,71570,107207,97362,136940
CC024,1060_UNC_NYGC,0,14,0,13,0,7,0,7,0,14,0,53,0,121,0,247,1,465,2,812,4,1375,8,2330,30,3820,113,6173,383,9794,1186,15345,3072,23529,7037,35652,14343,52979,26403,76864,44588,108140,70001,147753,103747,196811,146093,255459,197333,323991
CC025,1062_UNC_NYGC,0,9,0,9,0,5,0,11,0,12,0,43,0,92,0,197,1,374,3,687,6,1194,14,1960,34,3317,103,5494,324,8789,1022,13776,2810,21509,6552,32895,13362,49065,24494,71121,41018,100058,64395,136866,95064,182006,133636,235727,180295,298447
CC026,3004_UNC_UNC,0,3,0,1,0,1,0,3,0,1,0,14,0,28,0,58,0,127,0,243,0,447,7,765,30,1303,125,2189,396,3648,1071,5893,2476,9484,5124,15012,9572,23073,16639,34564,26884,49910,40827,69691,58971,94582,81402,124671,108400,160681
CC027,756_UNC_NYGC,0,6,0,3,0,0,0,3,0,7,0,27,0,62,0,124,1,236,5,447,9,802,15,1404,36,2399,114,4093,341,6789,960,11030,2576,17674,5986,27608,12224,41866,22445,61430,37535,87049,58677,119797,86688,160245,121926,208698,165151,265952
CC028,899_UNC_NYGC,0,11,0,6,0,3,0,6,0,7,0,32,0,75,1,148,2,270,3,505,5,888,19,1492,74,2458,269,4066,852,6647,2162,10555,4846,16598,10031,25992,18695,39281,32173,57822,51752,82613,78232,114424,112805,154235,155567,202085,206678,258249
CC029,720_UNC_NYGC,0,3,0,1,0,1,0,5,0,7,0,14,0,40,0,80,0,142,0,253,1,470,7,846,32,1457,119,2399,393,3900,1128,6251,2832,9826,6240,15228,12114,23084,21372,34072,34947,48650,53331,67169,77375,90377,107304,118435,143379,151556
CC030,1011_UNC_NYGC,0,5,0,5,0,7,0,8,0,7,0,38,1,96,2,226,3,451,4,860,7,1483,25,2512,84,4160,280,6660,825,10497,2169,16303,5120,25069,10728,37795,20174,55640,34868,79895,56149,111496,84789,151096,122326,199892,168991,258182,225113,326343
CC031,411_UNC_NYGC,1,8,0,12,0,9,0,8,1,7,2,43,3,102,4,198,5,366,9,611,14,1032,26,1698,74,2769,205,4555,585,7369,1645,11809,4136,18810,8737,29179,16563,43779,28835,63854,46597,90267,70799,124276,102049,166146,141019,216105,187549,274607
CC032,1247_UNC_NYGC,1,16,0,12,0,15,0,15,1,16,2,70,4,163,6,315,9,558,13,966,18,1604,31,2687,87,4422,289,7214,865,11455,2414,18253,5935,28756,12880,44403,24785,66612,43729,97323,71451,137599,109188,188740,158482,251896,219422,327286,292757,415723
CC033,571_UNC_NYGC,0,15,0,13,0,17,0,17,0,23,0,73,0,158,0,278,2,468,6,739,12,1192,24,1943,75,3228,241,5261,755,8434,1966,13302,4649,20915,9893,32609,19018,49529,33292,72973,53980,103861,82388,143008,119528,191667,166261,250748,223348,320830
CC034,734_UNC_NYGC,0,5,0,7,0,4,0,4,0,6,0,24,0,61,0,125,0,228,0,379,2,611,11,990,41,1574,133,2547,414,4186,1135,6770,2725,10814,5799,16904,11279,25995,20043,38671,32879,55414,50599,76956,73893,103750,103174,136223,138460,174710
CC035,1489_UNC_NYGC,0,16,0,10,0,3,0,5,0,10,0,48,0,101,0,182,2,319,6,551,12,915,36,1462,98,2283,325,3505,903,5390,2188,8392,4578,12902,8734,19623,15450,29100,25715,42393,40237,59864,59724,82491,84656,110643,115527,144736,152867,185062
CC036,819_UNC_NYGC,0,6,0,12,0,12,0,8,0,7,0,31,0,66,0,123,0,230,1,393,3,690,8,1172,26,2002,123,3360,438,5557,1305,9170,3131,14542,6639,22642,12621,34225,21982,50006,35824,70820,54827,97471,79494,130358,110130,169914,147228,216509
CC037,955_UNC_NYGC,0,2,0,2,0,1,0,0,0,2,0,10,0,22,0,53,0,114,0,220,3,436,7,823,24,1494,109,2678,455,4664,1397,7999,3512,13202,7671,21298,14728,32953,25704,49025,41889,70949,64286,99121,93730,134512,130483,177349,175161,228210
CC038,806_UNC_NYGC,0,2,0,6,0,5,0,3,0,4,0,17,1,48,3,115,5,229,7,421,11,731,27,1245,62,2080,146,3447,441,5610,1194,8964,2781,13936,6013,21550,11569,32251,20202,46900,32591,66001,49668,90331,72061,120480,99872,156501,133421,198650
