strain,ID,TTCTC_30_fw,TTCTC_30_rc,TTCTC_29_fw,TTCTC_29_rc,TTCTC_28_fw,TTCTC_28_rc,TTCTC_27_fw,TTCTC_27_rc,TTCTC_26_fw,TTCTC_26_rc,TTCTC_25_fw,TTCTC_25_rc,TTCTC_24_fw,TTCTC_24_rc,TTCTC_23_fw,TTCTC_23_rc,TTCTC_22_fw,TTCTC_22_rc,TTCTC_21_fw,TTCTC_21_rc,TTCTC_20_fw,TTCTC_20_rc,TTCTC_19_fw,TTCTC_19_rc,TTCTC_18_fw,TTCTC_18_rc,TTCTC_17_fw,TTCTC_17_rc,TTCTC_16_fw,TTCTC_16_rc,TTCTC_15_fw,TTCTC_15_rc,TTCTC_14_fw,TTCTC_14_rc,TTCTC_13_fw,TTCTC_13_rc,TTCTC_12_fw,TTCTC_12_rc,TTCTC_11_fw,TTCTC_11_rc,TTCTC_10_fw,TTCTC_10_rc
CC001,4363_UNC_NYGC,0,9,0,51,0,111,0,208,0,349,0,580,2,954,7,1534,25,2481,92,3995,317,6482,987,10586,2556,16804,5746,25856,11576,38873,21091,56737,35106,79997,54311,109350,79622,145368,111850,188901,151196,240029
CC002,1000_JAX_NYGC,0,3,0,20,0,59,0,134,2,274,6,530,14,973,37,1684,105,2862,298,4796,811,7820,2174,12658,5048,20066,10452,31059,19646,46800,33965,68496,54669,97301,82891,134060,119572,179613,165033,234273,219864,299090
CC002,4575_UNC_NYGC,0,11,0,43,0,98,0,204,0,390,0,708,1,1251,8,2108,34,3545,150,5902,494,9670,1566,15645,3958,24753,8915,38378,17728,57588,31829,83803,52690,118078,81582,161664,119409,215151,166753,278763,223830,353053
CC003,1000_JAX_NYGC,0,9,0,34,0,75,0,147,0,259,0,462,1,811,7,1443,25,2487,85,4157,282,6911,870,11217,2281,17744,5094,27233,10097,40479,18172,58429,30040,81629,46369,110793,67977,146363,95333,189083,128951,239598
CC003,4601_UNC_NYGC,0,5,1,48,2,108,3,197,4,340,7,575,12,1024,21,1762,44,2928,134,4807,452,7894,1398,12809,3582,20414,7893,31788,15527,47905,27776,69773,45619,98341,70237,134092,102589,177925,143512,230561,193386,292630
CC004,1000_JAX_NYGC,0,4,0,28,0,66,0,130,0,237,0,422,2,757,9,1265,49,2115,171,3512,513,5749,1536,9490,3739,15258,8028,23939,15396,36462,27054,53750,44244,76909,68075,106927,98986,144158,137618,189280,184748,243298
CC004,4292_UNC_NYGC,0,18,1,54,2,109,3,208,4,397,5,705,7,1216,11,1998,38,3337,131,5497,476,8875,1522,14422,3993,22929,8983,35842,17737,54294,31679,79438,52430,112539,81370,154856,119368,206803,167160,269393,225416,343335
CC005,1000_JAX_NYGC,0,3,0,18,0,40,1,90,2,165,3,290,5,493,9,805,24,1304,93,2147,316,3539,960,5822,2439,9493,5420,15245,10448,23464,18220,34944,29615,50347,45084,70015,65346,94669,90460,124350,120941,159722
CC005,4714_UNC_NYGC,0,6,0,36,0,85,2,190,5,353,8,612,12,1038,22,1714,48,2791,133,4606,427,7527,1300,12383,3435,20215,7838,32484,15658,49986,28133,74048,46949,106222,72912,147572,107459,199040,150688,260412,203355,332654
CC006,1000_JAX_NYGC,0,1,0,22,1,56,3,123,6,256,9,488,13,867,22,1500,65,2529,207,4124,675,6771,1803,10958,4307,17598,9110,27773,17572,42409,30894,62653,50175,89599,76329,124075,110302,166953,152842,218919,204511,280673
CC006,4698_UNC_NYGC,0,12,0,53,0,118,1,226,2,389,4,664,11,1092,45,1751,128,2843,393,4585,1152,7406,2823,11842,6248,18664,12330,28858,22171,43417,36800,63461,57139,89546,84154,122825,118303,163820,160428,213348,210828,271806
CC007,3406_UNC_NYGC,0,5,0,25,0,56,0,112,0,216,2,382,4,683,17,1159,64,1937,280,3183,911,5092,2325,8170,5120,13037,10211,20403,18634,31296,31162,46187,48670,65810,72126,91123,101933,122571,138989,160625,183203,205566
CC008,983_UNC_NYGC,0,6,0,28,0,56,0,107,1,197,3,363,11,645,47,1075,125,1786,369,2864,952,4548,2105,7206,4262,11279,8263,17387,14567,26196,24065,38461,37328,54577,54906,74960,77147,99960,104323,129845,137492,165365
CC008,983_UNC_UNC,0,1,0,9,0,25,0,53,0,95,0,180,1,346,9,610,45,1066,194,1832,622,3110,1533,5151,3244,8305,6422,13073,11477,20000,19123,29694,30019,42407,44684,58613,63537,78557,86970,102710,115559,131711
CC009,3045_UNC_NYGC,0,18,1,70,2,144,5,261,9,452,17,751,30,1190,60,1875,150,3003,419,4723,1101,7464,2599,11657,5627,18047,10943,27465,19445,40717,31881,58459,49295,81650,72272,110750,101441,146546,136624,188823,178089,238174
CC010,3518_UNC_NYGC,0,3,0,14,0,39,0,86,0,164,1,293,6,521,13,938,39,1602,129,2697,436,4538,1227,7622,3032,12614,6494,20309,12307,31396,21338,46627,34603,67063,52712,93198,76483,125868,105882,165037,141516,211244
CC011,3070_UNC_NYGC,0,6,0,51,0,119,0,218,1,369,4,611,8,1011,20,1662,54,2679,181,4313,608,6861,1725,11012,4038,17302,8702,26960,16811,40927,29601,60096,48102,85620,73084,118017,105546,157890,146155,205931,195198,262351
CC012,1359_UNC_NYGC,0,0,0,20,0,61,0,136,1,258,2,503,3,922,12,1613,51,2845,186,4755,576,7899,1646,13110,3884,20950,8220,32747,15891,49702,28356,73042,46794,103647,72177,142449,105566,190564,147376,248038,197991,315649
CC013,1075_UNC_NYGC,0,8,0,31,0,66,0,123,0,223,0,406,0,678,0,1094,7,1813,45,2953,186,4864,622,7987,1784,12849,4233,20202,8985,31348,16774,46987,28275,67375,44584,93724,66375,126943,94086,166885,128252,214334
CC015,1649_UNC_NYGC,0,1,0,21,0,65,0,137,0,270,1,496,2,884,4,1540,21,2603,89,4301,340,6994,962,11117,2476,17244,5600,26267,11091,39038,19728,56181,32456,78282,50101,106024,73333,139985,102496,180392,137923,227785
CC016,1077_UNC_NYGC,0,5,0,13,0,28,0,52,0,95,1,177,2,344,10,665,28,1246,91,2281,287,4066,827,7004,2111,11609,4774,18579,9655,28833,17453,43016,28995,61712,45188,85872,66539,116060,93639,152610,126807,196044
CC017,1453_UNC_NYGC,0,7,0,37,0,100,0,194,0,343,1,590,3,992,8,1677,32,2766,113,4538,371,7376,1071,11756,2692,18244,5842,27669,11428,40944,20306,58995,33609,82640,52402,112843,76970,149684,107697,193254,145257,244451
CC018,1000_JAX_NYGC,0,3,0,24,0,58,0,117,1,238,2,465,6,879,25,1524,74,2558,231,4369,739,7494,2108,12559,5242,20614,11093,32417,21001,49293,36660,72665,59179,103535,89778,142872,129958,192477,179528,252072,239665,323113
CC018,1136_UNC_NYGC,0,12,0,39,0,80,0,147,0,259,1,439,2,734,7,1205,20,1924,76,3131,271,5157,882,8407,2316,13531,5156,21017,10198,31967,18337,47102,30380,67038,47084,92431,69356,124421,97566,162443,131910,207189
CC019,1000_JAX_NYGC,0,0,0,2,0,8,0,22,0,57,0,127,2,258,12,501,69,928,238,1697,718,3018,1903,5296,4480,9084,9363,14969,17736,24119,31020,37242,50469,55395,77047,79454,111652,109975,155067,147609,207798,193145
CC019,6839_UNC_UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,84,210,655,621,1790,1453,3909,3008,7498,5592,12932,9557,20800,15247,31478,22935,45445,33042,63159,45826,84881
CC020,533_UNC_NYGC,0,5,0,37,0,88,0,190,0,373,0,670,1,1208,6,2063,37,3482,156,5935,572,10024,1630,16440,4153,26222,9334,41024,18674,62259,33502,91179,55422,128946,86096,176903,126696,236096,177833,306569,240222,389651
CC021,1515_UNC_NYGC,0,9,0,51,0,124,1,245,2,463,4,857,8,1528,16,2576,45,4291,183,7050,562,11366,1664,18048,4157,28027,8983,42289,17379,62204,30378,88469,49816,122364,76562,164458,112062,215959,156886,277572,210819,348962
