dataset,sex,ID,GAGAA_30_fw,GAGAA_30_rc,GAGAA_29_fw,GAGAA_29_rc,GAGAA_28_fw,GAGAA_28_rc,GAGAA_27_fw,GAGAA_27_rc,GAGAA_26_fw,GAGAA_26_rc,GAGAA_25_fw,GAGAA_25_rc,GAGAA_24_fw,GAGAA_24_rc,GAGAA_23_fw,GAGAA_23_rc,GAGAA_22_fw,GAGAA_22_rc,GAGAA_21_fw,GAGAA_21_rc,GAGAA_20_fw,GAGAA_20_rc,GAGAA_19_fw,GAGAA_19_rc,GAGAA_18_fw,GAGAA_18_rc,GAGAA_17_fw,GAGAA_17_rc,GAGAA_16_fw,GAGAA_16_rc,GAGAA_15_fw,GAGAA_15_rc,GAGAA_14_fw,GAGAA_14_rc,GAGAA_13_fw,GAGAA_13_rc,GAGAA_12_fw,GAGAA_12_rc,GAGAA_11_fw,GAGAA_11_rc,GAGAA_10_fw,GAGAA_10_rc
CC001,M,4363_UNC_NYGC,9,0,51,0,111,0,208,0,349,0,580,0,954,2,1534,7,2481,25,3995,92,6482,317,10586,987,16804,2556,25856,5746,38873,11576,56737,21091,79997,35106,109350,54311,145368,79622,188901,111850,240029,151196
CC002,F,1000_JAX_NYGC,3,0,20,0,59,0,134,0,274,2,530,6,973,14,1684,37,2862,105,4796,298,7820,811,12658,2174,20066,5048,31059,10452,46800,19646,68496,33965,97301,54669,134060,82891,179613,119572,234273,165033,299090,219864
CC002,M,4575_UNC_NYGC,11,0,43,0,98,0,204,0,390,0,708,0,1251,1,2108,8,3545,34,5902,150,9670,494,15645,1566,24753,3958,38378,8915,57588,17728,83803,31829,118078,52690,161664,81582,215151,119409,278763,166753,353053,223830
CC003,F,1000_JAX_NYGC,9,0,34,0,75,0,147,0,259,0,462,0,811,1,1443,7,2487,25,4157,85,6911,282,11217,870,17744,2281,27233,5094,40479,10097,58429,18172,81629,30040,110793,46369,146363,67977,189083,95333,239598,128951
CC003,M,4601_UNC_NYGC,5,0,48,1,108,2,197,3,340,4,575,7,1024,12,1762,21,2928,44,4807,134,7894,452,12809,1398,20414,3582,31788,7893,47905,15527,69773,27776,98341,45619,134092,70237,177925,102589,230561,143512,292630,193386
CC004,F,1000_JAX_NYGC,4,0,28,0,66,0,130,0,237,0,422,0,757,2,1265,9,2115,49,3512,171,5749,513,9490,1536,15258,3739,23939,8028,36462,15396,53750,27054,76909,44244,106927,68075,144158,98986,189280,137618,243298,184748
CC004,M,4292_UNC_NYGC,18,0,54,1,109,2,208,3,397,4,705,5,1216,7,1998,11,3337,38,5497,131,8875,476,14422,1522,22929,3993,35842,8983,54294,17737,79438,31679,112539,52430,154856,81370,206803,119368,269393,167160,343335,225416
CC005,F,1000_JAX_NYGC,3,0,18,0,40,0,90,1,165,2,290,3,493,5,805,9,1304,24,2147,93,3539,316,5822,960,9493,2439,15245,5420,23464,10448,34944,18220,50347,29615,70015,45084,94669,65346,124350,90460,159722,120941
CC005,M,4714_UNC_NYGC,6,0,36,0,85,0,190,2,353,5,612,8,1038,12,1714,22,2791,48,4606,133,7527,427,12383,1300,20215,3435,32484,7838,49986,15658,74048,28133,106222,46949,147572,72912,199040,107459,260412,150688,332654,203355
CC006,F,1000_JAX_NYGC,1,0,22,0,56,1,123,3,256,6,488,9,867,13,1500,22,2529,65,4124,207,6771,675,10958,1803,17598,4307,27773,9110,42409,17572,62653,30894,89599,50175,124075,76329,166953,110302,218919,152842,280673,204511
