strain,ID,1_fw,2_fw,3_fw,4_fw,5_fw,6_fw,7_fw,8_fw
CC001,4363_UNC_NYGC,10,6,0,0,4,4,5,0
CC002,1000_JAX_NYGC,13,8,0,0,15,14,0,0
CC002,4575_UNC_NYGC,20,12,0,0,8,10,0,0
CC003,1000_JAX_NYGC,10,6,0,4,0,0,0,5
CC003,4601_UNC_NYGC,11,5,0,13,0,0,0,9
CC004,1000_JAX_NYGC,12,10,0,13,0,1,0,16
CC004,4292_UNC_NYGC,17,8,0,18,0,0,0,21
CC005,1000_JAX_NYGC,10,6,0,0,11,3,0,0
CC005,4714_UNC_NYGC,21,11,0,0,13,8,0,1
CC006,1000_JAX_NYGC,7,3,0,0,9,6,0,0
CC006,4698_UNC_NYGC,10,6,0,0,6,8,0,1
CC007,3406_UNC_NYGC,13,5,0,17,0,1,0,13
CC008,983_UNC_NYGC,6,5,0,4,0,0,0,8
CC008,983_UNC_UNC,14,9,0,9,0,0,0,9
CC009,3045_UNC_NYGC,9,6,0,13,0,0,0,6
CC010,3518_UNC_NYGC,12,10,0,12,0,0,0,4
CC011,3070_UNC_NYGC,26,15,0,15,0,1,0,11
CC012,1359_UNC_NYGC,21,13,0,16,0,1,0,15
CC013,1075_UNC_NYGC,7,5,0,2,0,0,0,13
CC015,1649_UNC_NYGC,9,5,0,5,4,0,3,1
CC016,1077_UNC_NYGC,5,5,0,7,0,0,0,9
CC017,1453_UNC_NYGC,11,5,0,9,0,0,0,11
CC018,1000_JAX_NYGC,8,7,0,0,11,4,0,0
CC018,1136_UNC_NYGC,17,7,0,0,6,4,0,0
CC019,1000_JAX_NYGC,10,0,6,11,0,0,1,16
CC019,6839_UNC_UNC,5,0,1,8,0,0,0,2
CC020,533_UNC_NYGC,15,10,0,0,13,14,0,0
CC021,1515_UNC_NYGC,19,16,0,0,14,0,14,0
CC022,444_UNC_NYGC,14,9,0,0,15,0,5,0
CC023,704_UNC_NYGC,12,8,0,0,3,4,0,0
CC024,1060_UNC_NYGC,11,10,0,0,14,0,9,0
CC025,1062_UNC_NYGC,15,10,0,0,13,0,8,0
CC026,3004_UNC_UNC,10,0,8,5,0,0,0,5
CC027,756_UNC_NYGC,17,10,0,7,1,0,0,9
CC028,899_UNC_NYGC,12,8,0,0,16,9,0,0
CC029,720_UNC_NYGC,11,6,3,8,0,0,0,5
CC030,1011_UNC_NYGC,8,8,0,0,13,0,20,0
CC031,411_UNC_NYGC,12,9,0,5,8,6,0,1
CC032,1000_JAX_NYGC,6,3,0,7,0,0,0,22
CC032,1247_UNC_NYGC,16,7,0,11,0,0,0,8
CC033,571_UNC_NYGC,19,11,0,6,2,0,0,10
CC034,734_UNC_NYGC,13,1,7,9,0,0,0,5
CC035,1489_UNC_NYGC,7,4,0,1,0,0,0,5
CC035,1489_UNC_UNC,8,5,0,10,0,0,0,12
CC036,819_UNC_NYGC,7,5,0,0,10,6,0,0
CC037,955_UNC_NYGC,20,17,0,0,8,9,0,0
CC038,806_UNC_NYGC,6,2,0,4,0,0,0,7
CC039,3730_UNC_NYGC,1,0,0,0,2,7,0,0
CC040,1000_JAX_NYGC,7,3,0,1,6,0,11,0
CC040,4198_UNC_NYGC,13,9,0,0,12,0,9,0
CC041,1000_JAX_NYGC,11,9,0,12,0,1,0,14
CC041,5135_UNC_NYGC,9,5,0,0,12,3,0,0
CC042,4068_UNC_NYGC,12,0,11,7,0,0,0,4
CC043,797_UNC_NYGC,10,0,7,15,0,0,0,8
CC044,1328_UNC_NYGC,24,0,24,16,0,0,0,15
CC045,817_UNC_NYGC,7,7,0,0,6,5,4,0
CC046,1016_UNC_NYGC,10,9,0,0,7,5,0,0
CC047,1079_UNC_NYGC,19,16,0,0,12,9,0,0
CC049,214_UNC_UNC,5,4,0,8,0,0,0,9
CC050,1820_UNC_NYGC,18,14,0,9,0,0,0,19
CC051,6059_UNC_NYGC,13,0,10,8,0,0,0,12
CC052,675_UNC_NYGC,14,7,0,0,16,0,7,0
CC053,907_UNC_NYGC,10,0,9,17,0,0,0,5
CC053,907_UNC_UNC,9,0,8,8,0,0,0,10
CC055,3799_UNC_NYGC,27,0,11,15,0,1,0,15
CC056,534_UNC_NYGC,13,7,0,7,0,0,0,4
CC057,750_UNC_NYGC,12,0,10,7,0,0,0,7
CC058,773_UNC_NYGC,22,18,0,14,0,0,0,6
CC059,4642_UNC_NYGC,11,0,7,5,0,0,0,11
CC060,813_UNC_NYGC,10,7,0,0,11,0,11,0
CC061,887_UNC_NYGC,8,5,0,0,10,0,5,0
CC062,733_UNC_NYGC,2,1,0,0,3,2,0,0
CC063,615_UNC_NYGC,15,3,7,16,1,0,0,12
CC065,3566_UNC_NYGC,10,6,0,0,14,0,21,1
CC068,3696_UNC_NYGC,8,8,0,0,6,9,0,0
CC070,3849_UNC_UNC,14,11,0,11,0,0,0,11
CC071,3425_UNC_NYGC,18,9,0,0,19,0,21,0
CC072,3054_UNC_NYGC,12,8,0,0,8,10,0,0
CC073,796_UNC_NYGC,21,14,0,0,14,0,10,0
CC074,495_UNC_NYGC,9,5,0,18,0,0,0,6
CC074,495_UNC_UNC,21,3,0,9,0,0,0,7
CC075,516_UNC_NYGC,12,8,0,2,1,2,0,1
CC076,508_UNC_UNC,5,1,0,4,0,0,0,7
CC078,1502_UNC_UNC,11,4,0,0,15,9,0,0
CC079,1086_UNC_UNC,6,5,0,0,12,8,0,0
CC080,1283_UNC_UNC,4,2,0,0,9,13,0,0
CC081,0332_UNC_UNC,0,0,0,0,0,0,0,0
