dataset,1_fw,2_fw,3_fw,4_fw,5_fw,6_fw,7_fw,8_fw
CC001M4363_UNC_NYGC,10,6,0,0,4,4,5,0
CC002F1000_JAX_NYGC,13,8,0,0,15,14,0,0
CC002M4575_UNC_NYGC,20,12,0,0,8,10,0,0
CC003F1000_JAX_NYGC,10,6,0,4,0,0,0,5
CC003M4601_UNC_NYGC,11,5,0,13,0,0,0,9
CC004F1000_JAX_NYGC,12,10,0,13,0,1,0,16
CC004M4292_UNC_NYGC,17,8,0,18,0,0,0,21
CC005F1000_JAX_NYGC,10,6,0,0,11,3,0,0
CC005M4714_UNC_NYGC,21,11,0,0,13,8,0,1
CC006F1000_JAX_NYGC,7,3,0,0,9,6,0,0
CC006M4698_UNC_NYGC,10,6,0,0,6,8,0,1
CC007M3406_UNC_NYGC,13,5,0,17,0,1,0,13
CC008M983_UNC_NYGC,6,5,0,4,0,0,0,8
CC008M983_UNC_UNC,14,9,0,9,0,0,0,9
CC009M3045_UNC_NYGC,9,6,0,13,0,0,0,6
CC010M3518_UNC_NYGC,12,10,0,12,0,0,0,4
CC011M3070_UNC_NYGC,26,15,0,15,0,1,0,11
CC012M1359_UNC_NYGC,21,13,0,16,0,1,0,15
