"","fw_1","fw_2","fw_3","fw_4","fw_5","fw_6","fw_7","fw_8","cluster"
"CC001",5,5,0,0,5,5,5,0,6
"CC002",5,5,0,0,5,5,0,0,7
"CC003",5,5,0,5,0,0,0,5,3
"CC004",5,5,0,5,0,0,0,5,3
"CC005",5,5,0,0,5,5,0,1,7
"CC006",5,5,0,0,5,5,0,1,7
"CC007",5,5,0,5,0,1,0,5,3
"CC008",5,5,0,5,0,0,0,5,3
"CC009",5,5,0,5,0,0,0,5,3
"CC010",5,5,0,5,0,0,0,5,3
"CC011",5,5,0,5,0,1,0,5,3
"CC012",5,5,0,5,0,1,0,5,3
"CC013",5,5,0,5,0,0,0,5,3
"CC015",5,5,0,5,5,0,5,1,6
"CC016",5,5,0,5,0,0,0,5,3
"CC017",5,5,0,5,0,0,0,5,3
"CC018",5,5,0,0,5,5,0,0,7
"CC019",5,0,1,5,0,0,0,5,2
"CC020",5,5,0,0,5,5,0,0,7
"CC021",5,5,0,0,5,0,5,0,6
"CC022",5,5,0,0,5,0,5,0,6
"CC023",5,5,0,0,5,5,0,0,7
"CC024",5,5,0,0,5,0,5,0,6
"CC025",5,5,0,0,5,0,5,0,6
"CC026",5,0,5,5,0,0,0,5,1
"CC027",5,5,0,5,1,0,0,5,3
"CC028",5,5,0,0,5,5,0,0,7
"CC029",5,5,5,5,0,0,0,5,5
"CC030",5,5,0,0,5,0,5,0,6
"CC031",5,5,0,5,5,5,0,1,4
"CC032",5,5,0,5,0,0,0,5,3
"CC033",5,5,0,5,5,0,0,5,3
"CC034",5,1,5,5,0,0,0,5,1
"CC035",5,5,0,1,0,0,0,5,3
"CC036",5,5,0,0,5,5,0,0,7
"CC037",5,5,0,0,5,5,0,0,7
"CC038",5,5,0,5,0,0,0,5,3
"CC039",1,0,0,0,5,5,0,0,7
"CC040",5,5,0,0,5,0,5,0,6
"CC041",5,5,0,0,5,5,0,0,7
"CC042",5,0,5,5,0,0,0,5,1
"CC043",5,0,5,5,0,0,0,5,1
"CC044",5,0,5,5,0,0,0,5,1
"CC045",5,5,0,0,5,5,5,0,6
"CC046",5,5,0,0,5,5,0,0,7
"CC047",5,5,0,0,5,5,0,0,7
"CC049",5,5,0,5,0,0,0,5,3
"CC050",5,5,0,5,0,0,0,5,3
"CC051",5,0,5,5,0,0,0,5,1
"CC052",5,5,0,0,5,0,5,0,6
"CC053",5,0,5,5,0,0,0,5,1
"CC055",5,0,5,5,0,1,0,5,1
"CC056",5,5,0,5,0,0,0,5,3
"CC057",5,0,5,5,0,0,0,5,1
"CC058",5,5,0,5,0,0,0,5,3
"CC059",5,0,5,5,0,0,0,5,1
"CC060",5,5,0,0,5,0,5,0,6
"CC061",5,5,0,0,5,0,5,0,6
"CC062",5,1,0,0,5,5,0,0,7
"CC063",5,5,5,5,1,0,0,5,5
"CC065",5,5,0,0,5,0,5,1,6
"CC068",5,5,0,0,5,5,0,0,7
"CC070",5,5,0,5,0,0,0,5,3
"CC071",5,5,0,0,5,0,5,0,6
"CC072",5,5,0,0,5,5,0,0,7
"CC073",5,5,0,0,5,0,5,0,6
"CC074",5,5,0,5,0,0,0,5,3
"CC075",5,5,0,5,1,5,0,1,4
"CC076",5,1,0,5,0,0,0,5,2
"CC078",5,5,0,0,5,5,0,0,7
"CC079",5,5,0,0,5,5,0,0,7
"CC080",5,5,0,0,5,5,0,0,7
"CC081",0,0,0,0,0,0,0,0,2
