"RIX","ID","RIX_ID","Cohort","Treatment","Day","lowest.day","lowest.weight"
"CC003xCC051","162","13067x16912_162","1_14i","Influenza",10,8,94.0506329113924
"CC003xCC051","163","13067x16912_163","1_14i","Influenza",10,2,96.3274336283186
"CC003xCC051","164","13067x16912_164","1_14i","Influenza",10,2,98.0334728033473
"CC003xCC051","36","13067x16912_36","8_13viii","Influenza",15,8,94.1888619854722
"CC003xCC051","37","13067x16912_37","8_13viii","Influenza",15,3,95.2380952380952
"CC003xCC051","136","13067x16912_136","11_13xi","Influenza",45,1,100.710900473934
"CC003xCC051","137","13067x16912_137","11_13xi","Influenza",45,12,98.1770833333333
"CC003xCC051","138","13067x16912_138","11_13xi","Influenza",45,7,84.703196347032
"CC003xCC051","139","13067x16912_139","11_13xi","Influenza",45,9,69.392523364486
"CC003xCC062","24","13067x5306_24","1_15i","Influenza",15,12,98.0769230769231
"CC003xCC062","29","13067x5306_29","1_15i","Influenza",15,8,93.5622317596567
"CC003xCC062","34","13067x5306_34","1_15i","Influenza",15,15,90.9722222222222
"CC003xCC062","35","13067x5306_35","1_15i","Influenza",15,12,92.7927927927928
"CC003xCC062","76","13067x5306_76","2_15ii","Influenza",45,5,80.6282722513089
"CC003xCC062","77","13067x5306_77","2_15ii","Influenza",45,6,91.6230366492147
"CC003xCC062","78","13067x5306_78","2_15ii","Influenza",45,7,84.9056603773585
"CC003xCC062","79","13067x5306_79","2_15ii","Influenza",45,4,89.4472361809045
"CC003xCC062","80","13067x5306_80","2_15ii","Influenza",45,4,88.9447236180905
"CC003xCC062","87","13067x5306_87","2_15ii","Influenza",45,5,94.9771689497717
"CC003xCC062","88","13067x5306_88","2_15ii","Influenza",45,15,92.6940639269407
"CC003xCC062","91","13067x5306_91","2_15ii","Influenza",45,1,96.3636363636364
"CC001xCC055","42","13140x16680_42","7_14vii","Influenza",10,9,74.2633794347565
"CC001xCC055","43","13140x16680_43","7_14vii","Influenza",10,10,75.1476113794954
"CC001xCC055","47","13140x16680_47","7_14vii","Influenza",10,10,80.9895833333333
"CC001xCC055","104","13140x16680_104","8_14viii","Influenza",15,4,89.0666666666667
"CC001xCC055","105","13140x16680_105","8_14viii","Influenza",15,8,91.7241379310345
"CC001xCC055","108","13140x16680_108","8_14viii","Influenza",15,8,89.6236559139785
"CC001xCC055","109","13140x16680_109","8_14viii","Influenza",15,8,85.2121212121212
"CC001xCC055","150","13140x16680_150","9_14ix","Influenza",45,13,88.2494004796163
"CC001xCC055","151","13140x16680_151","9_14ix","Influenza",45,7,73.0310262529833
"CC001xCC055","152","13140x16680_152","9_14ix","Influenza",45,7,70.7035175879397
"CC001xCC074","163","13140x3015_163","3_13iii","Influenza",10,7,83.2041343669251
"CC001xCC074","179","13140x3015_179","3_13iii","Influenza",10,7,89.4472361809045
"CC001xCC074","180","13140x3015_180","3_13iii","Influenza",10,5,85.0253807106599
"CC001xCC074","96","13140x3015_96","3_13iii","Influenza",15,7,93.9866369710468
"CC001xCC074","102","13140x3015_102","3_13iii","Influenza",15,5,80.2997858672377
"CC001xCC074","131","13140x3015_131","3_13iii","Influenza",15,10,94.6004319654428
"CC001xCC074","145","13140x3015_145","3_13iii","Influenza",45,4,84.375
"CC001xCC074","148","13140x3015_148","3_13iii","Influenza",45,4,92.6892950391645
"CC001xCC074","149","13140x3015_149","3_13iii","Influenza",45,4,94.3478260869565
"CC007xCC070","7","13421x16034_7","5_15v","Influenza",10,5,85.4406130268199
"CC007xCC070","11","13421x16034_11","5_15v","Influenza",10,4,90
"CC007xCC070","17","13421x16034_17","5_15v","Influenza",10,8,71.4932126696833
"CC007xCC070","64","13421x16034_64","7_15vii","Influenza",15,4,95.7528957528958
"CC007xCC070","67","13421x16034_67","7_15vii","Influenza",15,4,94.7368421052632
"CC007xCC070","72","13421x16034_72","7_15vii","Influenza",15,3,96.234309623431
"CC007xCC070","104","13421x16034_104","10_15x","Influenza",45,7,71.6738197424893
"CC007xCC070","105","13421x16034_105","10_15x","Influenza",45,4,90.8212560386473
"CC007xCC070","106","13421x16034_106","10_15x","Influenza",45,6,82.962962962963
"CC007xCC070","120","13421x16034_120","11_15xi","Influenza",45,5,75.8771929824561
"CC007xCC070","121","13421x16034_121","11_15xi","Influenza",45,4,94.8905109489051
"CC007xCC070","122","13421x16034_122","11_15xi","Influenza",45,8,70.8661417322835
"CC007xCC070","123","13421x16034_123","11_15xi","Influenza",45,5,76.2162162162162
"CC007xCC075","63","13421x3260_63","3_16iii","Influenza",10,7,86.8
"CC007xCC075","64","13421x3260_64","3_16iii","Influenza",10,5,80
"CC007xCC075","65","13421x3260_65","3_16iii","Influenza",10,10,74.3589743589744
"CC007xCC075","66","13421x3260_66","3_16iii","Influenza",10,9,79.7356828193833
"CC007xCC075","40","13421x3260_40","11_15xi","Influenza",45,4,96.6789667896679
"CC007xCC075","48","13421x3260_48","11_15xi","Influenza",45,4,86.8217054263566
"CC007xCC075","49","13421x3260_49","11_15xi","Influenza",45,5,80.6949806949807
"CC039xCC020","10","15155x8054_10","5_14v","Influenza",10,9,78.4103114930183
"CC039xCC020","16","15155x8054_16","5_14v","Influenza",10,7,100.248385494287
"CC039xCC020","17","15155x8054_17","5_14v","Influenza",10,3,93.8756855575868
"CC039xCC020","111","15155x8054_111","9_14ix","Influenza",15,4,96.3254593175853
"CC039xCC020","112","15155x8054_112","9_14ix","Influenza",15,3,91.304347826087
"CC039xCC020","113","15155x8054_113","9_14ix","Influenza",15,3,96.6824644549763
"CC039xCC020","114","15155x8054_114","9_14ix","Influenza",15,7,74.0512820512821
"CC039xCC020","115","15155x8054_115","9_14ix","Influenza",15,3,95.8024691358025
"CC039xCC020","75","15155x8054_75","8_14viii","Influenza",45,4,101.734104046243
"CC039xCC020","85","15155x8054_85","8_14viii","Influenza",45,1,101.932367149758
"CC039xCC020","95","15155x8054_95","8_14viii","Influenza",45,4,97.4860335195531
"CC002xCC021","195","15156x1566_195","3_13iii","Influenza",10,6,88.1987577639752
"CC002xCC021","199","15156x1566_199","3_13iii","Influenza",10,6,86.3849765258216
"CC002xCC021","200","15156x1566_200","3_13iii","Influenza",10,6,88.272921108742
"CC002xCC021","170","15156x1566_170","2_13ii","Influenza",15,7,86.6492146596859
"CC002xCC021","174","15156x1566_174","2_13ii","Influenza",15,6,85.9437751004016
"CC002xCC021","185","15156x1566_185","2_13ii","Influenza",15,3,89.1949152542373
"CC002xCC021","201","15156x1566_201","3_13iii","Influenza",15,6,86.6359447004608
"CC002xCC021","202","15156x1566_202","3_13iii","Influenza",15,3,88.4955752212389
"CC002xCC021","163","15156x1566_163","2_13ii","Influenza",45,7,97.6190476190476
"CC002xCC021","168","15156x1566_168","2_13ii","Influenza",45,7,84.7311827956989
"CC002xCC021","178","15156x1566_178","2_13ii","Influenza",45,3,91.0224438902743
"CC002xCC011","20","15156x3252_20","10_13x","Influenza",10,3,95.1541850220264
"CC002xCC011","34","15156x3252_34","10_13x","Influenza",10,2,94.4897959183673
"CC002xCC011","49","15156x3252_49","10_13x","Influenza",10,4,89.4052044609665
