"RIX","ID","RIX_ID","Cohort","Treatment","Day","D1per","D2per","D3per","D4per","D5per","D6per","D7per","D8per","D9per","D10per","D11per","D12per","D13per","D14per","D15per","D45per"
"CC003xCC051","153","13067x16912_153","12_13xii","Influenza","2",97.3076923076923,97.3076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","154","13067x16912_154","12_13xii","Influenza","2",100.215517241379,99.1379310344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","155","13067x16912_155","12_13xii","Influenza","2",100,100.634249471459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","91","13067x16912_91","10_13x","Influenza","4",97.9020979020979,97.9020979020979,99.3006993006993,96.7365967365967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","97","13067x16912_97","10_13x","Influenza","4",103.404255319149,104.468085106383,107.659574468085,108.510638297872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","111","13067x16912_111","10_13x","Influenza","4",101.363636363636,102.5,101.818181818182,103.181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","100","13067x16912_100","10_13x","Influenza","7",98.7562189054726,97.2636815920398,99.502487562189,98.2587064676617,97.7611940298507,95.273631840796,94.0298507462686,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","101","13067x16912_101","10_13x","Influenza","7",98.1675392670157,97.9057591623037,100,99.738219895288,104.188481675393,99.4764397905759,99.2146596858639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","109","13067x16912_109","10_13x","Influenza","7",98.2832618025751,96.5665236051502,97.4248927038627,96.3519313304721,95.9227467811159,93.1330472103004,93.9914163090129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","162","13067x16912_162","1_14i","Influenza","10",100.084388185654,97.9746835443038,98.4810126582279,101.392405063291,104.430379746835,106.118143459916,105.400843881857,94.0506329113924,104.936708860759,104.008438818565,NA,NA,NA,NA,NA,NA
"CC003xCC051","163","13067x16912_163","1_14i","Influenza","10",96.9911504424779,96.3274336283186,98.4513274336283,99.646017699115,101.106194690265,100.221238938053,100.884955752212,108.938053097345,99.4247787610619,99.3805309734513,NA,NA,NA,NA,NA,NA
"CC003xCC051","164","13067x16912_164","1_14i","Influenza","10",98.1589958158996,98.0334728033473,100.460251046025,100.543933054393,100,100.627615062762,99.163179916318,98.1171548117155,100.627615062762,103.47280334728,NA,NA,NA,NA,NA,NA
"CC003xCC051","36","13067x16912_36","8_13viii","Influenza","15",98.0629539951574,97.3365617433414,97.5786924939467,99.7578692493947,98.7893462469734,99.7578692493947,96.3680387409201,94.1888619854722,95.3995157384988,97.5786924939467,96.3680387409201,97.5786924939467,98.7893462469734,98.7893462469734,101.210653753027,NA
"CC003xCC051","37","13067x16912_37","8_13viii","Influenza","15",99.3788819875776,98.1366459627329,95.2380952380952,97.7639751552795,97.1014492753623,98.1366459627329,97.1014492753623,97.7225672877847,96.2732919254658,97.7225672877847,97.7225672877847,98.5507246376812,101.449275362319,103.312629399586,103.312629399586,NA
"CC003xCC051","52","13067x16912_52","8_13viii","Influenza","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CC003xCC051","136","13067x16912_136","11_13xi","Influenza","45",100.710900473934,104.739336492891,101.943127962085,101.042654028436,104.028436018957,102.60663507109,100.710900473934,101.421800947867,103.554502369668,105.687203791469,106.872037914692,107.345971563981,107.582938388626,110.900473933649,115.165876777251,139.336492890995
"CC003xCC051","137","13067x16912_137","11_13xi","Influenza","45",102.083333333333,104.6875,102.1875,98.6458333333333,100,101.5625,99.4791666666667,98.9583333333333,98.9583333333333,99.4791666666667,98.9583333333333,98.1770833333333,98.9583333333333,101.302083333333,101.5625,110.9375
"CC003xCC051","138","13067x16912_138","11_13xi","Influenza","45",94.0639269406393,92.6940639269407,92.0091324200913,85.7077625570776,85.8447488584475,86.5296803652968,84.703196347032,84.9315068493151,85.8447488584475,85.8447488584475,88.5844748858447,89.2694063926941,88.5844748858447,90.1826484018265,93.1506849315068,108.904109589041
