"","A","B","C","D","E","F","G","H"
"A",10,0,10,9,26,10,0,18
"B",11,0,12,0,0,52,0,9
"C",13,5,20,0,22,10,9,13
"D",0,0,6,14,0,33,0,40
"E",30,8,22,0,0,11,0,9
"F",30,11,0,57,15,12,10,16
"G",0,0,0,9,0,10,0,8
"H",9,13,18,25,11,27,0,17
